費用,方策,型,位置,n,中央値,負の割合
費用あり(p75),logistic_3択,A,1件目で入った,1482,-4.863148,0.753036
費用あり(p75),logistic_3択,A,途中で入った,123,-3.088684,0.569106
費用あり(p75),logistic_3択,A,入らなかった,395,0.000000,0.000000
費用あり(p75),logistic_3択,B,1件目で入った,1482,-5.206363,0.744265
費用あり(p75),logistic_3択,B,途中で入った,123,-3.088684,0.569106
費用あり(p75),logistic_3択,B,入らなかった,395,0.000000,0.000000
費用あり(p75),logistic_2値0.5,A,1件目で入った,2000,-4.917450,0.740500
費用あり(p75),logistic_2値0.5,A,途中で入った,0,,
費用あり(p75),logistic_2値0.5,A,入らなかった,0,,
費用あり(p75),logistic_2値0.5,B,1件目で入った,2000,-5.079701,0.736000
費用あり(p75),logistic_2値0.5,B,途中で入った,0,,
費用あり(p75),logistic_2値0.5,B,入らなかった,0,,
費用あり(p75),logistic_2値基準率,A,1件目で入った,2000,-4.567286,0.745500
費用あり(p75),logistic_2値基準率,A,途中で入った,0,,
費用あり(p75),logistic_2値基準率,A,入らなかった,0,,
費用あり(p75),logistic_2値基準率,B,1件目で入った,2000,-5.056072,0.737000
費用あり(p75),logistic_2値基準率,B,途中で入った,0,,
費用あり(p75),logistic_2値基準率,B,入らなかった,0,,
費用あり(p75),規則,A,1件目で入った,2000,-3.908084,0.677500
費用あり(p75),規則,A,途中で入った,0,,
費用あり(p75),規則,A,入らなかった,0,,
費用あり(p75),規則,B,1件目で入った,2000,-3.905932,0.662000
費用あり(p75),規則,B,途中で入った,0,,
費用あり(p75),規則,B,入らなかった,0,,
費用あり(p75),完全な判断,A,1件目で入った,2000,1.330579,0.427000
費用あり(p75),完全な判断,A,途中で入った,0,,
費用あり(p75),完全な判断,A,入らなかった,0,,
費用あり(p75),完全な判断,B,1件目で入った,2000,1.517536,0.427000
費用あり(p75),完全な判断,B,途中で入った,0,,
費用あり(p75),完全な判断,B,入らなかった,0,,
費用あり(p75),全部逆張り,A,1件目で入った,2000,-1.673335,0.588000
費用あり(p75),全部逆張り,A,途中で入った,0,,
費用あり(p75),全部逆張り,A,入らなかった,0,,
費用あり(p75),全部逆張り,B,1件目で入った,2000,-1.673335,0.588000
費用あり(p75),全部逆張り,B,途中で入った,0,,
費用あり(p75),全部逆張り,B,入らなかった,0,,
費用あり(p75),全部順張り,A,1件目で入った,2000,-6.172297,0.773000
費用あり(p75),全部順張り,A,途中で入った,0,,
費用あり(p75),全部順張り,A,入らなかった,0,,
費用あり(p75),全部順張り,B,1件目で入った,2000,-6.172297,0.773000
費用あり(p75),全部順張り,B,途中で入った,0,,
費用あり(p75),全部順張り,B,入らなかった,0,,
費用あり(主のc),logistic_3択,A,1件目で入った,1482,-2.944358,0.657220
費用あり(主のc),logistic_3択,A,途中で入った,123,-1.169893,0.512195
費用あり(主のc),logistic_3択,A,入らなかった,395,0.000000,0.000000
費用あり(主のc),logistic_3択,B,1件目で入った,1482,-3.210866,0.655870
費用あり(主のc),logistic_3択,B,途中で入った,123,-1.169893,0.512195
費用あり(主のc),logistic_3択,B,入らなかった,395,0.000000,0.000000
費用あり(主のc),logistic_2値0.5,A,1件目で入った,2000,-2.987556,0.646500
費用あり(主のc),logistic_2値0.5,A,途中で入った,0,,
費用あり(主のc),logistic_2値0.5,A,入らなかった,0,,
費用あり(主のc),logistic_2値0.5,B,1件目で入った,2000,-3.010854,0.644500
費用あり(主のc),logistic_2値0.5,B,途中で入った,0,,
費用あり(主のc),logistic_2値0.5,B,入らなかった,0,,
費用あり(主のc),logistic_2値基準率,A,1件目で入った,2000,-2.622942,0.638500
費用あり(主のc),logistic_2値基準率,A,途中で入った,0,,
費用あり(主のc),logistic_2値基準率,A,入らなかった,0,,
費用あり(主のc),logistic_2値基準率,B,1件目で入った,2000,-2.969334,0.641500
費用あり(主のc),logistic_2値基準率,B,途中で入った,0,,
費用あり(主のc),logistic_2値基準率,B,入らなかった,0,,
費用あり(主のc),規則,A,1件目で入った,2000,-1.909483,0.588000
費用あり(主のc),規則,A,途中で入った,0,,
費用あり(主のc),規則,A,入らなかった,0,,
費用あり(主のc),規則,B,1件目で入った,2000,-1.666816,0.569000
費用あり(主のc),規則,B,途中で入った,0,,
費用あり(主のc),規則,B,入らなかった,0,,
費用あり(主のc),完全な判断,A,1件目で入った,2000,3.290480,0.316500
費用あり(主のc),完全な判断,A,途中で入った,0,,
費用あり(主のc),完全な判断,A,入らなかった,0,,
費用あり(主のc),完全な判断,B,1件目で入った,2000,3.621574,0.314000
費用あり(主のc),完全な判断,B,途中で入った,0,,
費用あり(主のc),完全な判断,B,入らなかった,0,,
費用あり(主のc),全部逆張り,A,1件目で入った,2000,0.245456,0.488000
費用あり(主のc),全部逆張り,A,途中で入った,0,,
費用あり(主のc),全部逆張り,A,入らなかった,0,,
費用あり(主のc),全部逆張り,B,1件目で入った,2000,0.245456,0.488000
費用あり(主のc),全部逆張り,B,途中で入った,0,,
費用あり(主のc),全部逆張り,B,入らなかった,0,,
費用あり(主のc),全部順張り,A,1件目で入った,2000,-4.253506,0.702000
費用あり(主のc),全部順張り,A,途中で入った,0,,
費用あり(主のc),全部順張り,A,入らなかった,0,,
費用あり(主のc),全部順張り,B,1件目で入った,2000,-4.253506,0.702000
費用あり(主のc),全部順張り,B,途中で入った,0,,
費用あり(主のc),全部順張り,B,入らなかった,0,,
費用なし,logistic_3択,A,1件目で入った,1482,-0.929296,0.541835
費用なし,logistic_3択,A,途中で入った,123,0.834132,0.455285
費用なし,logistic_3択,A,入らなかった,395,0.000000,0.000000
費用なし,logistic_3択,B,1件目で入った,1482,-1.001135,0.543860
費用なし,logistic_3択,B,途中で入った,123,0.834132,0.455285
費用なし,logistic_3択,B,入らなかった,395,0.000000,0.000000
費用なし,logistic_2値0.5,A,1件目で入った,2000,-0.952064,0.543000
費用なし,logistic_2値0.5,A,途中で入った,0,,
費用なし,logistic_2値0.5,A,入らなかった,0,,
費用なし,logistic_2値0.5,B,1件目で入った,2000,-0.929296,0.539500
費用なし,logistic_2値0.5,B,途中で入った,0,,
費用なし,logistic_2値0.5,B,入らなかった,0,,
費用なし,logistic_2値基準率,A,1件目で入った,2000,-0.490102,0.522000
費用なし,logistic_2値基準率,A,途中で入った,0,,
費用なし,logistic_2値基準率,A,入らなかった,0,,
費用なし,logistic_2値基準率,B,1件目で入った,2000,-0.659656,0.527000
費用なし,logistic_2値基準率,B,途中で入った,0,,
費用なし,logistic_2値基準率,B,入らなかった,0,,
費用なし,規則,A,1件目で入った,2000,0.219497,0.481000
費用なし,規則,A,途中で入った,0,,
費用なし,規則,A,入らなかった,0,,
費用なし,規則,B,1件目で入った,2000,0.680020,0.465500
費用なし,規則,B,途中で入った,0,,
費用なし,規則,B,入らなかった,0,,
費用なし,完全な判断,A,1件目で入った,2000,5.392717,0.217500
費用なし,完全な判断,A,途中で入った,0,,
費用なし,完全な判断,A,入らなかった,0,,
費用なし,完全な判断,B,1件目で入った,2000,5.825878,0.214000
費用なし,完全な判断,B,途中で入った,0,,
費用なし,完全な判断,B,入らなかった,0,,
費用なし,全部逆張り,A,1件目で入った,2000,2.249481,0.391500
費用なし,全部逆張り,A,途中で入った,0,,
費用なし,全部逆張り,A,入らなかった,0,,
費用なし,全部逆張り,B,1件目で入った,2000,2.249481,0.391500
費用なし,全部逆張り,B,途中で入った,0,,
費用なし,全部逆張り,B,入らなかった,0,,
費用なし,全部順張り,A,1件目で入った,2000,-2.249481,0.604500
費用なし,全部順張り,A,途中で入った,0,,
費用なし,全部順張り,A,入らなかった,0,,
費用なし,全部順張り,B,1件目で入った,2000,-2.249481,0.604500
費用なし,全部順張り,B,途中で入った,0,,
費用なし,全部順張り,B,入らなかった,0,,
