項目,値
"後半 2,000 本の bundle_id の MD5(この単位)",905f5694f32ec4b130a1d322f3b2d03e
"後半 2,000 本の bundle_id の MD5(前段)",905f5694f32ec4b130a1d322f3b2d03e
前段と同一か,1
この単位にだけある bundle_id,0
前段にだけある bundle_id,0
後半のプリント数,30162
後半の連鎖数,12267
後半の束の外(bundle_id 欠損)のプリント,1520
Q5b(a) の母集団(後半の全連鎖 ∩ 標本日),506
束の外(後半): 件数,1520
束の外(後半): 値段のラベルの割合,0.903947
束の外(後半): 想定元本の中央値,1576715.400000
束の外(後半): 掛かる日数,44
束の外(後半): 1 日あたりの件数の中央値,11.000000
束の外(後半): 1 日あたりの件数の最大,288
束の外(後半): 1 日の中の時間幅の中央値(分),2.866942
束の外(後半): 1 日の中の時間幅の最大(分),1033.532150
束の外(後半): 時間幅が 60 分以内の日の割合,0.704545
