方策,区分,水準,n,合計_bp,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,日数
①3択A,位置別,1件目で入った,1482,-6257.798178,-2.944358,-10.662550,1.920147,0.657220,-3.619058,0.332908,221
①3択A,位置別,入らなかった,395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,179
①3択A,位置別,途中で入った,123,-106.678128,-1.169893,-6.185180,5.155875,0.512195,-0.842608,0.993393,96
①3択B,位置別,1件目で入った,1482,-6099.617812,-3.210866,-10.805465,2.221025,0.655870,-3.478163,0.347421,221
①3択B,位置別,入らなかった,395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,179
①3択B,位置別,途中で入った,123,-143.926683,-1.169893,-6.185180,5.155875,0.512195,-1.107039,1.162348,96
①3択A(出口300秒),位置別,1件目で入った,1482,-6328.621318,-2.932402,-17.757389,7.814865,0.578947,-3.427972,0.648591,221
①3択A(出口300秒),位置別,入らなかった,395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,179
①3択A(出口300秒),位置別,途中で入った,123,-116.419044,2.054574,-15.994702,14.282087,0.471545,-1.513008,1.959656,96
全部逆張り(素),位置別,1件目で入った,2000,453.377664,0.245456,-5.210890,6.202749,0.488000,0.135657,0.256661,223
前段の3択(清算)A,位置別,1件目で入った,1245,-4843.922579,-2.507582,-8.650600,2.103157,0.640964,-3.365382,0.374120,213
前段の3択(清算)A,位置別,入らなかった,530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,176
前段の3択(清算)A,位置別,途中で入った,225,-247.416241,0.503542,-7.624098,7.211996,0.488889,-0.542184,0.858800,129
完全な判断(値段)A,位置別,1件目で入った,2000,9295.470657,3.290480,-1.352263,9.028635,0.316500,4.113303,0.242846,223
②opt,位置別,-,285,1256.002666,5.213128,-11.622492,22.057052,0.414035,3.882304,1.774271,133
