方策,区分,水準,n,合計_bp,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,日数
①3択A,側別,BUY,848,-1868.294758,0.000000,-6.215873,0.987050,0.479953,-1.967520,0.416540,208
①3択A,側別,SELL,1152,-4496.181548,-1.183742,-9.029478,1.021348,0.546875,-3.076531,0.371113,212
①3択B,側別,BUY,848,-1867.793787,0.000000,-6.504840,1.056463,0.475236,-1.876814,0.436303,208
①3択B,側別,SELL,1152,-4375.750708,-1.241748,-9.133527,1.108893,0.548611,-2.991056,0.397800,212
①3択A(出口300秒),側別,BUY,848,-2427.506576,0.000000,-13.010328,3.800758,0.446934,-2.516075,0.843915,208
①3択A(出口300秒),側別,SELL,1152,-4017.533786,0.000000,-13.248519,6.067659,0.466146,-2.393095,0.636010,212
全部逆張り(素),側別,BUY,848,-360.724048,-0.191646,-5.404694,5.197964,0.503538,-0.374950,0.420777,208
全部逆張り(素),側別,SELL,1152,814.101712,0.359564,-5.146079,6.754890,0.476562,0.075240,0.364953,212
前段の3択(清算)A,側別,BUY,848,-1691.408137,0.000000,-4.670352,0.416708,0.435142,-1.866727,0.389200,208
前段の3択(清算)A,側別,SELL,1152,-3399.930683,0.000000,-6.425502,1.195783,0.467882,-2.357057,0.368525,212
完全な判断(値段)A,側別,BUY,848,3637.435675,2.722027,-1.492301,8.791788,0.330189,3.668801,0.433733,208
完全な判断(値段)A,側別,SELL,1152,5658.034982,3.674104,-1.140590,9.240690,0.306424,4.698742,0.364650,212
②opt,側別,BUY,67,322.888732,1.371955,-10.076272,23.867428,0.477612,4.439677,3.532655,53
②opt,側別,SELL,218,933.113934,6.966739,-13.566862,21.857904,0.394495,3.462678,1.918497,115
