方策,区分,水準,n,合計_bp,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,日数
①3択A,大きさ別,2件,365,-527.481444,-1.334431,-6.253932,3.657735,0.564384,-1.565728,0.524735,167
①3択A,大きさ別,3件以上,285,-324.752690,-0.494670,-11.738868,7.179036,0.508772,-1.242368,1.085542,133
①3択A,大きさ別,単発,1350,-5512.242172,-0.216346,-7.822954,0.000000,0.508148,-3.454821,0.324553,219
①3択B,大きさ別,2件,365,-202.633149,-0.966533,-7.061086,5.400737,0.523288,-0.599771,0.566936,167
①3択B,大きさ別,3件以上,285,-528.669174,-2.386443,-12.636316,7.915096,0.554386,-2.095454,1.174110,133
①3択B,大きさ別,単発,1350,-5512.242172,-0.216346,-7.822954,0.000000,0.508148,-3.454821,0.324553,219
①3択A(出口300秒),大きさ別,2件,365,-579.408357,-0.261324,-10.826851,7.683650,0.520548,-1.671482,1.036215,167
①3択A(出口300秒),大きさ別,3件以上,285,-386.720297,0.000000,-17.972412,14.169473,0.491228,-1.690273,1.807054,133
①3択A(出口300秒),大きさ別,単発,1350,-5478.911708,0.000000,-12.905698,2.205025,0.434074,-3.202465,0.574521,219
全部逆張り(素),大きさ別,2件,365,-485.419253,-1.395947,-7.794431,4.838721,0.556164,-0.896608,0.585402,167
全部逆張り(素),大きさ別,3件以上,285,-1892.454388,-6.166946,-16.685676,3.817368,0.659649,-5.925870,1.049692,133
全部逆張り(素),大きさ別,単発,1350,2831.251305,1.124668,-3.443198,6.706068,0.433333,1.728556,0.289587,219
前段の3択(清算)A,大きさ別,2件,365,-539.593739,-0.878485,-6.211683,3.814919,0.531507,-0.891621,0.608256,167
前段の3択(清算)A,大きさ別,3件以上,285,-1641.346238,-4.061638,-14.124477,3.831609,0.645614,-4.009505,1.183618,133
前段の3択(清算)A,大きさ別,単発,1350,-2910.398843,0.000000,-4.037852,0.000000,0.392593,-2.033313,0.235563,219
完全な判断(値段)A,大きさ別,2件,365,1727.635164,3.808672,-0.389399,8.737733,0.265753,4.303512,0.502743,167
完全な判断(値段)A,大きさ別,3件以上,285,3940.874670,10.673411,4.273340,22.469333,0.136842,12.954148,1.158449,133
完全な判断(値段)A,大きさ別,単発,1350,3626.960823,2.031400,-2.118400,7.083954,0.368148,2.606393,0.236438,219
②opt,大きさ別,3件以上,285,1256.002666,5.213128,-11.622492,22.057052,0.414035,3.882304,1.774271,133
