方策,母集団,n,合計_bp,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,日数
①3択A,0として含める(全連鎖),2000,-6364.476306,-0.491637,-7.931250,1.002225,0.518500,-2.575934,0.269713,223
①3択A,入った連鎖だけ,2000,-6364.476306,-0.491637,-7.931250,1.002225,0.518500,-2.575934,0.269713,223
①3択B,0として含める(全連鎖),2000,-6243.544495,-0.498860,-8.082154,1.081638,0.517500,-2.502466,0.284824,223
①3択B,入った連鎖だけ,2000,-6243.544495,-0.498860,-8.082154,1.081638,0.517500,-2.502466,0.284824,223
①3択A(出口300秒),0として含める(全連鎖),2000,-6445.040362,0.000000,-13.126170,4.960202,0.458000,-2.549893,0.506386,223
①3択A(出口300秒),入った連鎖だけ,2000,-6445.040362,0.000000,-13.126170,4.960202,0.458000,-2.549893,0.506386,223
全部逆張り(素),0として含める(全連鎖),2000,453.377664,0.245456,-5.210890,6.202749,0.488000,0.135657,0.256661,223
全部逆張り(素),入った連鎖だけ,2000,453.377664,0.245456,-5.210890,6.202749,0.488000,0.135657,0.256661,223
前段の3択(清算)A,0として含める(全連鎖),2000,-5091.338820,0.000000,-5.769617,0.856877,0.454000,-2.156682,0.273040,223
前段の3択(清算)A,入った連鎖だけ,2000,-5091.338820,0.000000,-5.769617,0.856877,0.454000,-2.156682,0.273040,223
完全な判断(値段)A,0として含める(全連鎖),2000,9295.470657,3.290480,-1.352263,9.028635,0.316500,4.113303,0.242846,223
完全な判断(値段)A,入った連鎖だけ,2000,9295.470657,3.290480,-1.352263,9.028635,0.316500,4.113303,0.242846,223
②opt,0として含める(全連鎖),2000,1256.002666,0.000000,0.000000,0.000000,0.059000,0.352859,0.255427,223
②opt,入った連鎖だけ,285,1256.002666,5.213128,-11.622492,22.057052,0.414035,3.882304,1.774271,133
