経路,区分,bitFlyerの合計_bp,Binanceの合計_bp,対の数,対差の中央値_bp,対差のp25_bp,対差のp75_bp,符号が変わった本数,対差の平均_bp,どちらも0の本数,備考,遅れp50_ms,遅れp75_ms,遅れp90_ms,遅れp99_ms,遅れ最大_ms,1秒超の割合,5秒超の割合
秒単位(標本日に掛かる後半の連鎖),全部逆張り(素),-1684.444091,-884.269320,500,-1.091777,-3.510852,1.339623,86,-1.600350,0,,,,,,,,
秒単位・bitFlyer の約定の遅れ ≤ 5 秒の対だけ,全部逆張り(素),-1340.689396,-868.348374,348,-1.198702,-3.473707,1.418542,45,-1.357302,,,,,,,,,
秒単位(標本日に掛かる後半の連鎖),①3択A,-858.767506,-1079.343875,502,0.000000,-1.599046,2.230718,62,0.439395,86,,,,,,,,
秒単位・bitFlyer の約定の遅れ ≤ 5 秒の対だけ,①3択A,-334.896664,-601.138524,350,0.000000,-1.456946,2.554750,38,0.760691,,,,,,,,,
秒単位(標本日に掛かる後半の連鎖),②opt,-387.579842,32.437781,121,-2.415628,-7.234454,2.502992,7,-3.471220,0,,,,,,,,
秒単位・bitFlyer の約定の遅れ ≤ 5 秒の対だけ,②opt,-510.386178,-178.401542,99,-2.184944,-7.194537,2.524583,4,-3.353380,,,,,,,,,
秒単位(標本日に掛かる後半の連鎖),(母集団),,,506,,,,,,,標本日 16 日のうち後半に掛かる連鎖 506 本。① の確率が引けなかった連鎖 0 本,,,,,,,
約定の遅れ(目標時刻からの差、全部逆張り(素)),Binance_入り,,,500,,,,,,,,238.500000,708.250000,1310.300000,3902.230000,12414.000000,0.154000,0.004000
約定の遅れ(目標時刻からの差、全部逆張り(素)),Binance_出,,,500,,,,,,,,446.000000,929.000000,1888.100000,4781.620000,7847.000000,0.234000,0.010000
約定の遅れ(目標時刻からの差、全部逆張り(素)),bitFlyer_入り,,,500,,,,,,,,619.000000,2509.750000,8001.800000,46480.560000,256746.000000,0.404000,0.148000
約定の遅れ(目標時刻からの差、全部逆張り(素)),bitFlyer_出,,,500,,,,,,,,1646.500000,4616.000000,12425.100000,69585.660000,196746.000000,0.620000,0.234000
1分の始値(後半の全連鎖),全部逆張り(素),-3090.491636,-2039.825544,1955,-0.265952,-2.682869,2.131891,260,-0.537425,,,,,,,,,
