線,方策,型,遅れ_秒,向き,出口の理由,本数,費用なしの合計_bp,費用を引いた合計_bp,費用なしの中央値_bp,負の割合(費用なし)
①3択A(従来),logistic_3択,A,1,順張り,利確,0,0.000000,0.000000,,
①3択A(従来),logistic_3択,A,1,順張り,次の清算で決済,110,380.200091,159.757341,2.483023,0.200000
①3択A(従来),logistic_3択,A,1,順張り,連鎖の終わり,960,-3930.566594,-5854.430594,-4.246207,0.647917
①3択A(従来),logistic_3択,A,1,順張り,合計,1070,-3550.366503,-5694.673253,-2.828600,0.601869
①3択A(従来),logistic_3択,A,1,逆張り,利確,0,0.000000,0.000000,,
①3択A(従来),logistic_3択,A,1,逆張り,次の清算で決済,13,-305.801963,-331.854288,-19.101903,1.000000
①3択A(従来),logistic_3択,A,1,逆張り,連鎖の終わり,558,780.297187,-337.948763,1.313785,0.388889
①3択A(従来),logistic_3択,A,1,逆張り,合計,571,474.495224,-669.803051,1.025256,0.402802
①3択A(順張り利確5bp),logistic_3択(順張り利確5bp・入り値基準),A,1,順張り,利確,753,3864.077713,2355.046888,5.067769,0.000000
①3択A(順張り利確5bp),logistic_3択(順張り利確5bp・入り値基準),A,1,順張り,次の清算で決済,71,63.496280,-78.789495,0.794899,0.295775
①3択A(順張り利確5bp),logistic_3択(順張り利確5bp・入り値基準),A,1,順張り,連鎖の終わり,559,-7121.092841,-8241.342816,-10.368969,0.898032
①3択A(順張り利確5bp),logistic_3択(順張り利確5bp・入り値基準),A,1,順張り,合計,1383,-3193.518848,-5965.085423,5.009634,0.378163
①3択A(順張り利確5bp),logistic_3択(順張り利確5bp・入り値基準),A,1,逆張り,利確,0,0.000000,0.000000,,
①3択A(順張り利確5bp),logistic_3択(順張り利確5bp・入り値基準),A,1,逆張り,次の清算で決済,17,-348.254226,-382.322651,-18.682909,1.000000
①3択A(順張り利確5bp),logistic_3択(順張り利確5bp・入り値基準),A,1,逆張り,連鎖の終わり,585,960.079118,-212.275507,1.512462,0.379487
①3択A(順張り利確5bp),logistic_3択(順張り利確5bp・入り値基準),A,1,逆張り,合計,602,611.824892,-594.598158,1.232168,0.397010
完全な判断(値段)A,完全な判断,A,1,順張り,利確,0,0.000000,0.000000,,
完全な判断(値段)A,完全な判断,A,1,順張り,次の清算で決済,341,3871.376686,3188.004161,8.078165,0.041056
完全な判断(値段)A,完全な判断,A,1,順張り,連鎖の終わり,595,1987.500770,795.105895,3.929676,0.344538
完全な判断(値段)A,完全な判断,A,1,順張り,合計,936,5858.877456,3983.110056,5.797595,0.233974
完全な判断(値段)A,完全な判断,A,1,逆張り,利確,0,0.000000,0.000000,,
完全な判断(値段)A,完全な判断,A,1,逆張り,次の清算で決済,10,-22.249084,-42.289334,-2.153776,1.000000
完全な判断(値段)A,完全な判断,A,1,逆張り,連鎖の終わり,1150,7659.278687,5354.649937,4.892051,0.192174
完全な判断(値段)A,完全な判断,A,1,逆張り,合計,1160,7637.029603,5312.360603,4.811319,0.199138
