series,variable,state,n,mean,ci_lo,ci_hi,cost_mean,net_mean,net_ci_lo,net_ci_hi
1306T,実現ボラ三分位,1_低,1189,3.1042008264879217,-1.0228670796381842,6.9846591307893116,11.643771584190544,-8.539570757702625,-12.377124655558777,-4.508671290637328
1306T,実現ボラ三分位,2_中,1188,3.5369523177860946,-1.4357286056385872,8.244676138779349,13.682222190952555,-10.145269873166457,-15.215107519662642,-5.098145351873659
1306T,実現ボラ三分位,3_高,1188,11.519795974544353,5.0488712601124135,17.98406389447759,15.244737401316039,-3.724941426771683,-10.066505043159747,3.005278728912806
1306T,直前リターン符号,1_上昇,1923,6.658310884953223,2.626256949863567,10.302926344865762,13.693720456886313,-7.035409571933091,-11.212827082444456,-3.1281585203226276
1306T,直前リターン符号,2_非上昇,1716,5.498419575235731,1.1068636206832283,9.540441165909208,13.877021321808757,-8.378601746573027,-13.008354834606445,-4.148919892990448
1306T,直前リターン三分位,1_下位,1213,5.896661259060842,0.08929516584743982,11.212061004956507,14.24345460852784,-8.346793349466996,-14.263212172068021,-2.884799550538605
1306T,直前リターン三分位,2_中位,1213,4.795074865233239,0.5027599829481886,9.080013381916313,13.029460633723597,-8.234385768490357,-13.24598465879582,-3.6030872766157347
1306T,直前リターン三分位,3_上位,1213,7.6423280330592265,3.0318487645202374,12.17435980987956,14.067557162378579,-6.425229129319355,-11.68237297845177,-1.3752227737082163
1306T,SQまでの日数,1_0-2日,523,4.644696618271104,-5.882272633218831,13.851044004285122,13.788151274568461,-9.143454656297358,-20.06557988279645,1.3966908430410434
1306T,SQまでの日数,2_3-9日,802,3.6939445781859797,-4.936882713995561,12.037126012753655,13.804188924604384,-10.110244346418405,-19.16291171361657,-2.0053129712941344
1306T,SQまでの日数,3_10日以上,2317,7.260524192336191,4.002702415923167,10.561336930299838,13.790950736009187,-6.530426543672996,-10.013572019898593,-3.473673228199334
1306T,曜日,1_月,672,9.860241870954914,2.5936235177249607,17.507488510695648,13.812796339871287,-3.952554468916373,-12.61598898435646,4.306893453628787
1306T,曜日,2_火,743,5.159520429417552,0.15071623843068085,10.327288079736437,13.710618477105898,-8.551098047688345,-13.83008701427238,-3.3334222376843163
1306T,曜日,3_水,748,4.084642454443738,-1.3823593852079197,9.551550148734783,13.759961186887274,-9.675318732443536,-15.365945104244346,-4.027436960085497
1306T,曜日,4_木,746,2.3054758558425927,-4.773550045490577,10.13580173140473,13.849997387635726,-11.544521531793132,-18.510500375875953,-4.583293209162579
1306T,曜日,5_金,733,9.52189723872096,0.15956557587986145,19.080904251694015,13.836368078600527,-4.314470839879568,-13.889937732033848,5.236453655127108
1306T,月,01,283,4.380414916198603,-5.617786823568095,14.539825956140271,12.573547408505746,-8.193132492307141,-18.27874531009467,1.286120508619114
1306T,月,02,283,5.637126011579999,-5.949012707507285,16.39967577214457,12.567646884013303,-6.930520872433306,-18.40149132576451,3.574252478648833
1306T,月,03,312,5.293814862625577,-5.94789245611208,15.824322834417739,12.33606374244544,-7.042248879819865,-17.611973510181894,3.4734351669376764
1306T,月,04,307,6.732360438030136,-4.499690866423546,19.316625713831726,15.27577813872142,-8.543417700691286,-19.878167312273302,3.036243438280544
1306T,月,05,292,5.722165127305427,-5.046701072630263,15.317723241107934,14.885081677618174,-9.162916550312744,-20.724499081161426,0.7604631448220118
1306T,月,06,320,10.143153033294626,2.1935201879614667,18.01485356032011,14.947962546122096,-4.804809512827471,-12.485913625718359,2.0432897850211904
1306T,月,07,315,-4.200419366760172,-11.044842278646211,2.6976726590523508,15.00257193635657,-19.202991303116743,-27.919562063950043,-11.153121905300509
1306T,月,08,320,-2.886651909719092,-12.375540354890546,5.96433702680901,14.90871217234922,-17.79536408206831,-28.357427734596534,-8.119472344207058
1306T,月,09,291,5.279696259419642,-2.856983527211005,13.214505078652946,13.685687183982006,-8.405990924562365,-17.199933578560408,0.5624494898790079
1306T,月,10,316,10.561456183627167,1.6682039040379162,19.66079056651478,13.33259322402166,-2.7711370403944913,-12.742751935619781,6.714252066132407
1306T,月,11,293,17.689077356593646,7.806435574760909,27.921001401403363,13.107365620232581,4.581711736361063,-6.616508853045949,15.244185562947358
1306T,月,12,310,9.465656630132196,1.9390744372767599,18.661046036561295,12.64464275053729,-3.178986120405095,-10.796440081846239,4.714802024106002
1306T,泊数,1_1泊,2835,4.955528428467355,2.206139749726412,7.641627260379829,13.78942344225803,-8.833895013790672,-11.857945410625513,-5.979428140626559
1306T,泊数,2_2-3泊,685,9.010199058363801,-0.06276048636033801,17.62534243916024,13.854680105673465,-4.844481047309661,-13.611110615876104,4.352343697105395
1306T,泊数,3_4泊以上,122,16.339713008358533,-7.691083534004116,41.23958909697427,13.543640641618653,2.7960723667398812,-18.833035832866013,25.425323848118158
1306T,制度区分,2011-09-05..2024-11-04,3198,5.2394104289770596,1.9692890934683644,8.39311191966311,13.43767668109945,-8.19826625212239,-11.457364922284302,-4.997456830955192
1306T,制度区分,2024-11-05..2026-09-03,444,12.294414155034367,3.2365323375895927,20.756684694936006,16.356093385831674,-4.0616792307973055,-14.194615971781788,4.992063066259343
1591T,実現ボラ三分位,1_低,1001,5.855273491215256,1.7699691274238152,9.834231779915559,6.239511580851992,-0.38423808963673534,-4.425710207813366,3.5763346658328863
1591T,実現ボラ三分位,2_中,1001,4.945449452865192,-0.22321718329936127,10.193692678838687,6.0626338504062876,-1.1171843975410947,-6.254933289023372,4.122204520040778
1591T,実現ボラ三分位,3_高,1001,14.492596886372121,7.62286343260046,21.4660930891946,6.61495766479573,7.877639221576392,0.8262080610884132,14.978732892783793
1591T,直前リターン符号,1_上昇,1616,8.911913038198588,5.270031878606521,12.71402754550856,6.264792738632701,2.6471202995658882,-1.246534503232398,6.536437808561658
1591T,直前リターン符号,2_非上昇,1442,8.075941615802135,2.9290975325219395,12.951989447404722,6.368540142409469,1.707401473392666,-3.3688751186411396,6.400370976107292
1591T,直前リターン三分位,1_下位,1020,8.830640618331762,2.608161020893213,14.9224348247565,6.386629984030205,2.4440106343015544,-3.9198696379711246,8.665649805437441
1591T,直前リターン三分位,2_中位,1019,7.074294153422779,1.993547947990266,11.533906535169947,6.2536248093043545,0.8206693441184236,-3.8547343704068338,5.424088468122607
