date,date_t1,open_t,close_t,open_t1,close_t1,r,r_night_bps,r_day_bps,nights,cost_bps_cons,cost_bps_opt,r_net_bps_cons,r_net_bps_opt,pnl_yen_cons,roll_monthly,roll_quarterly,nightless_marked,is_glitch,night_open,night_close,has_night,leg_b_bps,leg_a_bps,leg_c_bps,regime,weekday,month,year,vol20,vol_tercile,sq_dist_td
2020-12-21,2020-12-22,26720.0,26650.0,26450.0,26340.0,-0.007504690431519689,-75.0469043151969,-26.197604790418882,1,4.577861163227017,0.8255159474671669,-79.62476547842391,-75.87242026266406,-2122.0,False,False,False,False,26560.0,26530.0,True,-11.295180722891152,-33.77110694183894,-30.15454202789258,2020-12-21..2024-11-04(引け 15:15),Monday,12,2020,,unknown,12
2020-12-22,2020-12-23,26450.0,26340.0,26570.0,26480.0,0.008731966590736606,87.31966590736606,-41.587901701323204,1,4.6317388003037205,0.8352315869400152,82.68792710706234,86.48443432042605,2178.0,False,False,False,False,26370.0,26510.0,True,53.09063329541175,11.38952164009055,22.632968691060906,2020-12-21..2024-11-04(引け 15:15),Tuesday,12,2020,,unknown,11
2020-12-23,2020-12-24,26570.0,26480.0,26610.0,26650.0,0.004909365558912304,49.093655589123046,-33.87278885961575,1,4.6072507552870094,0.8308157099697885,44.48640483383603,48.262839879153255,1178.0,False,False,False,False,26530.0,26640.0,True,41.46249528835355,18.88217522658664,-11.261261261261701,2020-12-21..2024-11-04(引け 15:15),Wednesday,12,2020,,unknown,10
2020-12-24,2020-12-25,26610.0,26650.0,26620.0,26650.0,-0.0011257035647279645,-11.257035647279645,15.03194287861609,1,4.577861163227017,0.8255159474671669,-15.834896810506663,-12.082551594746812,-422.0,False,False,False,False,26640.0,26600.0,True,-15.015015015015232,-3.7523452157595116,7.518796992480592,2020-12-21..2024-11-04(引け 15:15),Thursday,12,2020,,unknown,9
2020-12-25,2020-12-28,26620.0,26650.0,26620.0,26780.0,-0.0011257035647279645,-11.257035647279645,11.26972201352272,3,4.577861163227017,0.8255159474671669,-15.834896810506663,-12.082551594746812,-422.0,False,False,False,False,26640.0,26630.0,True,-3.7537537537535304,-3.7523452157595116,-3.7551633496057946,2020-12-21..2024-11-04(引け 15:15),Friday,12,2020,,unknown,8
2020-12-28,2020-12-29,26620.0,26780.0,26880.0,27570.0,0.0037341299477222645,37.34129947722265,60.10518407212562,1,4.5556385362210605,0.8215085884988799,32.78566094100159,36.51979088872377,878.0,False,False,False,False,26810.0,26880.0,True,26.109660574411553,11.202389843165683,0.0,2020-12-21..2024-11-04(引け 15:15),Monday,12,2020,,unknown,7
2020-12-29,2020-12-30,26880.0,27570.0,27520.0,27470.0,-0.0018135654697134518,-18.13565469713452,256.69642857142793,1,4.425099746100835,0.797968806673921,-22.560754443235354,-18.93362350380844,-622.0,False,False,False,False,27530.0,27500.0,True,-10.897203051216664,-14.508523757708058,7.2727272727268755,2020-12-21..2024-11-04(引け 15:15),Tuesday,12,2020,,unknown,6
2020-12-30,2021-01-04,27520.0,27470.0,27600.0,27320.0,0.004732435384055433,47.32435384055434,-18.1686046511631,5,4.44120859119039,0.8008736803785949,42.88314524936395,46.523480160175744,1178.0,False,False,False,False,27510.0,27450.0,True,-21.810250817884125,14.561339643246463,54.64480874316946,2020-12-21..2024-11-04(引け 15:15),Wednesday,12,2020,,unknown,5
2021-01-04,2021-01-05,27600.0,27320.0,27090.0,27070.0,-0.008418740849194695,-84.18740849194694,-101.44927536231863,1,4.465592972181552,0.8052708638360175,-88.6530014641285,-84.99267935578295,-2422.0,False,False,False,False,27370.0,27100.0,True,-98.64815491413937,18.30161054172663,-3.6900369003689537,2020-12-21..2024-11-04(引け 15:15),Monday,1,2021,,unknown,4
2021-01-05,2021-01-06,27090.0,27070.0,27090.0,27010.0,0.0007388252678242058,7.388252678242058,-7.382798080473041,1,4.506834133727374,0.8127077946065756,2.881418544514684,6.575544883635482,78.0,False,False,False,False,27110.0,27190.0,True,29.50940612320263,14.776505356484115,-36.77822728944457,2020-12-21..2024-11-04(引け 15:15),Tuesday,1,2021,,unknown,3
