label,n,mean,sd,t,hit_rate,ci_lo,ci_hi,sharpe
"主集合(四半期規則)n=1,370",1370,2.488616268529659,108.78638909142072,0.8467274859970838,0.5240875912408759,-2.562504185273258,7.446277193824408,0.35524642784604893
"月次規則 n=1,236",1236,1.4048630010416585,109.26482278005099,0.4520254056640907,0.5186084142394822,-3.98657265512172,6.465399522620106,0.18964827918481256
1泊のみの部分集合,1086,3.0696440733733676,98.86610671270095,1.0231881509412217,0.5174953959484346,-1.8717495965309965,8.250865814420603,0.42928089810175935
誤プリント除外のみ(ロール含む),1436,2.1821774859313177,109.27725303477153,0.7567240230078814,0.5201949860724234,-2.9210461090266895,6.908781620946287,0.3174852718077078
四半期ロール除外のみ(誤プリント含む),1371,3.2264617506295346,112.12597567486301,1.0654645714140296,0.524434719183078,-1.477699322129175,7.946219426094476,0.4470180657306065
制度区分 2020-12-21..2024-11-04(引け 15:15),928,0.2170217495994506,95.18400791167498,0.06945655852276006,0.5150862068965517,-5.306186520295502,5.211164591162393,0.03528825257083491
制度区分 2020-12-21..2024-11-04(引け 15:15) 夜間−日中の差,928,2.9635593227834987,137.2966393382254,0.6575483710853821,0.5053879310344828,-5.01300269383983,10.15408385173448,0.33407547811051524
制度区分 2024-11-05..2026-08-28(引け 15:45),442,7.257936887460052,132.8899325533344,1.1482388610870315,0.5429864253393665,-4.511962948999281,17.96981445381632,0.8541917756169131
制度区分 2024-11-05..2026-08-28(引け 15:45) 夜間−日中の差,442,9.418907130955104,167.89959849042228,1.179402358532368,0.502262443438914,-3.9601004398103745,22.563690600645852,0.8773747596800587
夜間延長前(..2021-09-20、データ由来の候補日),173,7.284971590345148,76.1264112208475,1.2586806548904106,0.5491329479768786,-1.4971794878770062,15.400097196714055,1.4639585742988626
夜間延長後(2021-09-21..、データ由来の候補日),1197,1.7954086906899944,112.73457997688577,0.5510020912654385,0.52046783625731,-4.292131353108032,7.264540507627364,0.2478618896524254
年 2020,8,8.623478073573914,51.38907756931657,0.47463158411533357,0.5,,,2.4243076348678287
年 2021,233,6.995335909043954,80.70003632947456,1.323161342366435,0.5450643776824035,-0.18903326752201016,13.959892171561139,1.3236144022469838
年 2022,236,-11.356649402183717,96.50546527073973,-1.8078163557036726,0.4533898305084746,-23.571098744709083,0.9074123724845121,-1.8109177756466006
年 2023,245,4.465785244449594,71.37581198704372,0.9793317051051155,0.5387755102040817,-4.2018211148815325,13.53267691008033,0.9796670352656375
年 2024,243,0.5254813087055759,121.37414534763894,0.0674891913964932,0.5267489711934157,-9.42246530780212,9.319451374606773,0.0674200071739037
年 2025,243,1.0209189120317228,121.04142203051168,0.13148020378024214,0.5349794238683128,-17.336886582279472,15.007807119305188,0.1311663545938552
年 2026,162,18.029505042443475,158.3670133979142,1.4490273577900368,0.5555555555555556,2.117778327923523,33.208945490108974,1.8103550952542613
