label,n,mean,sd,t,hit_rate,ci_lo,ci_hi,sharpe
"主集合(n=2,768 相当)",3078,-4.587011884902883,111.6842198426363,-2.2786223784729525,0.48180636777128005,-8.54870436113701,-0.9240587287090276,-0.6260220920454247
"四半期ロール規則(PREREG n=3,081 相当)",3078,-4.587011884902883,111.6842198426363,-2.2786223784729525,0.48180636777128005,-8.54870436113701,-0.9240587287090276,-0.6260220920454247
"四半期ロール規則・誤プリント含む(n=3,081)",3081,-4.8255899544611065,119.2610180562133,-2.245937945116063,0.4816617981174943,-8.742120961975049,-1.20875087088414,-0.6170424657849682
1泊のみの部分集合,2402,-5.5592406416287234,106.81313297593462,-2.5508053634298906,0.4750208159866778,-9.856647049039925,-1.144053335075951,-0.7008008545431851
夜間セッション無しの5ペアを除外,3073,-4.680957676018264,111.36572775360122,-2.3300456784165404,0.4816140579238529,-8.727175289939364,-0.9679749050121539,-0.6401499800687741
誤プリント除外のみ(ロール含む),3237,-5.654852606605203,113.88342921359033,-2.82508879921806,0.47945628668520235,-9.442041214174829,-1.9886308533801833,-0.776156688799754
誤プリント除外なし(ロール除外のみ),3081,-4.8255899544611065,119.2610180562133,-2.245937945116063,0.4816617981174943,-8.742120961975049,-1.20875087088414,-0.6170424657849682
制度区分 2007-09..2011-02-13,787,-12.354033549158606,146.32410944565666,-2.3685374337968215,0.4675984752223634,-21.606317703140025,-2.8647175841308408,-1.283409279583311
制度区分 2011-02-14..2016-07-18,1266,-2.3326817707235645,103.83798402265147,-0.79931157192894,0.48973143759873616,-7.569745187985091,2.8055642395036595,-0.34313055102263107
制度区分 2016-07-19..2020-12-20,1025,-1.4078273724948456,87.54342720431869,-0.5148583885060903,0.48292682926829267,-6.961967605358175,4.168694484785219,-0.24499979537241218
train(暦日分割),2159,-5.569569545669918,120.71227173425345,-2.143860532722672,0.4826308476146364,-10.120933269318673,-0.9027643562459298,-0.7031884879977628
val(暦日分割),919,-2.2786963358321244,86.87486507669641,-0.7951518369218015,0.47986942328618065,-7.910139064765571,3.14370963677853,-0.39990937216345707
