period,n,mean,ci_lo,ci_hi
2007,66,7.590486698232284,7.28730521567548,7.865374434428659
2008,230,10.366605592775059,9.321706670454477,11.67276292952972
2009,231,13.217192856608595,12.506429152860335,14.067219887893751
2010,233,12.240613774004348,11.828553556032332,12.615326869978578
2011,233,13.024749269748362,12.52134687856787,13.550285744657902
2012,236,13.460256749595269,13.124777754351761,13.752822867529977
2013,233,9.097867978869903,8.603580953055666,9.6242395598455
2014,232,7.931250375612917,7.665868702788623,8.166325173808215
2015,232,6.375600824796202,6.182478898020399,6.572046031202982
2016,233,7.249512272064332,7.04216791464169,7.413978386706021
2017,235,6.06660950611062,5.861207490412417,6.240106625501856
2018,233,5.48079595585833,5.395360641210562,5.568652142723267
2019,229,5.646557107890598,5.514264778756764,5.7570894012377725
2020,231,5.4399520287315974,5.144662510597981,5.7548124372638485
2021,233,4.240735317057944,4.1965872944290386,4.289535840687933
2022,236,4.484852092993899,4.43194581049523,4.5325808976705515
2023,245,4.013571962965351,3.853722185036567,4.1864278423675545
2024,243,3.1851131479607613,3.134276744427579,3.2425521827821564
2025,243,2.9625571081966466,2.7704771471475147,3.1444882678700457
2026,162,2.030996753788465,1.9118993505248412,2.1552513214484925
