end_date,n,mean,ci_lo,ci_hi
2008-10-17,250,-17.395825958006498,-30.773401933219226,-4.320936160901924
2008-10-20,250,-16.65194890689272,-30.4437901460883,-3.89897631110781
2008-10-21,250,-17.19889085383467,-30.774605962891215,-4.309223235498233
2008-10-22,250,-19.528016988874004,-33.69340990051606,-6.869212807260492
2008-10-23,250,-20.38379199994842,-35.69614159299422,-7.1701810263239265
2008-10-24,250,-21.698525476445678,-37.93350723639079,-7.460600190267512
2008-10-27,250,-22.357630693911894,-38.9584995220401,-7.64401585281472
2008-10-28,250,-19.98344980120121,-35.42070679576184,-6.571966908872006
2008-10-29,250,-19.64289994599403,-35.6506177528208,-5.51931721567978
2008-10-30,250,-20.869429030827302,-36.6565717343117,-6.6671217166197945
2008-10-31,250,-18.11003725980763,-33.99738227536913,-3.4776626742111914
2008-11-04,250,-16.614516052043424,-33.524172879365125,-0.9887932083198747
2008-11-05,250,-18.990303284624726,-34.552811468962844,-4.8722116232038415
2008-11-06,250,-21.13260772437103,-37.28451140263493,-6.881685152795931
2008-11-07,250,-19.521033840804176,-35.55868759816001,-5.336679454988725
2008-11-10,250,-20.397526770218413,-36.80075179324536,-6.150740472476119
2008-11-11,250,-21.74903919885327,-38.50493698821386,-7.089547800983996
2008-11-12,250,-23.972362274157724,-42.97055111004395,-7.8918052932202345
2008-11-13,250,-21.604997485029163,-38.36223330995657,-6.812895155325763
2008-11-14,250,-22.459193320307065,-40.61353427901657,-7.84743946457082
2008-11-17,250,-22.939028310344828,-40.57833423397415,-8.05865803901512
2008-11-18,250,-21.97294512183298,-39.38042256683389,-7.678358542639255
2008-11-19,250,-23.671687387872396,-42.74930889091277,-8.45866518288537
2008-11-20,250,-25.233226627354597,-46.2411364413712,-9.053414814894406
2008-11-21,250,-23.398830681403467,-41.73363086987008,-8.002749313329526
2008-11-25,250,-24.442811614593026,-43.1670397746096,-8.772248350761346
2008-11-26,250,-23.706178736055964,-42.01185337920581,-8.917474853019192
2008-11-27,250,-23.37676156074866,-41.00071377909238,-7.915809138140475
2008-11-28,250,-23.63742210469621,-41.13565390807588,-8.359455843235565
2008-12-01,250,-26.31058103433629,-48.24232823276703,-9.560234259646705
2008-12-02,250,-24.808531065405525,-44.0809274754582,-8.97137878336448
2008-12-03,250,-24.718348262017972,-43.548892023290854,-8.524447384883198
2008-12-04,250,-23.823864751694416,-42.43237089419185,-8.29462319047855
2008-12-05,250,-23.673308552119206,-42.16273205523194,-7.890782662432265
2008-12-08,250,-22.928989359418917,-40.03332712197103,-8.01117137957372
2008-12-09,250,-23.20058977086685,-40.48481437568588,-8.171953011489393
2008-12-15,250,-22.5880027063756,-39.801185491464516,-7.609637640648555
2008-12-16,250,-21.61997367423638,-39.40452471921595,-6.028141283735241
2008-12-17,250,-23.1100603794387,-40.51820831985701,-7.493241562359338
2008-12-18,250,-23.2122581669289,-40.072559468638495,-7.477757653316382
2008-12-19,250,-22.90352189904127,-40.18350573136931,-7.369708959532181
2008-12-22,250,-23.712162414374884,-40.837250618073355,-8.063655993053834
2008-12-24,250,-23.146612640803593,-40.51549271073772,-6.939429499043283
2008-12-25,250,-22.855297670860093,-39.467761900959275,-6.456941488614142
2008-12-26,250,-22.546219662595977,-40.045854076770624,-6.654510500210834
2008-12-29,250,-23.184307693484005,-40.906598420471084,-7.414414632288494
2008-12-30,250,-20.467079941204094,-38.310079216655,-3.017350709575327
2009-01-05,250,-19.879834631322076,-37.51367024804623,-2.6945631450200715
2009-01-06,250,-20.410302147241936,-37.23356762369479,-3.9575538296523343
2009-01-07,250,-21.332773766823383,-38.169652273065694,-5.633746318904161
2009-01-08,250,-21.213337765702445,-38.54259733970071,-5.618289958989337
2009-01-09,250,-22.511137614563502,-39.31365567910968,-6.9919820361271094
2009-01-13,250,-22.33889071745892,-39.13851602318499,-7.360816016978957
2009-01-14,250,-24.527603944754027,-42.00624093201139,-8.809127489778978
2009-01-15,250,-24.2610328454483,-41.11314877662687,-8.795411783692932
2009-01-16,250,-24.028406857215728,-41.577803096131525,-8.550822767485803
2009-01-19,250,-24.942603474108385,-42.85641912193358,-9.655347905797658
2009-01-20,250,-25.319528167412052,-43.875736271026994,-9.186938146571054
2009-01-21,250,-24.345902951885463,-41.540030389646695,-9.077004248879623
2009-01-22,250,-24.925373969846298,-42.16083252023983,-9.419296795952851
2009-01-23,250,-25.453466132694988,-44.1690059579295,-9.602705441260113
2009-01-26,250,-24.48631959270716,-43.2900864121992,-8.678852702230104
2009-01-27,250,-25.498885836276692,-44.08456461736205,-9.242960120653201
2009-01-28,250,-24.813604490585575,-43.1764542429721,-9.038474373959275
2009-01-29,250,-25.567333512026018,-43.746468681135156,-9.625143930826788
2009-01-30,250,-25.71577115331,-44.172250513809765,-9.650905360033958
2009-02-02,250,-24.929397832752585,-42.90880263292694,-9.06005999305174
2009-02-03,250,-23.904592946010453,-40.86532484228279,-8.655460845492698
2009-02-04,250,-24.17606895369794,-41.75281507924242,-8.770849937733812
2009-02-05,250,-22.612921676369318,-40.19993818996313,-7.43460661960716
2009-02-06,250,-21.587525843744153,-38.52516184756585,-5.891266871959037
2009-02-09,250,-20.77560633257685,-39.07583055265829,-5.049078850828831
2009-02-10,250,-21.52903935388593,-38.75316724578385,-5.776628155449912
2009-02-12,250,-20.400830760965167,-38.26324811295715,-4.317327950932504
2009-02-13,250,-21.29972206993802,-38.52904138383186,-5.75486517653617
2009-02-16,250,-20.56756227025327,-38.13610907855011,-4.890751541848853
2009-02-17,250,-20.96964056509474,-38.34937800047602,-4.971145539021493
2009-02-18,250,-18.953066441645195,-37.21095075697647,-1.0928651123383746
2009-02-19,250,-20.746872823224205,-37.15656821472451,-4.8517067302996795
2009-02-20,250,-22.46923224056838,-39.65489479466501,-6.8712787021591515
2009-02-23,250,-24.32412585229164,-40.975288897343766,-8.756865424935517
2009-02-24,250,-22.74905821917943,-38.790256022280396,-7.8199058504568475
2009-02-25,250,-23.987304372395162,-40.755159183553296,-8.844908928817244
2009-02-26,250,-24.135660629306013,-41.37020930754194,-8.673663513081829
2009-02-27,250,-24.599113266529137,-41.70811163441514,-9.012412652228617
2009-03-02,250,-25.310393582090914,-43.56528117224151,-9.40534536566112
2009-03-03,250,-26.582498773278925,-46.10453749991595,-10.03546984783143
2009-03-04,250,-25.97016706105386,-43.88749825251523,-10.519140117702506
2009-03-05,250,-25.858337052465963,-43.55726312407589,-10.57131005277088
2009-03-06,250,-25.76688734211396,-43.426575462631085,-9.89093484239725
2009-03-09,250,-25.53027870252661,-43.173945333216274,-9.212585496860525
2009-03-10,250,-23.673748747806997,-41.76593316628989,-7.953454114911343
2009-03-16,250,-24.282503078061037,-42.43245938509643,-8.358035048420378
2009-03-17,250,-25.183387181041905,-43.58284557710665,-9.879721583065775
2009-03-18,250,-24.508280279302582,-42.89323581353789,-8.968675537717392
2009-03-19,250,-24.360338618384947,-42.08954614310396,-9.050726217146327
2009-03-23,250,-23.92639448788485,-41.89439699326905,-8.985827864226806
2009-03-24,250,-23.57610102166115,-42.15822376985223,-7.690248996199671
2009-03-25,250,-24.151339592020705,-41.65847575903525,-8.302646586253411
2009-03-26,250,-23.66249516997741,-41.37550140926045,-7.801488956649578
2009-03-27,250,-23.992099564638593,-42.18635840412593,-7.9745206417284535
2009-03-30,250,-24.54365200629692,-42.14030222931631,-8.682340324111008
2009-03-31,250,-24.548167605640106,-41.70795479931738,-9.134077444572672
2009-04-01,250,-23.370952738759215,-41.2144141300995,-6.712919480772407
2009-04-02,250,-21.649561391854995,-40.31575792699926,-3.316360536381729
2009-04-03,250,-19.48151305887646,-39.30253445717376,2.155204413970634
2009-04-06,250,-19.927549683051318,-39.438252761326424,0.10866801280998582
2009-04-07,250,-20.655338608169064,-39.581003971971505,-0.5187376725356555
2009-04-08,250,-20.51679331896841,-38.9050253727125,-0.6165938786106955
2009-04-09,250,-18.57826242571027,-38.923489873368105,4.00688330730747
2009-04-10,250,-18.540112968970114,-40.07340242395435,4.179229837161493
2009-04-13,250,-17.545594574606067,-39.05906919883392,5.7284986024848275
2009-04-14,250,-19.540130733693516,-40.19689559233419,0.5851639450623284
2009-04-15,250,-19.015829453202745,-39.08209064145302,2.954558137536876
2009-04-16,250,-19.970552300725597,-39.82559604726654,1.2927211842004096
2009-04-17,250,-20.24168011287177,-39.49034288490348,0.05792149561754569
2009-04-20,250,-21.299684662652282,-41.029839459081245,-1.0022018522699756
2009-04-21,250,-21.850573020057073,-41.03284234024755,-2.2635366117267703
2009-04-22,250,-21.388063672060213,-41.27232587422126,-2.321465026208957
2009-04-23,250,-20.858640503553193,-40.80630048467761,-1.0473447681652843
2009-04-24,250,-20.523800822506107,-40.47057560487074,-0.8628031753959986
2009-04-27,250,-20.61234483674732,-39.33833284084121,-0.5780583531186886
2009-04-28,250,-19.664731187661197,-39.14715639258067,0.8923227747103902
2009-04-30,250,-20.92955305747626,-40.881050091348996,-1.4752828952978376
2009-05-01,250,-19.426530759521544,-39.52424295771543,0.09781151435239378
2009-05-07,250,-18.80747352164246,-39.56104845762689,2.3264918393453873
2009-05-08,250,-18.659546931561206,-39.37149438164966,2.6755784865198153
2009-05-11,250,-18.84410472667497,-39.15931034982056,2.5395584271388834
2009-05-12,250,-19.040332811297635,-38.88414142908201,1.6466993855194028
2009-05-13,250,-19.660363275882556,-39.39705686558288,1.6563288116646682
2009-05-14,250,-19.945958856859654,-39.113857214597175,0.6546891656821702
2009-05-15,250,-19.438138898071728,-38.897465039740986,2.521498136167825
2009-05-18,250,-18.383776917357174,-38.605923154707185,4.124115761645122
2009-05-19,250,-18.578076254316134,-38.69433953051111,3.801563225273571
2009-05-20,250,-19.595652011891893,-39.19816623033847,1.707444752890142
2009-05-21,250,-20.361107676916525,-40.40663007991771,0.4518994754620621
2009-05-22,250,-21.13797384998783,-40.7635592315363,-0.6747665930479532
2009-05-25,250,-20.618010808178873,-40.78864334351817,-0.45757812529076597
2009-05-26,250,-19.825367121305398,-39.78375275268063,1.9605238844812176
2009-05-27,250,-20.13821190231019,-41.27022535908,0.7946818934660109
2009-05-28,250,-20.13558930917213,-40.87734142333776,0.8756158506291994
2009-05-29,250,-20.44084442366515,-40.90689053593548,-0.5420738498309444
2009-06-01,250,-19.755298771961247,-40.07147416448214,0.578950567507463
2009-06-02,250,-19.6878558058276,-39.94427037561197,1.3030269314642655
2009-06-03,250,-20.772529304086024,-40.26091781493236,0.05472532676474046
2009-06-04,250,-20.758059106334084,-40.74560248121897,-0.3070486614696138
2009-06-05,250,-20.26985342554946,-40.44390083791514,0.5167606574913125
2009-06-08,250,-20.308285097765314,-40.71345960329337,0.5329481399852674
2009-06-09,250,-19.77261634419107,-39.70869262074378,1.17521951858014
2009-06-15,250,-20.449033929663138,-40.41973313361308,0.36238058813356794
2009-06-16,250,-20.640307745631702,-41.07365866740264,-0.16778983762599683
2009-06-17,250,-21.126306362803998,-40.921823825448946,-0.26497331294308973
2009-06-18,250,-21.327464418527327,-40.98953271870231,-0.13041197768685298
2009-06-19,250,-21.51376274425468,-40.73099474163891,-0.6653247816889519
2009-06-22,250,-22.16232043793235,-41.495528710459716,-1.0986315168604492
2009-06-23,250,-21.364154671847377,-41.01032488890237,-1.7206913430072044
2009-06-24,250,-20.57026752451195,-40.55384774435751,-0.7154085613826595
2009-06-25,250,-20.225716732723566,-40.90030640360124,-0.5315478620302133
2009-06-26,250,-19.682815837651855,-40.37352779945996,0.3775460997045962
2009-06-29,250,-19.552497574213092,-39.55248252437585,0.040396042651301416
2009-06-30,250,-19.865731127969507,-39.641783325058626,0.14451626755309402
2009-07-01,250,-20.155203904997926,-39.90673993505934,-0.31427214936171816
2009-07-02,250,-21.043597036235596,-41.133759035311144,-1.1619669044082828
2009-07-03,250,-21.562102325891008,-40.976893886248035,-1.5747715517977392
2009-07-06,250,-20.927961194440574,-40.00743850047426,-1.898683841279469
2009-07-07,250,-21.710702239943362,-41.15649619184,-1.6008926050292767
2009-07-08,250,-21.983673762854952,-41.9761627066245,-1.5928014594523099
2009-07-09,250,-22.527089444917248,-41.919124723218694,-2.6495522516616568
2009-07-10,250,-21.40490762673543,-40.729412233416845,-1.666351520234687
2009-07-13,250,-20.680188567537304,-39.57943619350442,-0.030646496307256965
2009-07-14,250,-20.665433542049183,-40.69027124561482,-0.12015729045517191
2009-07-15,250,-20.00288642025088,-39.80082830064803,1.4962887992151794
2009-07-16,250,-19.539313333367126,-39.63311173061829,1.246939355738302
2009-07-17,250,-18.38719856096873,-38.71734453940642,2.960761256090409
2009-07-21,250,-18.599312213488684,-39.12755090683334,2.284035582419663
2009-07-22,250,-18.037703506185185,-37.99547380843579,3.1410780756952525
2009-07-23,250,-17.16692294023242,-37.52794032288919,4.101037772039888
2009-07-24,250,-16.519290565711717,-37.91437970564401,4.543928428210506
2009-07-27,250,-16.373814603953335,-36.73896280904699,4.732219805687
2009-07-28,250,-15.574575018829274,-36.84071342085831,5.768349473940763
2009-07-29,250,-15.585898794327615,-38.08286167199905,5.583809980660099
2009-07-30,250,-15.284923205873977,-37.229101856109565,6.553929321807671
2009-07-31,250,-15.453169991592869,-36.09737465891588,5.668953450054801
2009-08-03,250,-14.699256258446628,-35.999564941653574,6.87278290926912
2009-08-04,250,-14.882604332460364,-36.57148189979967,5.610625174717273
2009-08-05,250,-14.604574946624341,-36.1210078531435,6.42082485973537
2009-08-06,250,-14.520958929133975,-37.215195971307466,6.993219308656945
2009-08-07,250,-14.738905481621794,-37.11734387884069,6.607575346515163
2009-08-10,250,-14.30550298480062,-37.20849628195482,7.264209289665575
2009-08-11,250,-14.68514910377012,-37.35693085909569,7.318187571056006
2009-08-12,250,-14.143637201203449,-36.796382402131805,8.032331998298172
2009-08-13,250,-13.662208941949041,-36.6781240408979,8.019378437106317
2009-08-14,250,-13.87817360962808,-36.54618082553371,8.158934908114075
2009-08-17,250,-14.679585599741692,-36.70652390366006,7.076666658349978
2009-08-18,250,-15.084335967952345,-37.02735736893184,6.33618471842619
2009-08-19,250,-15.536935044923496,-36.90824197248387,5.702019664820356
2009-08-20,250,-15.789493837482292,-37.12780023567446,5.032189999025621
2009-08-21,250,-15.330599175444497,-36.98999231053781,6.250350181494343
2009-08-24,250,-14.790007278807833,-35.99851335886009,6.8240865336829515
2009-08-25,250,-14.878941410544357,-36.69706558965231,6.719534431648725
2009-08-26,250,-14.672008910755562,-36.48151106300574,6.461746893884652
2009-08-27,250,-15.008877073162814,-37.02208142011623,6.064738546544422
2009-08-28,250,-14.848278264047421,-37.17256593029942,6.936371920441463
2009-08-31,250,-14.550711292726904,-36.31256141055182,6.813376828383071
2009-09-01,250,-15.520624240868564,-37.33954695881051,5.666325882271751
2009-09-02,250,-15.917497389477889,-37.118818262138504,4.689457162000218
2009-09-03,250,-16.505485005576965,-38.291727681322584,5.067030704268879
2009-09-04,250,-16.10590781127104,-37.60324516378664,5.601127310256107
2009-09-07,250,-15.67837060406976,-37.72665080647695,5.215277831366517
2009-09-08,250,-16.343951053917568,-38.31321411514238,4.722136433374571
2009-09-14,250,-16.09923334387092,-38.188279483636,5.64862338195185
2009-09-15,250,-15.592811482453481,-36.82538586024795,6.441124597920978
2009-09-16,250,-14.625254714458672,-35.557006368684895,7.353829889197242
2009-09-17,250,-14.91992712427559,-35.32595280433128,6.958659299556491
2009-09-18,250,-14.576015514257945,-35.44349189462589,7.791236847035418
2009-09-24,250,-14.345949209674991,-35.22178845124266,8.05132625099928
2009-09-25,250,-14.936358732370266,-36.308100951922206,7.103699184887719
2009-09-28,250,-14.71255921335344,-36.31471573165376,6.980991399198957
2009-09-29,250,-14.580648516401398,-35.568853919002,6.492338283349012
2009-09-30,250,-15.427632247841743,-36.99998953767214,6.673500964947449
2009-10-01,250,-15.640694892166913,-37.434402682722805,5.520557759741996
2009-10-02,250,-15.517657708231965,-37.24302336853,5.674218954221094
2009-10-05,250,-15.459722401256965,-37.367582583350995,5.619214885945713
2009-10-06,250,-15.632518274850158,-38.12301647196776,6.1890413796165955
2009-10-07,250,-15.15495311241138,-38.02061687020773,6.488197128746249
2009-10-08,250,-15.063566535221693,-37.8412342191818,6.099718292873
2009-10-09,250,-15.294428456805257,-38.01712542527284,5.854737660950163
2009-10-13,250,-14.933011806031312,-36.935201699293955,6.145509070987722
2009-10-14,250,-13.282085669811059,-34.59269544135174,8.30564464026497
2009-10-15,250,-13.999910977188106,-35.99785374973736,7.7127511555030415
2009-10-16,250,-13.916698735384779,-35.273874862012086,6.315659600187559
2009-10-19,250,-12.792143685088517,-34.42230328970244,7.618724758144369
2009-10-20,250,-13.642978067565226,-36.076683708793574,6.603197388031544
2009-10-21,250,-12.496689643529425,-34.92425278813491,7.605495306694262
2009-10-22,250,-13.381786933441498,-35.960169627151046,7.286362366328258
2009-10-23,250,-14.605458046908531,-37.18273571482676,7.399175127163274
2009-10-26,250,-14.754969573847443,-37.22600863670554,6.638972583663012
2009-10-27,250,-14.33639563840512,-37.080595922108024,7.354394025771636
2009-10-28,250,-15.137927569006822,-38.40581181396859,6.732596899490042
2009-10-29,250,-14.398409878459377,-36.176976962190494,6.5024199350675245
2009-10-30,250,-13.181661940489029,-34.21136613566656,6.786854460171187
2009-11-02,250,-14.063033238419568,-35.748473312423265,6.958642011179975
2009-11-04,250,-14.407828361829765,-36.47501220594491,7.0767086965163815
2009-11-05,250,-13.591292834114912,-34.4701574214753,7.312029521817199
2009-11-06,250,-12.948537620883677,-33.45068041827058,7.470812335863769
2009-11-09,250,-11.013101103279723,-31.367674085093697,9.203231963857604
2009-11-10,250,-8.928667316255508,-28.064721849099556,10.599590810757372
2009-11-11,250,-9.367901320301074,-28.670594656311025,9.779129304847023
2009-11-12,250,-7.633188881224999,-26.597587575234442,12.739040896457663
2009-11-13,250,-9.731464244892381,-29.388845023207708,10.383251856348704
2009-11-16,250,-10.159604052539574,-29.23630913979348,9.11658545380024
2009-11-17,250,-11.168122563528248,-30.588028977377434,8.403406692786936
2009-11-18,250,-10.258608155151373,-29.925880208609605,9.438805915472155
2009-11-19,250,-8.63987219635907,-28.013755559732175,10.310185096313182
2009-11-20,250,-7.697172998823205,-27.32056304815392,12.020318521064686
2009-11-24,250,-6.835311242724824,-26.464669295332158,13.139724865784425
2009-11-25,250,-6.9492079646662415,-26.465850863936467,12.29208799517109
2009-11-26,250,-10.307297479398683,-30.588268359727408,9.167084710680616
2009-11-27,250,-10.736944269425381,-31.088359854592618,8.835455748385012
2009-11-30,250,-10.099383868760219,-29.941022418004813,8.993313171355076
2009-12-01,250,-12.774599333923325,-34.81432079221443,7.622959191228398
2009-12-02,250,-13.765291881251388,-37.50782477696392,7.770470486572623
2009-12-03,250,-11.379013430172465,-31.822371677142637,7.841754143814072
2009-12-04,250,-8.646904339263378,-26.865309360565206,9.457136207394548
2009-12-07,250,-10.61672060566004,-29.099108562879547,8.143854756910363
2009-12-08,250,-9.962726430498813,-28.322185365158383,8.470277138817131
2009-12-14,250,-9.09969208150583,-26.16968622884554,8.599650555451149
2009-12-15,250,-6.0250925391717365,-21.007059333296244,10.409192120735584
2009-12-16,250,-8.317379081173566,-24.528073217511473,9.052435350814807
2009-12-17,250,-7.71082921594446,-24.148859839714238,9.255991174647049
2009-12-18,250,-6.616733133536332,-21.718557004592167,9.382471718118026
2009-12-21,250,-6.121236983464621,-21.292894306338948,10.234844857258889
2009-12-22,250,-4.097847162856988,-18.799744059995962,11.920873244122824
2009-12-24,250,-2.674487465743129,-17.719559309528513,13.948681757356328
2009-12-25,250,-4.557937429539208,-19.20437626460525,11.356838521663999
2009-12-28,250,-3.986757271125956,-18.91887076170535,12.158773101701813
2009-12-29,250,-4.9266370741043515,-19.561831599745066,11.971769922744977
2009-12-30,250,-4.830298610403458,-19.197584453180713,12.60959260108004
2010-01-04,250,-3.9639319896261678,-18.818589960075172,13.185441377223082
2010-01-05,250,-1.4582800674915488,-17.00642374699852,15.223330946290698
2010-01-06,250,-2.0271179579776932,-17.26226456586293,14.351873825472344
2010-01-07,250,-1.7129634966395195,-17.088740230511004,13.850006547213553
2010-01-08,250,-2.439567458941763,-17.722299450407284,13.225769631056393
2010-01-12,250,-3.181077844732932,-18.262090307831176,12.555871866058741
2010-01-13,250,-2.7742098549328333,-18.018393656905435,12.85753411577311
2010-01-14,250,-2.544607336239403,-17.463159370800234,12.712974399514605
2010-01-15,250,-2.7847025712160764,-18.033396242001334,13.208447285670559
2010-01-18,250,-3.5498610358848386,-18.721864126993523,12.369946129079326
2010-01-19,250,-2.6583802786379147,-17.568587031496268,13.655461477479287
2010-01-20,250,-2.6849424046430515,-17.355773014218656,13.689546885492883
2010-01-21,250,-3.2620779062306267,-18.554022794958044,13.070008496975884
2010-01-22,250,-3.199945113971616,-18.884925905340683,13.402021274055533
2010-01-25,250,-3.180576425838343,-18.473248637253423,13.911189358119485
2010-01-26,250,-3.132736024875248,-19.149867295528004,14.312430628448368
2010-01-27,250,-2.8837928848450685,-18.30934374617217,14.354467754874937
2010-01-28,250,-3.306200781746632,-18.66643958294028,13.575138049465217
2010-01-29,250,-4.8294500839643755,-21.970278427344436,13.212303180345469
2010-02-01,250,-4.974753703289811,-21.7221601145658,13.135861947371062
2010-02-02,250,-5.254731886476621,-22.320776630978564,12.856362826558561
2010-02-03,250,-4.2579823787866165,-19.77884142456362,13.039968904862091
2010-02-04,250,-5.602815801984822,-23.388497280964394,12.516019993232838
2010-02-05,250,-4.5926678759815225,-21.460034069366536,12.813045957532664
2010-02-08,250,-4.96006434357232,-22.361215077709417,11.903020592968447
2010-02-09,250,-3.0040731995757217,-18.569598152229794,13.549338812909994
2010-02-10,250,-3.129377608462224,-18.740960805411213,13.36863566187523
2010-02-12,250,-3.594968303454051,-20.049835675234625,13.2121124239997
2010-02-15,250,-2.93135458384033,-19.250334747421086,13.62913964890365
2010-02-16,250,-1.0686283592708414,-16.222594567355678,15.569710240630815
2010-02-17,250,-1.5473383983781486,-16.555617826824818,14.598096381263076
2010-02-18,250,-1.0356753342876555,-16.381507863628975,15.280421667286983
2010-02-19,250,-0.05187952350408159,-15.648346012100227,16.30643161753363
2010-02-22,250,-1.3624828525049606,-16.536417327137222,15.262260576180328
2010-02-23,250,-1.7804318647974924,-16.72193985580148,14.597180894257045
2010-02-24,250,-2.3510670041800013,-17.627533753893147,13.871588228701293
2010-02-25,250,-1.3430109790652933,-16.932849150862552,14.484860602175685
2010-02-26,250,-0.5776908803047881,-16.525668526641425,15.386864498469588
2010-03-01,250,-0.3833529479002673,-16.321669447525533,15.650735513730883
2010-03-02,250,-1.103312790440753,-16.816765395369462,14.773642494248394
2010-03-03,250,-0.712264943358111,-16.359607860824227,15.238193687698596
2010-03-04,250,-1.1838658099148387,-16.6794443147237,14.474733369307035
2010-03-05,250,-1.3804234501779507,-16.59693715154654,14.87447558505178
2010-03-08,250,-2.5024154251133672,-19.13009198306005,14.015673277230402
2010-03-09,250,-1.6567693416370934,-16.90642018989698,14.554433440838624
2010-03-15,250,-1.831864301881373,-18.0366346679595,13.861882946840774
2010-03-16,250,-1.2809843283209912,-16.650419301624673,14.605776087340274
2010-03-17,250,-1.0039735522724644,-16.437274795579334,14.462499048915495
2010-03-18,250,0.03903772704617586,-14.305621768748516,15.358715928922551
2010-03-19,250,-0.2646873757334806,-14.636279887148273,14.809338370675801
2010-03-23,250,0.083816143657677,-14.715870067508195,14.950422295722467
2010-03-24,250,1.2663326839068783,-12.178619834380033,15.507916633318258
2010-03-25,250,2.5397978196724362,-10.765619902987975,15.8865986395489
2010-03-26,250,1.5561133931497488,-11.722112507091852,15.007298507216815
2010-03-29,250,1.7203204255749929,-11.196206620390718,15.678805011246558
2010-03-30,250,1.7780864334954445,-11.412143747917215,15.904183723988165
2010-03-31,250,3.2847302201392297,-9.584497415202904,16.614546408834762
2010-04-01,250,4.38550388673425,-8.63057830436201,18.46149016017081
2010-04-02,250,5.121548112567566,-8.467181174137409,20.034672867864334
2010-04-05,250,4.760571108867236,-8.530407414748844,19.883987624090057
2010-04-06,250,5.933709765656509,-7.895148431419075,22.076256478440605
2010-04-07,250,5.604251203321815,-7.937837322862892,20.845791078414774
2010-04-08,250,5.716285845251506,-8.157623876636272,21.14277753258843
2010-04-09,250,4.358667849955096,-8.2163207449787,18.000308236134664
2010-04-12,250,4.04500036919725,-8.514609381865984,17.418847941469792
2010-04-13,250,4.132468527222105,-8.450936997172025,17.89438371656855
2010-04-14,250,4.305356190653925,-8.780175416019853,18.83681950780734
2010-04-15,250,3.978609733690794,-8.640072273381987,18.400371901623217
2010-04-16,250,2.3774412544114565,-9.14170820735634,14.698278801753082
2010-04-19,250,2.2884106577548304,-9.30030496602199,14.727415425248203
2010-04-20,250,2.731130776020843,-8.85437618943038,15.337082281182408
2010-04-21,250,2.356686159188167,-9.088192874793096,14.496550329866233
2010-04-22,250,2.2127278953003815,-9.127780986419864,14.421372168533054
2010-04-23,250,2.5441901962247657,-8.977456639283268,15.101583274115104
2010-04-26,250,2.023103274247965,-9.347162901268598,14.5620252749947
2010-04-27,250,0.21565893223318744,-10.001143900252199,11.47774017520541
2010-04-28,250,-0.2275368232528549,-10.625914189439843,10.980540016613634
2010-04-30,250,-2.4545880793884005,-13.80120441395279,9.235000977104812
2010-05-06,250,-4.078245515467315,-16.42657653859167,8.584054787000378
2010-05-07,250,-3.559748992371283,-15.4216319043704,8.661978728085233
2010-05-10,250,-3.673816834712366,-15.262971823002271,8.516852407796408
2010-05-11,250,-4.152008754774394,-16.205274272984706,7.942428696088465
2010-05-12,250,-3.239428623209734,-14.816700517973038,8.232578836773603
2010-05-13,250,-4.387229227081618,-16.869929605691784,7.952453594566077
2010-05-14,250,-4.591367307258946,-17.151943744635552,7.620110777737039
2010-05-17,250,-4.950483082430574,-17.675462359286293,6.8358190193068955
2010-05-18,250,-6.421172249793424,-19.98543099308568,6.375439638386562
2010-05-19,250,-6.348789633270386,-20.075136422986947,6.909177424124722
2010-05-20,250,-6.502779719956114,-19.79303129859365,7.041121304485775
2010-05-21,250,-6.460679736479793,-19.84319798859543,7.085207437546669
2010-05-24,250,-7.257250228283077,-21.153037674588955,6.523877894826831
2010-05-25,250,-6.705758779639194,-20.674846466119984,6.355284006298579
2010-05-26,250,-7.401058902856934,-21.744536733849717,6.416429131373594
2010-05-27,250,-6.454095764440944,-20.5476659693037,6.688669747011705
2010-05-28,250,-7.913536998043663,-22.17699958485898,5.994611998761673
2010-05-31,250,-8.07655553780609,-22.475209260799605,5.7023049928081395
2010-06-01,250,-10.115816863844556,-25.06776526202251,4.795779045013473
2010-06-02,250,-9.493364931103743,-24.003591338175173,4.75567453690554
2010-06-03,250,-9.694122967695382,-24.390379028701975,4.884403548544169
2010-06-04,250,-10.434477513004607,-25.65335571464654,4.246880598000684
2010-06-07,250,-10.727858322904282,-26.151900429306703,4.050086906264024
2010-06-08,250,-10.080566370365739,-25.134641600127424,4.908885563107776
2010-06-14,250,-10.36988706869088,-25.392191849577483,4.87809141597559
2010-06-15,250,-8.820280417284565,-23.209203385961636,6.4274318487292685
2010-06-16,250,-10.273011127238586,-25.668580621976407,4.689371770888382
2010-06-17,250,-10.49349515933552,-25.923854053778726,4.524278950667519
2010-06-18,250,-9.795628492668854,-25.039866650532822,5.183028069103074
2010-06-21,250,-9.452996106515887,-24.00772269171807,5.831746153426588
2010-06-22,250,-10.171876718805613,-25.011727889003627,4.929694148593755
2010-06-23,250,-10.29740091148184,-24.950689847107082,5.014178540801024
