ex_date,amount,record_date,ex_date_effective,is_non_trading_record_date
2021-05-10,19.0,2021-05-10,2021-05-07,False
2021-08-10,16.1,2021-08-10,2021-08-06,False
2021-11-10,18.8,2021-11-10,2021-11-09,False
2022-02-10,16.3,2022-02-10,2022-02-09,False
2022-05-10,19.5,2022-05-10,2022-05-09,False
2022-08-10,17.2,2022-08-10,2022-08-09,False
2022-11-10,18.8,2022-11-10,2022-11-09,False
2023-02-10,17.9,2023-02-10,2023-02-09,False
2023-05-10,19.6,2023-05-10,2023-05-09,False
2023-08-10,18.3,2023-08-10,2023-08-09,False
2023-11-10,19.2,2023-11-10,2023-11-09,False
2024-02-10,20.2,2024-02-10,2024-02-08,True
2024-05-10,21.9,2024-05-10,2024-05-09,False
2024-08-10,18.9,2024-08-10,2024-08-08,True
2024-11-10,21.9,2024-11-10,2024-11-07,True
2025-02-10,21.3,2025-02-10,2025-02-07,False
2025-05-10,23.3,2025-05-10,2025-05-08,True
2025-08-10,19.9,2025-08-10,2025-08-07,True
2025-11-10,23.1,2025-11-10,2025-11-07,False
2026-02-10,25.5,2026-02-10,2026-02-09,False
2026-05-10,23.7,2026-05-10,2026-05-07,True
2026-08-10,20.6,2026-08-10,2026-08-07,False
