metric,value
sealed_window,2021-04-13..2026-09-03
cumulative_N,1
n_raw_pairs_1343,1317
n_after_rule1_1343,1317
n_after_rule2_1343,1317
n_bad_print_rows_1343,0
n_one_sided_info_rows_1343,0
n_ghost_rows_1343,0
n_thin_pairs_all_1343,0
n_thin_pairs_kept_1343,0
n_thin_overlap_ghost_1343,0
n_thin_true_1343,0
mean_excl_thin_bps,-1.6484616199701891
n_dividend_rows_sealed,22
n_dividend_non_trading_record_dates,6
dividend_correction_used,True
sealed_dividend_check_n_pairs,22
sealed_dividend_check_median_raw_bps,-91.78823790701618
sealed_dividend_check_median_adj_bps,10.675852528280183
sealed_dividend_check_passes,True
n_main,1317
years_span,5.388090349075975
periods_per_year,244.4279725609756
sigma_bps,36.629308031122356
se_bps,1.0093361474234963
mde_bps_sealed_sample,2.8277412307287593
mean_net_conservative_bps,-1.6484616199701891
ci_lo_conservative_bps,-3.833007537386216
ci_hi_conservative_bps,0.7273070680035952
mean_net_optimistic_bps,8.279981626871132
ci_lo_optimistic_bps,6.126015168273729
ci_hi_optimistic_bps,10.5030289524022
mean_gross_bps,8.279981626871132
ci_lo_gross_bps,6.137240541890293
ci_hi_gross_bps,10.650876345374234
mean_net_conservative_unadjusted_bps,-3.2967606993870033
ci_lo_conservative_unadjusted_bps,-5.544673762786758
ci_hi_conservative_unadjusted_bps,-1.0318437099730136
mean_net_optimistic_unadjusted_bps,6.631682547454318
ci_lo_optimistic_unadjusted_bps,4.401647101656905
ci_hi_optimistic_unadjusted_bps,8.911050151407464
cost_conservative_median_bps,9.957679860592481
cost_conservative_mean_bps,9.92844324684132
hit_rate,0.4631738800303721
sharpe_annualized,-0.7035995912970826
mean_r_day_bps,-7.311481159310536
night_minus_day_mean_bps,15.591462786181669
night_minus_day_ci_lo_bps,11.048250525358556
night_minus_day_ci_hi_bps,20.343120666129273
max_drawdown_yen_1unit,623.8000000000037
annualized_mean_net_profit_yen_1unit,-83.51753048780553
drawdown_bar_multiple,3.0
drawdown_ok,False
max_drawdown_bootstrap_median_yen,600.1000000000006
n_1321,1317
mean_net_conservative_bps_1321,1.6665467742991111
ci_lo_bps_1321,-3.5207934663139513
ci_hi_bps_1321,7.135079584132919
sign_match_1343_vs_1321,False
both_ci_positive,False
futures_like_criterion_met,False
sign_shuffle_null_95pct_bps,1.6599419673721698
sign_shuffle_observed_percentile,5.800000000000001
sign_shuffle_null_95pct_gross_bps,1.755535727355349
sign_reversal_mean_bps,-18.208424873712453
sign_reversal_ci_lo_bps,-20.41514418493354
sign_reversal_ci_hi_bps,-15.880227866514568
bar1_beats_null_95pct,False
bar2_ci_positive,False
bar3_sign_match_1321,False
bar_all_three_met,False
falsification_ci_contains_zero,True
hold_class_optimistic_only,True
forward_ledger_rows,0
