metric,value
n_raw_pairs_1343,3019
n_after_rule1_1343,3015
n_after_rule2_1343,2976
n_bad_print_rows_1343,0
n_one_sided_info_rows_1343,4
n_ghost_rows_1343,21
n_thin_total_1343,5
n_thin_overlap_ghost_1343,21
n_thin_true_1343,5
dividend_data_check_median_raw_bps,-71.88160676532718
dividend_data_check_median_adj_bps,4.383561643834799
dividend_data_check_n_ex_pairs,33
dividend_data_check_passes,True
dividend_correction_used,True
n_main,2976
sigma_bps,88.43039074130836
se_bps,1.6210077103029827
mde_bps,4.541391239631985
mean_net_conservative_bps,-8.58587172887589
ci_lo_conservative_bps,-12.26192773138001
ci_hi_conservative_bps,-4.665726722878719
mean_net_optimistic_bps,5.470908501280093
ci_lo_optimistic_bps,1.7336284858714304
ci_hi_optimistic_bps,9.529210447980834
mean_excl_thin_bps,-8.55401945507977
hit_rate,0.39280913978494625
sharpe_annualized,-1.5128674552952313
night_minus_day_mean_bps,6.042576617060175
night_minus_day_ci_lo_bps,-0.5574547373694703
night_minus_day_ci_hi_bps,13.157498488963816
max_drawdown_yen_1unit,4649.999999999996
annualized_mean_net_profit_yen_1unit,-306.6239892785348
drawdown_bar_multiple,3.0
drawdown_ok,False
max_drawdown_bootstrap_median_yen,3920.5499999999947
n_1321,2725
mean_net_conservative_bps_1321,0.6788306090116644
ci_lo_bps_1321,-3.023929050679162
ci_hi_bps_1321,4.424826685593955
sign_match_1343_vs_1321,False
both_ci_positive,False
futures_like_criterion_met,False
gate_mean_net_conservative_vs_mde,False
sign_shuffle_null_95pct_bps,2.4597404203017588
sign_shuffle_observed_percentile,0.0
sign_reversal_mean_bps,-19.527688731436072
sign_reversal_ci_lo_bps,-23.565397752143703
sign_reversal_ci_hi_bps,-15.525735315203207
sensitivity_mean_net_conservative_plus_oldfee_bps,-24.095999393965002
sensitivity_ci_lo_conservative_plus_oldfee_bps,-27.821735681000252
sensitivity_ci_hi_conservative_plus_oldfee_bps,-20.2772920842761
sensitivity_median_close_1343_bps_denominator,1745.0
sensitivity_fee_1unit_lot_bps_one_side,315.1862464183381
