kind,series,criterion,measured,outcome,trigger
bar,1306.T,バー1 累計 N=1 の帰無 95 点超(符号シャッフル、グロス),実測 7.495 vs 帰無95点 5.186 bps,満たす,
bar,1306.T,バー2 保守コスト後の平均夜間リターンの 95% CI が正,"[-9.868, 1.030] bps (平均 -4.271)",満たさない,
bar,1306.T,バー3 日経225 ETF(1321)と符号一致,7.495 vs 1321 7.470 bps,満たす,
bar,1306.T,バー(3 条件の同時充足),バー1=True / バー2=False / バー3=True,満たさない,
bar,1591.T,バー1 累計 N=1 の帰無 95 点超(符号シャッフル、グロス),実測 12.178 vs 帰無95点 4.910 bps,満たす,
bar,1591.T,バー2 保守コスト後の平均夜間リターンの 95% CI が正,"[1.345, 13.363] bps (平均 7.289)",満たす,
bar,1591.T,バー3 日経225 ETF(1321)と符号一致,12.178 vs 1321 7.470 bps,満たす,
bar,1591.T,バー(3 条件の同時充足),バー1=True / バー2=True / バー3=True,満たす,
bar,2516.T,バー1 累計 N=1 の帰無 95 点超(符号シャッフル、グロス),実測 5.897 vs 帰無95点 6.353 bps,満たさない,
bar,2516.T,バー2 保守コスト後の平均夜間リターンの 95% CI が正,"[-36.662, -24.306] bps (平均 -30.335)",満たさない,
bar,2516.T,バー3 日経225 ETF(1321)と符号一致,5.897 vs 1321 7.470 bps,満たす,
bar,2516.T,バー(3 条件の同時充足),バー1=False / バー2=False / バー3=True,満たさない,
falsification_existence,3 ETF 合計,反証文(存在) 3 ETF のうち 2 つ以上で楽観コストの平均夜間リターンの 95% CI がゼロを含む,"ゼロを含む銘柄数 = 1 / 3 (1306.T:含まない, 1591.T:含まない, 2516.T:含む)",満たさない,
falsification_tradability,1306.T,反証文(取引可能) 保守コスト後の 95% CI がゼロを含む →「存在するが取引不能(丸め次第)」,"[-9.868, 1.030] bps / ゼロを含む=True / CI が正でない=True",満たす,
falsification_tradability,1591.T,反証文(取引可能) 保守コスト後の 95% CI がゼロを含む →「存在するが取引不能(丸め次第)」,"[1.345, 13.363] bps / ゼロを含む=False / CI が正でない=False",満たさない,
falsification_tradability,2516.T,反証文(取引可能) 保守コスト後の 95% CI がゼロを含む →「存在するが取引不能(丸め次第)」,"[-36.662, -24.306] bps / ゼロを含む=False / CI が正でない=True",満たさない,
hold_class,1306.T,保留区分「存在するが取引不能(丸め次第)」= 楽観 CI が正 かつ 保守 CI が正でない,"楽観 [2.526, 12.570] / 保守 [-9.868, 1.030] bps",満たす,スプレッドの実測(kabu ステーションの板記録、docs/CONSTANTS_TODO.md) / 同一指数の高価格代替銘柄(TOPIX: 1348.T)の取得
hold_class,1591.T,保留区分「存在するが取引不能(丸め次第)」= 楽観 CI が正 かつ 保守 CI が正でない,"楽観 [6.332, 18.266] / 保守 [1.345, 13.363] bps",満たさない,スプレッドの実測(kabu ステーションの板記録、docs/CONSTANTS_TODO.md) / 同一指数の高価格代替銘柄(TOPIX: 1348.T)の取得
hold_class,2516.T,保留区分「存在するが取引不能(丸め次第)」= 楽観 CI が正 かつ 保守 CI が正でない,"楽観 [-0.229, 11.806] / 保守 [-36.662, -24.306] bps",満たさない,スプレッドの実測(kabu ステーションの板記録、docs/CONSTANTS_TODO.md) / 同一指数の高価格代替銘柄(TOPIX: 1348.T)の取得
