series,tercile,n,observed_mean_bps,null_mean_bps,null_ci_lo,null_ci_hi
1306.T,low,361,1.5716137289516015,7.5299245001942525,-2.4353902683950923,17.773777536384117
1306.T,mid,360,2.119098983407542,7.502578264062466,-3.431552567768017,18.153232311665356
1306.T,high,358,17.270830144920605,7.529668430028383,-2.6813008998988646,17.20862410964719
1591.T,low,354,7.804051993220294,12.173016816325614,1.899682821129103,22.626857905384654
1591.T,mid,354,8.304949530055941,11.995151677432577,1.3935160746034263,22.44769119060274
1591.T,high,353,18.384186320493622,12.432652958734886,2.050216385648883,23.17885003862621
2516.T,low,354,2.279440312423348,5.860796078311494,-6.825361702848081,18.85273485695205
2516.T,mid,354,6.649747159550606,5.620753409878087,-7.264205784574301,19.1907908841253
2516.T,high,353,6.468145706884776,5.829022030188488,-7.158870488410088,19.792505988321803
1321.T,low,354,1.5281683929311025,7.541915906702306,-4.974115683933723,19.42518749586898
1321.T,mid,354,4.643089682247938,7.197853460550583,-5.267634580555182,18.76213983142872
1321.T,high,353,15.144616633696952,7.706191669448656,-4.280844755021539,20.413028241793754
