series,dimension,bucket,n,mean_r_night_bps
1306.T,vol_tercile,low,361,1.5716137289516015
1306.T,vol_tercile,mid,360,2.119098983407542
1306.T,vol_tercile,high,358,17.270830144920605
1306.T,weekday,0,201,27.64776018187703
1306.T,weekday,1,223,5.3214087765385685
1306.T,weekday,2,225,4.040086735459988
1306.T,weekday,3,226,-4.764198751150633
1306.T,weekday,4,223,7.4141805969251475
1306.T,month,1,76,12.886850612943453
1306.T,month,2,74,13.548210592933104
1306.T,month,3,98,1.2936664023559497
1306.T,month,4,103,7.891642653150158
1306.T,month,5,98,15.67178602658539
1306.T,month,6,107,13.667019284515229
1306.T,month,7,106,-5.6443273592504255
1306.T,month,8,105,-2.9438512282394407
1306.T,month,9,82,0.2394859543967437
1306.T,month,10,85,14.062986363051566
1306.T,month,11,78,21.347456035779032
1306.T,month,12,86,3.919346726494796
1306.T,era,era1,370,2.5270939912501325
1306.T,era,era2,364,7.7979618569705265
1306.T,era,era3,364,12.241933878731668
1591.T,vol_tercile,low,354,7.804051993220294
1591.T,vol_tercile,mid,354,8.304949530055941
1591.T,vol_tercile,high,353,18.384186320493622
1591.T,weekday,0,202,30.78240836889807
1591.T,weekday,1,224,12.507592432959061
1591.T,weekday,2,225,10.264743224659174
1591.T,weekday,3,225,-1.4517140768033934
1591.T,weekday,4,223,10.675137928577602
1591.T,month,1,76,20.72740285830168
1591.T,month,2,74,17.790869879823223
1591.T,month,3,101,4.571004351656087
1591.T,month,4,103,3.2317190020778868
1591.T,month,5,98,21.57016154085713
1591.T,month,6,107,17.481296136435958
1591.T,month,7,106,12.924122024233302
1591.T,month,8,105,5.228317196048876
1591.T,month,9,82,2.5892863738736627
1591.T,month,10,83,15.598803089519908
1591.T,month,11,78,21.73630556341852
1591.T,month,12,86,6.873608092796718
1591.T,era,era1,370,7.2757464235857
1591.T,era,era2,364,10.096026904056178
1591.T,era,era3,365,19.222615183664217
2516.T,vol_tercile,low,354,2.279440312423348
2516.T,vol_tercile,mid,354,6.649747159550606
2516.T,vol_tercile,high,353,6.468145706884776
2516.T,weekday,0,202,25.389055224601943
2516.T,weekday,1,224,4.666799141830615
2516.T,weekday,2,225,5.621337360970073
2516.T,weekday,3,225,-1.668902508379407
2516.T,weekday,4,223,-2.610942162918501
2516.T,month,1,76,11.777279392674314
2516.T,month,2,74,15.851001392194364
2516.T,month,3,101,7.328681258813044
2516.T,month,4,103,0.3327649319564315
2516.T,month,5,98,20.850303164531216
2516.T,month,6,107,4.294693366528568
2516.T,month,7,106,11.912619023376637
2516.T,month,8,105,-7.492782643595256
2516.T,month,9,82,-0.8768325725636105
2516.T,month,10,83,3.6126761206446103
2516.T,month,11,78,15.20470458375492
2516.T,month,12,86,-8.770757827845852
2516.T,era,era1,370,9.174539833238647
2516.T,era,era2,364,0.3402687438565505
2516.T,era,era3,365,8.116636552272993
1321.T,vol_tercile,low,354,1.5281683929311025
1321.T,vol_tercile,mid,354,4.643089682247938
1321.T,vol_tercile,high,353,15.144616633696952
1321.T,weekday,0,202,25.54379591235412
1321.T,weekday,1,224,6.486295548440327
1321.T,weekday,2,225,6.4721090734934315
1321.T,weekday,3,225,-3.8258075412383445
1321.T,weekday,4,223,4.489059187771615
1321.T,month,1,76,13.612633070540753
1321.T,month,2,74,18.270547456158507
1321.T,month,3,101,-3.0260045793859796
1321.T,month,4,103,2.3504326276259704
1321.T,month,5,98,26.824358311652894
1321.T,month,6,107,13.122703220597831
1321.T,month,7,106,-6.973153801887479
1321.T,month,8,105,-6.803670662504142
1321.T,month,9,82,5.094441509942481
1321.T,month,10,83,13.09930257482568
1321.T,month,11,78,18.429832683345285
1321.T,month,12,86,4.23623714096071
1321.T,era,era1,370,2.5785734483748346
1321.T,era,era2,364,6.591537356122447
1321.T,era,era3,365,13.303734923970877
