series,stage,cost_scenario,n,mean_bps,ci_lo,ci_hi
1306.T,before_exclusion,optimistic,2585,1.7079706973428,-7.564323836508569,8.168211451963034
1306.T,before_exclusion,conservative,2585,-86.78497473794047,-98.82820485800426,-75.99101353087231
1306.T,after_exclusion,optimistic,2544,5.497172803516411,1.7907141591148066,9.122345070640094
1306.T,after_exclusion,conservative,2544,-82.62520656102492,-92.58038889051939,-73.00993105489083
1591.T,before_exclusion,optimistic,2001,6.006041899040436,2.4745466780689744,9.818788964153187
1591.T,before_exclusion,conservative,2001,-1.0968162373060597,-4.78375207573548,2.585552264679542
1591.T,after_exclusion,optimistic,1962,6.350566955343782,2.4998115168702055,10.097474709299282
1591.T,after_exclusion,conservative,1962,-0.7629337214968872,-4.332109070002358,2.963259535442211
2516.T,before_exclusion,optimistic,1008,6.84444536875725,-1.6172180427496563,14.122857729134678
2516.T,before_exclusion,conservative,1008,-19.619412388596853,-27.722406193879607,-12.283468234180658
2516.T,after_exclusion,optimistic,985,7.595918094116721,-0.1884244356547775,15.232262226909421
2516.T,after_exclusion,conservative,985,-18.88457233953528,-27.171697404439623,-11.43167686498264
1321.T,before_exclusion,optimistic,2585,5.723466326570584,2.214531730991847,9.147603840293883
1321.T,before_exclusion,conservative,2585,0.8072660283748222,-2.802871407602397,4.299781238981678
1321.T,after_exclusion,optimistic,2546,5.928895611996447,2.206527918380212,9.546184719828464
1321.T,after_exclusion,conservative,2546,1.0054654881519685,-2.6463758590989857,4.583210799208753
