series,dimension,bucket,n,mean_r_night_bps
1306.T,vol_tercile,low,827,2.0885133847065767
1306.T,vol_tercile,mid,841,2.6209249486175454
1306.T,vol_tercile,high,840,12.128834171768704
1306.T,weekday,0,471,2.269390107695157
1306.T,weekday,1,520,5.090095234402194
1306.T,weekday,2,523,4.103810784790476
1306.T,weekday,3,520,5.37806520426657
1306.T,weekday,4,510,10.443506672290498
1306.T,month,1,207,1.2572791048333447
1306.T,month,2,209,2.8360721406702862
1306.T,month,3,214,7.125658550038772
1306.T,month,4,204,6.1470365745136535
1306.T,month,5,194,0.6960679719990556
1306.T,month,6,213,8.37294792117911
1306.T,month,7,209,-3.468102394492386
1306.T,month,8,215,-2.8587173588138053
1306.T,month,9,209,7.25719503938078
1306.T,month,10,231,9.273014342713427
1306.T,month,11,215,16.361851603214763
1306.T,month,12,224,11.59504346813584
1306.T,era,era1,856,9.33119759783537
1306.T,era,era2,846,3.2799122360007096
1306.T,era,era3,842,3.8271932502874972
1591.T,vol_tercile,low,633,4.244730171509086
1591.T,vol_tercile,mid,645,0.634288828990844
1591.T,vol_tercile,high,648,14.434350750588093
1591.T,weekday,0,368,6.9652636358867674
1591.T,weekday,1,400,4.173130181725242
1591.T,weekday,2,402,9.728142787150961
1591.T,weekday,3,400,1.6297722955373468
1591.T,weekday,4,392,9.348777951628692
1591.T,month,1,158,-5.377726667834657
1591.T,month,2,169,2.114282236768908
1591.T,month,3,173,6.469198880024094
1591.T,month,4,163,2.217870676277035
1591.T,month,5,152,12.429611136856298
1591.T,month,6,172,9.376227844705646
1591.T,month,7,166,5.835449738854484
1591.T,month,8,170,2.955757142062545
1591.T,month,9,153,6.386762222050913
1591.T,month,10,167,6.510248867689812
1591.T,month,11,154,22.776149547823167
1591.T,month,12,165,5.61458479561421
1591.T,era,era1,664,5.081824071409102
1591.T,era,era2,641,6.841072231583675
1591.T,era,era3,657,7.154267705515559
2516.T,vol_tercile,low,324,6.064917660864618
2516.T,vol_tercile,mid,318,1.7488687779276038
2516.T,vol_tercile,high,326,15.79596063757834
2516.T,weekday,0,183,16.940631258084885
2516.T,weekday,1,202,5.350927455401517
2516.T,weekday,2,204,12.926861212086628
2516.T,weekday,3,201,-10.539717915548174
2516.T,weekday,4,195,14.268513180737655
2516.T,month,1,78,-14.976603154262344
2516.T,month,2,91,-8.51311012831092
2516.T,month,3,87,8.653638271379092
2516.T,month,4,81,21.32597012878128
2516.T,month,5,75,11.809029841791675
2516.T,month,6,85,12.728799614557106
2516.T,month,7,83,7.251062307837113
2516.T,month,8,85,10.241281249682626
2516.T,month,9,75,1.0866488230171885
2516.T,month,10,84,-0.9864982284026999
2516.T,month,11,79,26.30664565331671
2516.T,month,12,82,17.411550976521312
2516.T,era,era1,321,12.245836853530156
2516.T,era,era2,331,8.55804642732744
2516.T,era,era3,333,2.1572141900192427
1321.T,vol_tercile,low,826,0.3467390093995145
1321.T,vol_tercile,mid,843,5.164184019353059
1321.T,vol_tercile,high,841,12.70708359896098
1321.T,weekday,0,472,4.1053809810455295
1321.T,weekday,1,521,3.60747858850804
1321.T,weekday,2,523,4.921798000492338
1321.T,weekday,3,520,7.3105924658476376
1321.T,weekday,4,510,9.612007105840219
1321.T,month,1,208,-0.3080958060600845
1321.T,month,2,209,2.5990680726845654
1321.T,month,3,214,5.285424557197741
1321.T,month,4,204,7.146909817434418
1321.T,month,5,194,5.68975684344856
1321.T,month,6,213,8.50620915109532
1321.T,month,7,209,-3.90415069335099
1321.T,month,8,215,-1.6542318225590549
1321.T,month,9,209,8.27039795131343
1321.T,month,10,231,8.976610131281948
1321.T,month,11,215,20.130998206730457
1321.T,month,12,225,9.56672757318216
1321.T,era,era1,858,8.90634048819733
1321.T,era,era2,846,4.372599629935097
1321.T,era,era3,842,4.45856152297453
