date_t,date_t1,open_t,close_t,open_t1,r_day_bps,r_night_bps,band_price_t,tick_yen,cost_cons_bps,net_opt_bps,net_cons_bps,flag_null_t,flag_null_t1,flag_ghost_t,flag_ghost_t1,flag_split_t,flag_split_t1,flag_badprint_t,flag_badprint_t1,excluded,valid_raw,clean
2011-09-05,2011-09-06,767.0,763.0,757.0,-52.1512385919165,-78.63695937090465,763.0,1.0,26.212319790301443,-78.63695937090465,-104.84927916120608,False,False,False,False,False,False,False,False,False,True,True
2011-09-06,2011-09-07,757.0,748.0,763.0,-118.89035667106972,200.53475935828845,748.0,1.0,26.7379679144385,200.53475935828845,173.79679144384994,False,False,False,False,False,False,False,False,False,True,True
2011-09-07,2011-09-08,763.0,760.0,771.0,-39.31847968545177,144.73684210526417,760.0,1.0,26.31578947368421,144.73684210526417,118.42105263157997,False,False,False,False,False,False,False,False,False,True,True
2011-09-08,2011-09-09,771.0,764.0,765.0,-90.79118028534339,13.089005235602524,764.0,1.0,26.17801047120419,13.089005235602524,-13.089005235601665,False,False,False,False,False,False,False,False,False,True,True
2011-09-09,2011-09-12,765.0,762.0,755.0,-39.215686274509665,-91.86351706036766,762.0,1.0,26.246719160104988,-91.86351706036766,-118.11023622047264,False,False,False,False,False,False,False,False,False,True,True
2011-09-12,2011-09-13,755.0,749.0,750.0,-79.47019867549643,13.35113484646211,749.0,1.0,26.7022696929239,13.35113484646211,-13.35113484646179,False,False,False,False,False,False,False,False,False,True,True
2011-09-13,2011-09-14,750.0,757.0,760.0,93.33333333333415,39.63011889035695,757.0,1.0,26.42007926023778,39.63011889035695,13.210039630119166,False,False,False,False,False,False,False,False,False,True,True
2011-09-14,2011-09-15,760.0,749.0,758.0,-144.73684210526307,120.16021361815676,749.0,1.0,26.7022696929239,120.16021361815676,93.45794392523285,False,False,False,False,False,False,False,False,False,True,True
2011-09-15,2011-09-16,758.0,759.0,767.0,13.192612137202797,105.4018445322802,759.0,1.0,26.350461133069828,105.4018445322802,79.05138339921037,False,False,False,False,False,False,False,False,False,True,True
2011-09-16,2011-09-20,767.0,775.0,769.0,104.302477183833,-77.41935483870921,775.0,1.0,25.806451612903224,-77.41935483870921,-103.22580645161244,False,False,False,False,False,False,False,False,False,True,True
2011-09-20,2011-09-21,769.0,762.0,763.0,-91.0273081924573,13.12335958005173,762.0,1.0,26.246719160104988,13.12335958005173,-13.123359580053258,False,False,False,False,False,False,False,False,False,True,True
2011-09-21,2011-09-22,763.0,763.0,755.0,0.0,-104.84927916120546,763.0,1.0,26.212319790301443,-104.84927916120546,-131.0615989515069,False,False,False,False,False,False,False,False,False,True,True
2011-09-22,2011-09-26,755.0,751.0,750.0,-52.980132450330956,-13.315579227696217,751.0,1.0,26.63115845539281,-13.315579227696217,-39.946737683089026,False,False,False,False,False,False,False,False,False,True,True
2011-09-26,2011-09-27,750.0,736.0,744.0,-186.6666666666672,108.69565217391353,736.0,1.0,27.17391304347826,108.69565217391353,81.52173913043526,False,False,False,False,False,False,False,False,False,True,True
