holiday,weekday,decade,year_end_new_year
1990-01-15,Mon,1990s,False
1990-02-12,Mon,1990s,False
1990-03-21,Wed,1990s,False
1990-04-30,Mon,1990s,False
1990-05-03,Thu,1990s,False
1990-05-04,Fri,1990s,False
1990-09-24,Mon,1990s,False
1990-10-02,Tue,1990s,False
1990-10-10,Wed,1990s,False
1990-11-12,Mon,1990s,False
1990-11-23,Fri,1990s,False
1990-12-24,Mon,1990s,False
1990-12-31,Mon,1990s,True
1991-01-01,Tue,1990s,True
1991-01-02,Wed,1990s,True
1991-01-03,Thu,1990s,True
1991-01-15,Tue,1990s,False
1991-02-11,Mon,1990s,False
1991-03-21,Thu,1990s,False
1991-04-29,Mon,1990s,False
1991-05-03,Fri,1990s,False
1991-05-06,Mon,1990s,False
1991-09-16,Mon,1990s,False
1991-09-23,Mon,1990s,False
1991-10-10,Thu,1990s,False
1991-11-04,Mon,1990s,False
1991-12-23,Mon,1990s,False
1991-12-31,Tue,1990s,True
1992-01-01,Wed,1990s,True
1992-01-02,Thu,1990s,True
1992-01-03,Fri,1990s,True
1992-01-06,Mon,1990s,False
1992-01-15,Wed,1990s,False
1992-02-11,Tue,1990s,False
1992-03-20,Fri,1990s,False
1992-04-29,Wed,1990s,False
1992-05-04,Mon,1990s,False
1992-05-05,Tue,1990s,False
1992-09-15,Tue,1990s,False
1992-09-23,Wed,1990s,False
1992-11-03,Tue,1990s,False
1992-11-23,Mon,1990s,False
1992-12-11,Fri,1990s,False
1992-12-23,Wed,1990s,False
1992-12-31,Thu,1990s,True
1993-01-01,Fri,1990s,True
1993-01-02,Sat,1990s,True
1993-01-03,Sun,1990s,True
1993-01-15,Fri,1990s,False
1993-02-11,Thu,1990s,False
1993-04-29,Thu,1990s,False
1993-05-03,Mon,1990s,False
1993-05-04,Tue,1990s,False
1993-05-05,Wed,1990s,False
1993-06-09,Wed,1990s,False
1993-09-15,Wed,1990s,False
1993-09-23,Thu,1990s,False
1993-10-11,Mon,1990s,False
1993-11-03,Wed,1990s,False
1993-11-23,Tue,1990s,False
1993-12-23,Thu,1990s,False
1993-12-31,Fri,1990s,True
1994-01-01,Sat,1990s,True
1994-01-02,Sun,1990s,True
1994-01-03,Mon,1990s,True
1994-01-24,Mon,1990s,False
1994-01-31,Mon,1990s,False
1994-02-01,Tue,1990s,False
1994-02-11,Fri,1990s,False
