draw,null_mean_TOM,null_mean_WD-Mon,null_mean_WD-Tue,null_mean_WD-Wed,null_mean_WD-Thu,null_mean_WD-Fri,null_mean_PH,null_mean_SQm,null_mean_SQq
0,-5.041685780625823,-9.609205342837889,-4.259465224985534,-8.358689311664449,-12.267040930438759,-2.7070884655109717,-7.832699801684688,-17.533636719465534,-16.418953372208385
1,-14.014315525884376,-10.382223348423034,-11.165964574778089,-13.731203548808406,-7.972675905506177,-9.069908163494834,-10.363674039336852,-23.636893451745227,-35.93892555066778
2,-7.82278098020966,-15.182111334846343,-8.51315602872598,-14.873604527856113,-14.036276262722376,-3.643145562340834,-16.549443739529096,-9.787785455801128,54.34031099390462
3,-3.6268584343910746,-13.72808341861158,-15.530995688511736,-11.191196792611859,-3.72516907895211,-10.879821094708442,-11.49614557378164,0.16920539198379222,-7.1884879872967815
4,-11.701195615728329,-7.552155441027469,-10.225205399665304,-13.85893785302542,-6.557405973108759,-4.288353131886284,-10.459060964666795,-25.527799101774047,-93.58953100909301
5,-13.31557703329795,-7.093013270337894,-9.988185335211197,-11.336363207610713,-7.264802450477303,-8.588101768833754,-12.559341295066023,-1.1583640313076078,33.11176739456272
6,-6.255571206253681,-10.829326660142161,-4.038058752391379,-5.723963559375951,-11.507256411403937,-4.756098025629888,-15.044876794477252,20.061728949494842,-10.586105839098218
7,-12.853320749882759,-7.947411517344982,-7.988726823314526,-7.864675194789822,-9.77587227085086,-7.593572796143005,-7.45655782896916,26.138742649588497,17.966547207044385
8,-6.59792377520478,-11.024240730759374,-8.122606558663279,-11.455669525275374,-10.017142579244288,-2.607403645427256,-16.736842484550333,-22.948626994896603,-40.36747057447516
9,-9.103516261632683,-3.0379604231522905,-1.0611886770966923,-7.727320835212407,0.028350495239420615,-15.413832595031234,-7.064347104857359,7.0887196535794885,14.392236715461609
10,-11.349998283622444,-4.9145619417140685,-3.5293149318754202,-2.31428193324698,-6.818643551141929,-8.905457891842495,-9.198655427632183,13.426797963754096,32.49658253236008
11,-9.245226436576726,-2.9479447562458,-15.653697240178875,-10.129930648869863,-7.965565782232591,-10.96396082171597,-19.978666004163898,-25.399802685610627,-40.68705950282077
12,-9.42994511692997,-10.43764566274669,-7.205759514026276,-15.367896509830983,-11.217203784225605,-6.840520431581589,-12.3791405518522,-4.585579863560724,33.0337267668062
13,-12.438122292909942,-4.941049272608876,-12.907500557319668,-3.7806275914902536,-12.580932388563404,-11.554629128585479,-14.050494033770075,-6.514531638715968,-5.42424620810737
