period,n,mean,ci_lo,ci_hi
1990,232,4.206685380068348,3.8434456672561543,4.606513416857566
1991,234,4.965359459282177,4.805646509324779,5.122790007144351
1992,233,6.797414030111506,6.414131850600005,7.153528469643755
1993,234,6.409196385473673,6.14013043508073,6.722501609548852
1994,232,6.114049919125239,6.013622515190046,6.228153205829342
1995,237,7.064859407467816,6.766774239984571,7.374695050485436
1996,235,5.777616262053759,5.682382301377663,5.870336446050671
1997,233,6.664379601683987,6.402749592119511,6.97096519666532
1998,235,7.989483923423618,7.692553459670392,8.318496670814174
1999,233,7.336376247009581,6.995127855027144,7.745694521528874
2000,236,7.193804239800278,6.791281665392845,7.613402239534896
2001,234,10.200801532405842,9.585006109874328,10.869213310918111
2002,234,12.189716661472781,11.519167429190013,12.879889023995808
2003,233,13.286626464263128,12.520808311240849,14.081950395547006
2004,234,10.933751596693396,10.75144103813865,11.096193647592747
2005,233,9.95971650993048,9.416410374679089,10.438983444345462
2006,236,7.58295320619023,7.434856698058869,7.748658994259314
2007,233,7.182731248502778,7.000685708646275,7.388027353176614
2008,233,10.385541755150772,9.338346584830585,11.698089357648223
2009,231,13.22689667470239,12.510982431347895,14.082363195211533
2010,233,12.239008121738266,11.823264529725638,12.6120568587499
2011,233,13.013994305097501,12.514964488815144,13.539290944634937
2012,236,13.471942972048268,13.134136158766179,13.766682979905259
2013,233,9.115986166030126,8.617193581798693,9.648410873599106
2014,232,7.933180722278837,7.668346402398326,8.168101294814127
2015,157,6.314808145696637,6.085753703031191,6.5778973950883275
