period,n,mean,ci_lo,ci_hi
1990,232,-18.719905938232017,-46.565429752698655,6.4293179431378915
1991,234,-9.73161810871652,-27.720690447534064,8.408867522302732
1992,233,-10.433633203392144,-32.84742822747908,13.716259621814833
1993,234,-2.4297520639184045,-20.689398927064147,15.779470854940843
1994,232,4.020139780715279,-7.990260195584305,18.899745956704937
1995,237,1.3519959650570759,-17.286290394386615,19.88929871807528
1996,235,-1.4502445229648304,-12.571658155019078,10.307230604601337
1997,233,-5.905452098811218,-23.22777502239638,11.175622795908362
1998,235,2.2981009785205804,-15.17084090978702,21.51337803506375
1999,233,12.217551777108389,0.25799018606950774,24.648457912210322
2000,236,-9.917946114429123,-28.389857841018763,8.188313475707409
2001,234,-6.958723481322413,-26.289649850912518,13.397652494222044
2002,234,-6.9224729625053465,-23.278307490498005,9.941174247096242
2003,233,10.039221664041987,-7.096111972040071,26.90437822105829
2004,234,4.8896163930395256,-10.152957147217107,19.22761192227201
2005,233,13.721035941153604,2.702341561942435,24.202026145980312
2006,236,3.9461985539824176,-10.448991762728681,17.618871098468784
2007,233,-3.604236130867883,-18.782611781894413,10.604286811844647
2008,233,-12.212803873982471,-43.53323634278031,13.475593905989264
2009,231,8.05254876427163,-13.226546122618664,28.678236903059933
2010,233,-3.5596894383282334,-18.930632840986966,12.421478480674136
2011,233,0.9105740373306924,-13.893737921281613,13.411213589828959
2012,236,7.96815972812417,-9.20682281497524,24.76284857564524
2013,233,19.93130390070713,1.2820253762929823,37.38282780441062
2014,232,5.906331077142972,-9.208376078203678,22.2415146282945
2015,157,4.671226913279723,-12.425236406298676,18.72965766401358
