end_date,n,mean,ci_lo,ci_hi
1991-01-30,250,-17.885612956258637,-41.78175531090311,5.8269748531874885
1991-01-31,250,-17.98557597114729,-42.20983960125635,6.398243916018302
1991-02-01,250,-18.040135978845353,-43.13403980137923,5.398500099699773
1991-02-04,250,-17.444763575756788,-41.10144816629947,6.406321830184095
1991-02-05,250,-16.489177158812392,-39.69483368156249,6.980704507804842
1991-02-06,250,-16.699229899985465,-39.15830602818319,6.692205050793782
1991-02-07,250,-16.004631744517745,-38.337379584050346,7.7387036482842175
1991-02-08,250,-14.776268473033245,-38.68427983844215,8.905821345135614
1991-02-12,250,-13.982082563442606,-38.552898583321685,10.251162921473906
1991-02-13,250,-13.326996890321409,-39.05265411624387,11.744237210579314
1991-02-14,250,-13.465889682527267,-38.92106072208551,10.86171654112896
1991-02-15,250,-14.032886205661798,-38.7595555185108,10.651681918793022
1991-02-18,250,-12.374619365772043,-39.6160119827985,12.494709540423798
1991-02-19,250,-11.672285969928911,-38.53206687978834,13.255899044004302
1991-02-20,250,-12.092331907689351,-39.55588617550638,12.22662363542316
1991-02-21,250,-12.094601853955464,-38.19530899175606,12.778516345991182
1991-02-22,250,-12.51049035569762,-37.64602694445696,12.147968189445887
1991-02-25,250,-11.949384847447574,-38.28157065940969,12.914102994529697
1991-02-26,250,-11.793206377042457,-37.28817616872084,12.849523941978795
1991-02-27,250,-12.435262190367816,-38.67238579111261,11.041459984945961
1991-02-28,250,-12.34905836780327,-38.5920685448355,12.087592885331969
1991-03-01,250,-13.189768631294559,-38.856758723201246,10.636511432997413
1991-03-04,250,-12.898531832192102,-39.0816244080194,11.355547324580295
1991-03-05,250,-12.65629907811101,-39.23557320420602,11.232104756609534
1991-03-06,250,-12.109713291478482,-38.696139932460355,12.247420575480765
1991-03-12,250,-12.045105752060037,-39.179567129032435,11.881581290483375
1991-03-13,250,-12.13803330201905,-38.954463886523826,12.191662895987017
1991-03-14,250,-12.028008109306944,-38.865166666341516,13.21661291125747
1991-03-15,250,-11.734317799271968,-37.976430104088294,13.2103986308732
1991-03-18,250,-11.484124728361763,-37.40228861242594,12.903724180429185
1991-03-19,250,-11.213743828197982,-37.197788139476245,14.277717248161393
1991-03-20,250,-11.534896981351137,-37.85069678971216,14.784628334876425
1991-03-22,250,-10.277657961727407,-35.94994752333858,14.583913358771955
1991-03-25,250,-10.173324077183526,-36.05013579309606,14.78538501262947
1991-03-26,250,-9.46298485313315,-34.775498153476555,14.965703536912205
1991-03-27,250,-8.561700761018116,-34.04854632471307,14.981225029258267
1991-03-28,250,-9.000247066500387,-34.06188868925806,15.186933379196258
1991-03-29,250,-9.775074902036815,-35.359270406103036,14.021901364641733
1991-04-01,250,-9.42637378089927,-34.54671687204711,14.891591318932765
1991-04-02,250,-8.849961190834803,-34.35761261156164,15.476048108135274
1991-04-03,250,-7.841544757835882,-31.978443817072517,16.09053611874252
1991-04-04,250,-8.026880271860065,-32.54600578674871,16.24764621622812
1991-04-05,250,-6.988920315879648,-31.837229929329403,15.58651502720026
1991-04-08,250,-6.353783383134208,-31.03266542725269,16.845030641030405
1991-04-09,250,-6.563869683026335,-31.648972072640003,16.934623022751346
1991-04-10,250,-7.021309006192463,-31.21564748439162,16.105583120680805
1991-04-11,250,-7.266155270541934,-31.076806150195193,15.336657288626878
1991-04-12,250,-5.240871393872828,-29.29643201355629,16.51182922253764
1991-04-15,250,-4.327322690980419,-27.895548058082937,17.575756080138778
1991-04-16,250,-2.6175096611348754,-26.328586776315714,18.80472957742685
1991-04-17,250,-3.5064412669939364,-26.686087745949543,18.177095106006792
1991-04-18,250,-5.3552034524776735,-28.75831480535005,15.70460474691191
1991-04-19,250,-5.506856710416477,-27.93757795047762,15.092142292082755
1991-04-22,250,-5.4349395714678765,-28.68957639544151,15.432436614153369
1991-04-23,250,-4.875879729469143,-28.08445932215944,15.9196577208995
1991-04-24,250,-3.746726722696329,-27.20402334028661,17.368454796284517
1991-04-25,250,-2.4122085673416493,-26.49339369827588,17.792312259957818
1991-04-26,250,-3.2187988454492307,-27.109397147781205,16.954534136479726
1991-04-30,250,-2.3782188020264603,-25.871675103295036,17.792061570742124
1991-05-01,250,-1.7881724697351582,-26.065371057077893,19.11307499936227
1991-05-02,250,-3.021049182063926,-26.061966587682168,18.25893515803905
1991-05-07,250,-4.5008399031779724,-27.16116585040827,17.036192005745875
1991-05-08,250,-3.511085053038055,-27.258912319809454,17.906595876040395
1991-05-09,250,-3.4834643737280278,-26.9593460764308,16.913262444275283
1991-05-10,250,-3.1674606623754733,-27.002900335256196,17.295793110234086
1991-05-13,250,-2.8507015828253146,-26.321440764316463,18.24425338068222
1991-05-14,250,-2.3412908845250384,-25.461720374281004,19.18513307603854
1991-05-15,250,-2.935653347298187,-25.875143386016465,18.63977624927255
1991-05-16,250,-4.512448774940034,-27.403317258576504,16.560315041691428
1991-05-17,250,-4.803972688102851,-27.838550773239128,16.794553843908698
1991-05-20,250,-5.402821056624922,-28.05505058470326,16.355445854062122
1991-05-21,250,-4.613931939834506,-27.296402644400384,17.508141290708462
1991-05-22,250,-5.074793022111087,-27.780173372691934,15.774337569107862
1991-05-23,250,-4.597399405089809,-27.175750448835952,17.01586220842213
1991-05-24,250,-4.6656576146169515,-28.14313210046719,16.806698677065107
1991-05-27,250,-4.920143775334812,-28.338353718115965,16.560230993795617
1991-05-28,250,-5.021983602766229,-28.808995445952323,16.809168341622875
1991-05-29,250,-5.348398366052046,-29.086671377907038,15.919833272540139
1991-05-30,250,-6.157819826327515,-29.449904566784355,15.703658874428138
1991-05-31,250,-5.935878646939523,-29.869290987952525,15.682878738921877
1991-06-03,250,-6.386954355513643,-29.32291074193598,14.822808471963993
1991-06-04,250,-6.552032023398049,-29.91450241171293,14.389552434256196
1991-06-05,250,-7.920588131398604,-31.447066411979378,12.943835259208411
1991-06-06,250,-8.526471487885159,-32.148875606147755,11.744386402087331
1991-06-07,250,-8.35468770941863,-33.17393010750139,12.191673031660674
1991-06-10,250,-9.253847373284177,-32.89773831397146,10.807265732197218
1991-06-11,250,-9.394169735467571,-33.20399182784353,9.756905647807873
1991-06-12,250,-9.525733029483858,-33.254998913951276,9.829247898773572
1991-06-18,250,-9.409666933137355,-32.52716787937658,10.39168424951286
1991-06-19,250,-10.983651246610775,-33.698143066542755,10.465258495950774
1991-06-20,250,-10.990547971924782,-32.94082921168444,11.283947060512274
1991-06-21,250,-10.97881993907033,-33.66669655450823,10.034911010937869
1991-06-24,250,-12.641708876281397,-35.49691795846054,9.143643754521186
1991-06-25,250,-12.661844929345577,-34.938667072587464,8.578874821682142
1991-06-26,250,-12.217120762713021,-34.56780734176083,9.018336400665316
1991-06-27,250,-12.929904832256078,-36.32298752600357,9.26575408270849
1991-06-28,250,-13.267674467516306,-36.84031442783018,8.772942181626847
1991-07-01,250,-11.489128053483778,-35.209173998710185,9.466531985726192
1991-07-02,250,-12.10104914121868,-34.8139407415437,8.73649114398272
1991-07-03,250,-12.9431484913804,-36.3951749552803,7.887350291605238
1991-07-04,250,-13.324340390887949,-37.018569145746056,9.265358920184662
1991-07-05,250,-13.93799787195458,-37.871797022639754,7.852570111584851
1991-07-08,250,-15.340895075456018,-38.839237225632665,7.637107325082989
1991-07-09,250,-15.24482869071174,-37.8877485034833,7.246531645274358
1991-07-10,250,-14.187277554775969,-36.902429268632055,8.044413783765615
