end_date,n,mean,ci_lo,ci_hi
1991-01-30,250,-22.15943801790644,-45.977272254710215,1.4188674944393782
1991-01-31,250,-22.26741802874394,-46.47925393009428,2.2600548556452624
1991-02-01,250,-22.330105001962554,-47.305139002302525,1.1072859570754436
1991-02-04,250,-21.74288362746586,-45.245272330828236,1.9846972028278644
1991-02-05,250,-20.795218915793445,-44.072862156281175,2.517927354129511
1991-02-06,250,-21.012752435425366,-43.394498645220715,2.2986108208914193
1991-02-07,250,-20.325685994619793,-42.63019458508165,3.592845689322073
1991-02-08,250,-19.104557878772226,-42.910222755534136,4.693158915381559
1991-02-12,250,-18.317186974095264,-42.80198233715546,5.993922737392622
1991-02-13,250,-17.66848265174647,-43.07938782811316,7.30837110817805
1991-02-14,250,-17.81349510687607,-43.26039178167087,6.41528006517624
1991-02-15,250,-18.38662994508072,-43.11282672062026,6.117014193653986
1991-02-18,250,-16.734683840028556,-43.89934212751819,8.321085048372929
1991-02-19,250,-16.03793670433617,-42.95102949218192,8.764898580163266
1991-02-20,250,-16.463314268008755,-43.794627551002904,7.800247484961797
1991-02-21,250,-16.471073430763393,-42.407157839296694,8.279220441474717
1991-02-22,250,-16.892472805372524,-41.89377454676246,7.836604506128726
1991-02-25,250,-16.33703264433571,-42.57794651908926,8.409961198637854
1991-02-26,250,-16.18626283530618,-41.93434624886753,8.546327797392596
1991-02-27,250,-16.833668390272237,-42.8733923301216,6.461027093942168
1991-02-28,250,-16.753090305185165,-42.93552571295249,7.724655941732017
1991-03-01,250,-17.59935406823883,-43.21909243106769,6.042081172551722
1991-03-04,250,-17.314053465814503,-43.35181421889879,6.890257643833517
1991-03-05,250,-17.077612027254304,-43.680833173878085,6.776196680087388
1991-03-06,250,-16.53673927164996,-43.03579154298013,7.88697152471368
1991-03-12,250,-16.4770728758009,-43.57292408489502,7.452711575829522
1991-03-13,250,-16.574929626236,-43.39031813554988,7.6269378605097025
1991-03-14,250,-16.46990622025864,-43.10763143538928,8.762743776520498
1991-03-15,250,-16.181147222657998,-42.273545121778376,8.626924435370611
1991-03-18,250,-15.935718854361099,-41.77084643759081,8.40615428296466
1991-03-19,250,-15.669991589221555,-41.49771674480264,9.689880211276813
1991-03-20,250,-15.995716994626957,-42.2445566015568,10.231715103871418
1991-03-22,250,-14.743229116370728,-40.28333061464053,10.062764870837835
1991-03-25,250,-14.643205308909048,-40.4741819554394,10.355043819983695
1991-03-26,250,-13.937153308096534,-39.06506708763545,10.493800654849007
1991-03-27,250,-13.039960482032644,-38.509087262009814,10.29544223319009
1991-03-28,250,-13.48231692992146,-38.31969946844908,10.6924564058936
1991-03-29,250,-14.2611057766126,-39.94756254205093,9.524935229182663
1991-04-01,250,-13.916674822278447,-38.94258475215593,10.32266572230583
1991-04-02,250,-13.344427822124329,-38.86040091260192,10.889758944509758
1991-04-03,250,-12.33991409179842,-36.397496677643616,11.362124832630975
1991-04-04,250,-12.528726904060647,-36.96608051283718,11.63995452080579
1991-04-05,250,-11.49432554316963,-36.25614834684399,11.175565976427515
1991-04-08,250,-10.862656037594013,-35.51290926208071,12.319588131976069
1991-04-09,250,-11.076010586317492,-36.129123845538814,12.43285098308625
1991-04-10,250,-11.536814637373913,-35.71862631831625,11.463699377081728
1991-04-11,250,-11.785197221534219,-35.444335154580884,10.789112038027845
1991-04-12,250,-9.763558341094491,-33.74330058978632,11.991700880738906
1991-04-15,250,-8.85284394858506,-32.40102157444049,12.938973161957774
1991-04-16,250,-7.145496137645569,-30.82939411697989,14.248338801097777
