period,n,mean,ci_lo,ci_hi
1990,47,-43.2093895710077,-74.96663376437795,-10.059501543973463
1991,48,1.1039102975162176,-15.12654531022689,18.371114227917438
1992,48,7.601551871745362,-39.53072315564525,59.56757630591014
1993,48,27.90706521389792,12.867452495260002,45.24796789402474
1994,48,31.102352850576608,7.60821779466385,59.56903583164302
1995,48,11.807437341239188,-16.64613170864186,36.76873007384945
1996,48,-0.3481679244114299,-19.651354773571654,21.3909318423098
1997,48,2.6771589252055903,-22.267943704031907,28.864880396805965
1998,48,-9.383453057368435,-38.39167684030902,21.209322052334123
1999,48,13.217835264807944,-6.072179247860158,34.356190253764055
2000,48,24.084936099822176,-3.1196138822826227,49.324684048456675
2001,48,-3.443872829335278,-39.880683656073224,27.632244455135304
2002,48,-16.22543950849018,-65.23516809728665,29.704124381222613
2003,48,53.01553949898977,29.426410591586283,74.75351425941508
2004,48,-16.33889923409915,-64.9084680252091,22.662684716329775
2005,48,35.44069271898957,21.21506938521522,51.79307499967097
2006,48,21.63550413308656,2.7891798402348,39.46731948370676
2007,48,-14.743171847969053,-53.95197483936443,22.33424424156539
2008,48,-44.14301868715763,-93.23851002347146,8.122855190236152
2009,48,39.46387492133501,-25.050285852679853,109.45074400328248
2010,48,4.6059305531271475,-17.095879467637094,25.51180676292308
2011,48,-3.5204859481730235,-40.73025472501871,32.69737220392652
2012,48,-12.23479091305213,-36.69585420537299,10.150547081426494
2013,48,15.907344747926432,-7.962042170510937,39.15990013445099
2014,48,5.585175036530437,-29.7725734133413,36.69515550469267
2015,32,-6.604718549185932,-27.234291783290555,13.940368943402424
