period,n,mean,ci_lo,ci_hi
1990,47,-47.44812639993613,-79.41864399848365,-14.146506269125654
1991,48,-3.849745585531508,-20.192981472762273,13.463089348443852
1992,48,0.9164086362787742,-45.74092366536144,52.367199704879674
1993,48,21.480342863077002,6.6543401038464065,38.36454676699409
1994,48,24.94257647501831,1.551980335557176,53.23343970639217
1995,48,4.708546086825091,-23.614591171769653,29.77031781566146
1996,48,-6.139958380094414,-25.297321674256715,15.472889040367825
1997,48,-3.953906239276949,-28.89057178514276,22.381716100334454
1998,48,-17.375756503837206,-46.47845453402126,12.914088937727747
1999,48,5.831074518760946,-13.893145784839195,27.100964900060145
2000,48,16.949579334350798,-10.110703573326267,42.112979115202975
2001,48,-13.611519535182955,-49.37254225492112,17.099772981817168
2002,48,-28.298465993104873,-77.98130047131906,18.24912061403132
2003,48,39.65501320635958,15.733346248567482,61.7331126745433
2004,48,-27.240734624110832,-75.61217711830678,11.505808687821098
2005,48,25.45776394948059,10.72454218477766,42.20468432651607
2006,48,14.112277450261894,-4.623398759449426,31.838975472721817
2007,48,-21.88842000687089,-61.15310539794443,15.406225779960177
2008,48,-54.26597964648452,-104.6621160522949,-0.9436628809640801
2009,48,26.18296217938457,-37.274189861188454,95.25342262286175
2010,48,-7.7195642489406415,-29.548147744531,13.562385253773188
2011,48,-16.35238975801485,-53.83576372238386,20.2941527578472
2012,48,-25.683326402066033,-49.960887695449806,-3.469816515160368
2013,48,6.644550737587575,-17.213714294629348,30.339925135846823
2014,48,-2.305959626322353,-37.82444398518918,28.868782889688926
2015,32,-12.959236065058805,-33.70280918987304,7.66720279842794
