rule,series,variant,n,n_non_rule,net_mean_cons_bps,net_ci_lo,net_ci_hi,net_ci_lo_t_supp,net_ci_hi_t_supp,gross_mean_bps,non_rule_gross_mean_bps,diff_gross_bps,diff_ci_lo,diff_ci_hi,net_mean_opt_bps,cost_mean_bps,sd_bps,mde_bps
TOM,先物(主系列),主指標(メジャーSQ隣接ペア除外),1231,4768,-3.7785376021743455,-12.179918400544791,4.55611650727222,-12.608964909044703,5.051889704696011,4.993507842222738,-0.972174740448953,5.965682582671691,-3.4246844227421307,14.973577550889283,3.411663581757691,8.772045444397083,157.91925643677135,12.60984944511016
TOM,先物(主系列),併記(除外なし),1231,5074,-3.7785376021743455,-12.615230172043589,4.918581526564643,-12.608964909044703,5.051889704696011,4.993507842222738,-1.0838783947150545,6.077386236937793,-3.5927390472566265,15.713177279991847,3.411663581757691,8.772045444397083,157.91925643677135,12.60984944511016
WD-Mon,先物(主系列),主指標(メジャーSQ隣接ペア除外),1092,4907,-19.12511668992782,-28.94624138868983,-9.121862872485536,-28.97276778692555,-9.277465592930092,-10.384952253367898,2.6191250972067106,-13.004077350574608,-23.551415063198387,-1.772543152087977,-11.961047479632805,8.740164436559922,165.84936500162112,14.060680219269377
WD-Mon,先物(主系列),併記(除外なし),1184,5121,-19.917550587043554,-30.02270142625239,-10.175179703898511,-29.51787022837619,-10.317230945710916,-11.172631163265565,2.709588845205708,-13.882220008471274,-24.674005000797678,-2.9170301940910686,-12.749583846241926,8.744919423777985,168.37162103908074,13.708719157075553
WD-Tue,先物(主系列),主指標(メジャーSQ隣接ペア除外),1266,4733,-4.457004494486033,-11.942237088194988,3.940104333870125,-13.151667744702532,4.237658755730467,4.33241832620193,-0.83945966821383,5.17187799441576,-3.5877971702088423,14.887182030143787,2.747440440504098,8.789422820687962,157.69059744513766,12.416316746484572
WD-Tue,先物(主系列),併記(除外なし),1276,5029,-4.207417874760461,-11.818553543413675,3.9317422117267786,-12.917933712392323,4.503097962871401,4.583441786082058,-1.0342140664244783,5.617655852506536,-3.5213883103153787,14.77297805290757,2.9982047980612743,8.790859660842521,158.60199783936915,12.439048290002608
WD-Wed,先物(主系列),主指標(メジャーSQ隣接ペア除外),1279,4720,-7.9676276194546425,-16.6892258279974,-0.1292792086277623,-16.402123133256296,0.46686789434701126,0.8340278314254778,0.09427063451745714,0.7397571969080207,-8.538090935368974,9.478482304291001,-0.7531559384053639,8.80165545088012,153.75696368888185,12.044904454248883
WD-Wed,先物(主系列),併記(除外なし),1280,5025,-7.953401615785458,-16.309398792512766,0.1722755892839087,-16.381345067313354,0.47454183574243736,0.8468615751453517,-0.08688032580976106,0.9337419009551127,-8.418978243059247,10.39906216062166,-0.7400711314159409,8.80026319093081,153.69768637462968,12.035556684015814
WD-Thu,先物(主系列),主指標(メジャーSQ隣接ペア除外),1181,4818,-1.7784545627744612,-12.85845923484805,8.987946672137294,-10.576160404488304,7.019251278939381,7.018366909650838,-1.4066028080078992,8.424969717658737,-3.435539797819748,19.593860204512477,5.432054840852834,8.796821472425302,154.0992779744994,12.562598860245618
WD-Thu,先物(主系列),併記(除外なし),1283,5022,-3.6142271574072877,-14.442750799857718,7.032685992881824,-12.109557817976377,4.881103503161802,5.183829500064264,-1.19542892664087,6.3792584267051335,-4.563379850312238,17.310833798448968,3.597294692979231,8.798056657471552,155.1083973345387,12.131816134668956
WD-Fri,先物(主系列),主指標(メジャーSQ隣接ペア除外),1181,4818,-10.458538547227493,-19.34760328124021,-2.35159580345103,-18.803465169572807,-2.1136119248821785,-1.6834950598383902,0.7264189823546535,-2.409914042193044,-12.013041123350712,6.5235892214867865,-3.2658799510069167,8.775043487389103,146.16846600580146,11.916057158633791
WD-Fri,先物(主系列),併記(除外なし),1282,5023,-8.552479204878004,-17.375351582593417,-0.0753303147920492,-16.836104094529254,-0.26885431522675596,0.22815654640345384,0.0706574729250994,0.15749907347835446,-9.42404873050987,9.1580050498283,-1.355236785794842,8.78063575128146,151.1839929749782,11.829479507089335
