date_prev,date,close_prev,close,r,r_bps,nights,tick_yen,cost_bps_cons,cost_bps_opt,r_net_bps_cons,r_net_bps_opt,pnl_yen_cons,price_scale_splice,is_TOM,is_WD-Mon,is_WD-Tue,is_WD-Wed,is_WD-Thu,is_WD-Fri,is_PH,is_SQm,is_SQq,split,decade,year
2011-09-05,2011-09-06,760.0,744.0,-0.021052631578947323,-210.52631578947322,1,,,,,,,False,True,False,True,False,False,False,False,False,False,val,2010s,2011
2011-09-06,2011-09-07,744.0,758.0,0.018817204301075252,188.17204301075253,1,,,,,,,False,True,False,False,True,False,False,False,False,False,val,2010s,2011
2011-09-07,2011-09-08,758.0,760.0,0.0026385224274405594,26.385224274405594,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2011
2011-09-08,2011-09-09,760.0,760.0,0.0,0.0,1,,,,,,,False,False,False,False,False,False,True,False,True,True,val,2010s,2011
2011-09-09,2011-09-12,760.0,746.0,-0.018421052631578894,-184.21052631578894,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2011
2011-09-12,2011-09-13,746.0,753.0,0.009383378016085686,93.83378016085686,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2011
2011-09-13,2011-09-14,753.0,746.0,-0.009296148738379806,-92.96148738379806,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2011
2011-09-14,2011-09-15,746.0,754.0,0.01072386058981234,107.2386058981234,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2011
2011-09-15,2011-09-16,754.0,772.0,0.023872679045092937,238.72679045092937,1,,,,,,,False,False,False,False,False,False,True,True,False,False,val,2010s,2011
2011-09-16,2011-09-20,772.0,758.0,-0.01813471502590669,-181.3471502590669,4,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2011
2011-09-20,2011-09-21,758.0,759.0,0.0013192612137202797,13.192612137202797,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2011
2011-09-21,2011-09-22,759.0,748.0,-0.01449275362318836,-144.92753623188358,1,,,,,,,False,False,False,False,False,True,False,True,False,False,val,2010s,2011
2011-09-22,2011-09-26,748.0,733.0,-0.020053475935828846,-200.53475935828845,4,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2011
2011-09-26,2011-09-27,733.0,753.0,0.027285129604365688,272.8512960436569,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2011
2011-09-27,2011-09-28,753.0,766.0,0.01726427622841964,172.6427622841964,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2011
2011-09-28,2011-09-29,766.0,773.0,0.009138381201044377,91.38381201044376,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2011
2011-09-29,2011-09-30,773.0,772.0,-0.001293661060802087,-12.936610608020871,1,,,,,,,False,True,False,False,False,False,True,False,False,False,val,2010s,2011
2011-09-30,2011-10-03,772.0,757.0,-0.01943005181347146,-194.3005181347146,3,,,,,,,False,True,True,False,False,False,False,False,False,False,val,2010s,2011
2011-10-03,2011-10-04,757.0,747.0,-0.013210039630118908,-132.10039630118908,1,,,,,,,False,True,False,True,False,False,False,False,False,False,val,2010s,2011
2011-10-04,2011-10-05,747.0,738.0,-0.012048192771084376,-120.48192771084376,1,,,,,,,False,True,False,False,True,False,False,False,False,False,val,2010s,2011
2011-10-05,2011-10-06,738.0,746.0,0.01084010840108407,108.40108401084069,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2011
2011-10-06,2011-10-07,746.0,751.0,0.006702412868632601,67.02412868632601,1,,,,,,,False,False,False,False,False,False,True,True,False,False,val,2010s,2011
2011-10-07,2011-10-11,751.0,764.0,0.017310252996005415,173.10252996005414,4,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2011
2011-10-11,2011-10-12,764.0,765.0,0.0013089005235602524,13.089005235602524,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2011
2011-10-12,2011-10-13,765.0,769.0,0.005228758169934622,52.28758169934622,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2011
2011-10-13,2011-10-14,769.0,758.0,-0.014304291287386195,-143.04291287386195,1,,,,,,,False,False,False,False,False,False,True,False,True,False,val,2010s,2011
2011-10-14,2011-10-17,758.0,774.0,0.02110817941952514,211.0817941952514,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2011
2011-10-17,2011-10-18,774.0,762.0,-0.015503875968992276,-155.03875968992276,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2011
2011-10-18,2011-10-19,762.0,763.0,0.001312335958005173,13.12335958005173,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2011
2011-10-19,2011-10-20,763.0,758.0,-0.006553079947575369,-65.53079947575368,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2011
2011-10-20,2011-10-21,758.0,756.0,-0.0026385224274406704,-26.385224274406703,1,,,,,,,False,False,False,False,False,False,True,False,False,False,val,2010s,2011
2011-10-21,2011-10-24,756.0,766.0,0.013227513227513255,132.27513227513253,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2011
2011-10-24,2011-10-25,766.0,758.0,-0.010443864229765065,-104.43864229765066,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2011
2011-10-25,2011-10-26,758.0,757.0,-0.0013192612137202797,-13.192612137202797,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2011
2011-10-26,2011-10-27,757.0,775.0,0.023778071334213946,237.78071334213945,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2011
2011-10-27,2011-10-28,775.0,783.0,0.010322580645161228,103.22580645161227,1,,,,,,,False,False,False,False,False,False,True,False,False,False,val,2010s,2011
