rule,series,state_sign,split,n,n_complement,net_mean_cons_bps,net_ci_lo,net_ci_hi,diff_gross_bps,diff_ci_lo,diff_ci_hi,sd_bps,mde_bps
TOM,先物(主系列),(無条件),train,863,3348,-0.8212031396079236,-10.999010659812326,8.675449109934254,10.517536036723913,-0.9283711334940545,20.682822311578807,151.1227307482704,14.412132031051586
TOM,先物(主系列),(無条件),val,368,1420,-10.713808366290712,-27.010649013439576,6.642832939749313,-4.740410164548842,-23.419032524435565,14.574551437115916,172.83240816638948,25.24091586934722
TOM,先物(主系列),1_非正,train,418,3793,-0.5514616329558654,-17.195096609972325,15.747480318052235,9.52320785708539,-7.506732213765205,26.136413310111227,164.8744106198483,22.592742503428568
TOM,先物(主系列),1_非正,val,189,1599,-16.214350007269342,-34.813186581002434,2.526162705323557,-10.29735699739721,-30.72168060292005,10.539466097732726,171.51155283937362,34.95153986456608
TOM,先物(主系列),2_正,train,444,3767,-0.9085982966961886,-11.993311137825023,10.288289067855064,9.318696018572716,-2.7098570371647424,21.48644299298418,137.25273959443066,18.248760612315774
TOM,先物(主系列),2_正,val,179,1609,-4.9059738962071275,-22.92028117172991,15.292926935666507,2.204172132153863,-17.326538690289937,24.059302877164413,174.50842593752148,36.542118623592714
WD-Mon,先物(主系列),(無条件),train,773,3438,-17.44054449187137,-29.819939729133868,-5.457296626584701,-10.142966832709844,-23.773673850354488,2.7161517333171656,163.9982402637536,16.525449388862345
WD-Mon,先物(主系列),(無条件),val,319,1469,-23.207167815625752,-39.3299955915578,-6.860318617551586,-19.76593823203201,-38.08870813955703,-1.3671605059431304,170.44414229140878,26.735639469790208
WD-Mon,先物(主系列),1_非正,train,381,3830,-19.32545807103449,-39.205018646015326,-1.3369890661045887,-11.29388323875523,-31.74950250482053,7.267237369803674,180.17606188178456,25.860590648586957
WD-Mon,先物(主系列),1_非正,val,144,1644,-28.997162224803887,-53.540772006058425,-4.092262207159347,-23.690418548792493,-48.001050371006556,2.382862248364833,204.18890195226925,47.67105079263684
WD-Mon,先物(主系列),2_正,train,392,3819,-15.608523895797013,-35.03351277472504,5.006579049199943,-6.99731184236126,-27.15699575184883,13.827743559140528,146.78568019076621,20.77038245677165
WD-Mon,先物(主系列),2_正,val,175,1613,-18.44282955893059,-34.753661814912526,-3.2709846144540555,-12.94539422649477,-30.77688410303969,4.1031374659506525,137.0327845613781,29.020794364552636
WD-Tue,先物(主系列),(無条件),train,891,3320,-5.643027024640198,-13.977797748061548,2.671395325974754,4.490934837824575,-5.488117885386352,14.294840137030842,133.2411417935613,12.50556537825002
WD-Tue,先物(主系列),(無条件),val,375,1413,-1.6390149628397328,-20.01173976400059,18.56039072945992,6.8272754304985925,-14.897232841127545,29.62679813176936,204.56893269603967,29.595650009041364
WD-Tue,先物(主系列),1_非正,train,457,3754,6.404856672577892,-5.651347602445885,17.782614405940333,17.385915083263363,4.775267785236164,29.781870521255605,134.83946381102382,17.671066214789985
WD-Tue,先物(主系列),1_非正,val,198,1590,2.4035811861697267,-26.68260538696037,37.00542807219123,10.935813119972465,-19.50327334001808,46.769754372478374,246.80065809371877,49.138009013948896
WD-Tue,先物(主系列),2_正,train,434,3777,-18.32939303760948,-29.870608156102886,-6.968341985791228,-10.091500498560384,-22.162232563482522,2.5628179114154026,130.4931067479367,17.548764401168235
WD-Tue,先物(主系列),2_正,val,177,1611,-6.161241163426586,-27.687369141176884,12.455410857214384,0.6129816631621838,-22.247193475707068,20.68809512667802,143.91211783266453,30.30501955375114
WD-Wed,先物(主系列),(無条件),train,897,3314,-11.273728040686317,-21.913466744097683,-1.818256174669739,-2.621049953209765,-14.34831348669363,7.9353984073504265,154.67689071076043,14.468817848032106
WD-Wed,先物(主系列),(無条件),val,382,1406,-0.20434992876141767,-14.560651424479103,13.074668540267517,8.623994298842165,-7.040262839859353,25.26628424926059,151.49200941937508,21.715102422099598
WD-Wed,先物(主系列),1_非正,train,461,3750,1.264657778023909,-13.367221197572448,15.175480344184427,11.863415993650428,-3.5915187702698494,26.412678793805,159.55378735112328,20.819030059251098
WD-Wed,先物(主系列),1_非正,val,187,1601,1.9322185877069222,-19.679213440220476,22.559764884287645,9.87240713841482,-12.54102249145326,31.366085739916215,149.52994143549398,30.634528280158506
WD-Wed,先物(主系列),2_正,train,436,3775,-24.531058000377634,-38.274550438346836,-11.023897062834259,-17.19446230684234,-31.121849664662697,-3.760671488061365,148.38001328944904,19.908383514056922
WD-Wed,先物(主系列),2_正,val,195,1593,-2.2532643522464357,-21.178048698276424,13.992507232909869,5.396069309656476,-15.137822916447151,24.350604515857395,153.7067888686378,30.83752974333874
WD-Thu,先物(主系列),(無条件),train,825,3386,-0.9866713024750003,-12.50832936247962,10.8729303946878,10.22420077774133,-1.8943257017201656,22.41640728144676,141.04124041893382,13.756976072280285
WD-Thu,先物(主系列),(無条件),val,356,1432,-3.613345545210011,-25.857334579824816,16.821794739613832,4.165619996262551,-18.76100353175458,25.3117017921259,180.98112159654733,26.872750115411932
WD-Thu,先物(主系列),1_非正,train,430,3781,3.220149825604835,-11.79221550345831,18.13062292678863,13.800569982230417,-1.6783635932477112,28.92216067535471,147.9232604172484,19.9850887049902
WD-Thu,先物(主系列),1_非正,val,171,1617,-7.264061145759014,-45.17370640449963,22.93078251260423,-0.2614726377535703,-37.68417918688154,30.211346490029438,187.61983052212994,40.19615585765885
WD-Thu,先物(主系列),2_正,train,395,3816,-5.566248733042922,-20.017171279658736,8.706199823288117,4.062450553546586,-11.559067106790712,18.96118140923377,133.18206805317263,18.773750587787006
WD-Thu,先物(主系列),2_正,val,185,1603,-0.23890031443228618,-15.517851047716855,16.288603782509387,7.404693105096873,-9.784980593295598,25.750625743663207,175.06426323531312,36.05914903613987
WD-Fri,先物(主系列),(無条件),train,825,3386,-11.229801597668816,-20.36999575687451,-2.3822737446567914,-2.54106849085056,-13.172591658302483,7.7374795152534785,137.6388747462192,13.425113823978618
WD-Fri,先物(主系列),(無条件),val,356,1432,-8.671201421907007,-28.361964484637404,8.1848548964426,-2.178426854429067,-23.11453123548301,15.970523964480103,164.43755790884322,24.41630024331347
WD-Fri,先物(主系列),1_非正,train,412,3799,-17.259389511734852,-32.201590041299255,-3.8507899642758225,-8.877550096939888,-24.6683815701447,5.540457640688892,139.91698591327466,19.311929635447473
WD-Fri,先物(主系列),1_非正,val,184,1604,-15.881265131715534,-38.53342016301337,5.8842808458523574,-9.988096407419587,-33.18606914236267,12.389630310403344,172.3785690535587,35.60231161455048
WD-Fri,先物(主系列),2_正,train,412,3799,-5.045990621526786,-15.730073522017006,5.8657699916739805,4.531649013452532,-7.243039293325781,16.308486906945387,135.35044802813186,18.681636910515955
WD-Fri,先物(主系列),2_正,val,172,1616,-0.9581100114141614,-31.561056685441518,25.921903220282598,6.61014217680421,-22.9481967221129,33.08157632498104,155.62681174028384,33.2448237046823
PH,先物(主系列),(無条件),train,198,4013,-6.19108005037547,-21.893734124018295,11.328553445141186,3.2320842695333925,-13.150686381267212,20.494074993357064,134.83676073579002,26.845997962983333
PH,先物(主系列),(無条件),val,87,1701,-14.350457404342402,-31.39314818437068,3.127997936876344,-7.5336032024695445,-25.30138411241528,10.7092863769082,167.19476842232007,50.21886525391128
PH,先物(主系列),1_非正,train,104,4107,-6.6316526691307285,-32.793160408118524,18.733062509357747,2.544256786628437,-22.744395790467056,28.655646988722445,146.17833549878776,40.15782474662453
PH,先物(主系列),1_非正,val,40,1748,-43.79005226716172,-59.71669725233734,-28.54399767910207,-37.04175801164678,-52.50776724921537,-20.60957519190181,148.930539417509,65.97168918557286
PH,先物(主系列),2_正,train,94,4117,-5.703638004093059,-22.89922106428728,12.434140112346672,3.8279443656587278,-14.27553048351113,22.02225108583466,121.84469833124763,35.20842091989273
PH,先物(主系列),2_正,val,47,1741,10.704516946993186,-16.63668826900492,34.10147624322866,18.026866230589924,-9.172368857069241,42.69806700730425,179.0584038603203,73.17279045706839
SQm,1321.T,(無条件),train,0,0,,,,,,,,
SQm,1321.T,(無条件),val,48,930,-6.2305178482708214,-39.96155360239713,29.565949198525065,-10.67512273401664,-45.37024716322598,26.441231205399937,134.16438234575125,54.252587279762636
SQm,1321.T,1_非正,train,0,0,,,,,,,,
SQm,1321.T,1_非正,val,24,954,-29.161038395080478,-64.14771858910522,3.091759757948548,-33.729449496035876,-70.30501193638688,0.7550144140390486,144.76264037566625,82.78558313560441
SQm,1321.T,2_正,train,0,0,,,,,,,,
SQm,1321.T,2_正,val,24,954,16.70000269853883,-9.833133859150749,43.16480623293605,12.916317121538027,-14.650932694989324,40.91867024983287,121.36396962669143,69.40455749580472
SQq,1321.T,(無条件),train,0,0,,,,,,,,
SQq,1321.T,(無条件),val,16,962,25.241043467134187,,,21.465927710376956,,,157.32105129161985,110.18708296830364
SQq,1321.T,1_非正,train,0,0,,,,,,,,
SQq,1321.T,1_非正,val,7,971,-6.793116686460762,,,-9.794305825055192,,,183.85712263848094,194.6862484634032
SQq,1321.T,2_正,train,0,0,,,,,,,,
SQq,1321.T,2_正,val,9,969,50.156501364374705,,,45.51948813335882,,,139.48911970374832,130.26355197251576
