draw,mean_net_bps,sharpe,n
0,2.898761830294177,0.14374744266252065,128
1,1.5561085508583374,0.11710999488943645,131
2,-12.003926625344242,-0.6417083500813991,128
3,-0.45524792494908706,-0.025204847605066874,132
4,-0.74359666322099,-0.05166536429376574,132
5,-5.648624476920268,-0.4335105721916765,128
6,6.128274350309114,0.27677725651074603,133
7,-7.189661724254415,-0.33451135146770106,128
8,-4.982049678565603,-0.27599144334224307,130
9,-2.422440838130156,-0.18905728390346155,129
10,-19.168676551763042,-0.7013232727910115,135
11,-5.562943867133824,-0.3751990502549403,130
12,-2.5549445528113512,-0.1675130235651806,131
13,-7.963855852531725,-0.373824029872545,130
14,-7.09715777453454,-0.3701172172731231,123
15,-14.557369699881606,-0.7301761963037864,128
16,-15.290309535525727,-0.9899925356031419,134
17,-0.24057713289511728,-0.017262996687351245,133
18,0.3629099291640661,0.02278200186330204,133
19,-5.653375203779542,-0.316776346446964,126
20,-13.14558524993031,-1.03615397886833,128
21,-7.851820083849913,-0.4450064823690317,134
22,-5.211564537686371,-0.23577735341458259,128
23,-0.040254309525283555,-0.0018205741813813116,132
24,-4.0041343095945425,-0.29868223309788255,128
25,-2.718692443721013,-0.15810350213195676,129
26,-25.244398893588812,-0.9595707684046539,131
27,-8.05519450705607,-0.5095904310757123,129
28,-7.388231913906089,-0.4299314980692793,133
29,4.713565618447983,0.3379596666294869,132
30,-7.166180605050435,-0.4113735157845056,128
31,3.8340825700443606,0.19700501785654537,130
32,1.694525881161341,0.09784188037005634,131
33,-0.942691985963054,-0.06118695187973637,129
34,1.4850496117147027,0.12507268595098336,128
35,-3.5855394506325986,-0.15997599413334593,133
36,-9.73628152771935,-0.3627633842800346,130
37,-9.946859780117203,-0.7685252625499616,126
38,-4.080049072626781,-0.34880606075816273,135
39,0.03252266403370207,0.0017705867593311455,131
40,-4.773439040459427,-0.34366815753711183,130
41,11.432070097408,0.6534454468951493,131
42,-4.348486065618657,-0.27272732209556405,129
43,3.783696633092296,0.26448811931492516,125
44,1.8111918904632873,0.11460176895850975,135
45,-12.873779639888163,-0.8959232607032662,131
46,-6.043434611687854,-0.358813403091296,131
47,-7.591009105235633,-0.5850524836605163,133
48,-10.27728458619135,-0.9270279098056032,130
49,-2.08929616496691,-0.1512538486450279,134
50,-4.764040161775974,-0.3435381430081878,133
51,-9.36107111164227,-0.7608974149018016,129
52,-22.775106464788735,-1.2743608644925188,130
53,-5.026620700557823,-0.2719958757825268,132
54,-7.018157663386559,-0.5251786526045262,127
55,-14.765283706469301,-1.0214362136003379,131
56,2.9929057069272047,0.1799202644359555,132
57,-2.952356941696677,-0.18055982677581808,128
58,4.701923241803297,0.21604091652739094,133
59,6.063127515938945,0.3439498587009694,130
60,-15.572086536176206,-0.5791540284623368,135
61,-8.708546854011711,-0.6107332723649459,128
62,-14.669026539149295,-0.812071688833921,131
63,1.9718872566692969,0.1756512100957147,132
64,-5.034652846319683,-0.2993174488046469,132
65,-5.009941408318261,-0.23303986486398415,129
66,-8.393964692020063,-0.5050226381569486,133
67,-3.553025516646693,-0.19931492290923805,135
68,-10.756054414208437,-0.5757166574216219,133
69,-3.4864256871808395,-0.28762357363423907,126
70,9.721786805019411,0.36577606051296324,133
71,-8.063931863737539,-0.3425264220579459,133
72,-10.364534055472586,-0.6113028798229447,134
73,-8.10604274745734,-0.7271235920197607,134
74,-0.4750426338103197,-0.03824562262430961,133
75,-3.432993546501072,-0.22437736320868346,133
76,-3.622397382992077,-0.2422654122542204,131
77,-6.233029186641564,-0.4825602784361301,126
78,-9.433484950929353,-0.6365618893411739,131
79,-7.625021987858238,-0.6235905445150726,131
80,-4.178776403254552,-0.25072135640135834,134
81,10.556606399705098,0.6549960512127926,130
82,2.6229195798184994,0.1236740998958534,130
83,1.0169035562755893,0.06445323494730666,131
84,-4.911908319267606,-0.30931351306462923,132
85,3.7121043232155393,0.20761633325519455,130
86,-8.822080790950881,-0.6293326312370823,132
87,1.4535935234365505,0.09442070155621106,133
88,1.113291171509122,0.06416277094945375,132
89,-1.6259561590650515,-0.09041568785929494,131
90,4.714082605090314,0.26843751389343684,131
91,0.6406279551084496,0.028408703552434862,129
92,-15.559432883072935,-0.9941130345965831,131
93,2.0701820194876457,0.11512633040805902,135
94,2.005474676912746,0.13520155855096536,131
95,-8.825854172605796,-0.7079928390183157,130
96,-1.260075457937652,-0.08621585427385384,130
97,-4.5294162027638425,-0.2593194776284411,130
98,-1.5970066198442205,-0.11469822228002652,135
99,-5.907242086124306,-0.3678855292374103,132
100,-0.8382175356001798,-0.04491167877106676,134
101,4.468409056574423,0.21873192313576945,131
102,-12.444753676319765,-0.8433080968852312,134
103,-9.291652663536592,-0.6095139121111577,128
104,-4.700109977122276,-0.2780496320276205,134
105,-16.356178344843887,-0.9119564310728233,129
106,-11.844858132315451,-0.5892459468592228,132
107,-7.873847504511753,-0.4792587341140452,129
108,-8.162838442450843,-0.5150778233189682,125
109,-6.385055007302356,-0.4522470805570711,129
110,-4.894931097468634,-0.2869283479191518,129
111,-18.98555829049142,-1.0442462402591355,131
112,0.36384760882271794,0.024581620635614424,133
113,-4.50330740796211,-0.2883974980504644,129
114,0.1690322718711664,0.010994699924663523,133
115,-13.833656079516448,-0.7145939485861987,127
116,-6.167674544257557,-0.3775827358106541,127
117,-2.4917821112451954,-0.13049064583736103,132
118,-11.771875618981609,-0.5595753605434547,130
119,-11.801384591421106,-0.90095564611754,127
120,-9.238852164755286,-0.4761972087410674,130
121,-10.561354683100152,-0.46324710260509,131
122,-15.024248336692162,-0.8346401465215435,131
123,1.9200716098955029,0.09453057947837266,133
124,-12.625284204369626,-0.7479564384527233,130
125,-6.5877252637921035,-0.3732870797619374,133
126,-4.065496201695882,-0.3228776645904477,129
127,1.3259237151279981,0.09408041693540538,130
128,5.135958710074911,0.3250834102203294,128
129,-14.780914612096606,-0.9618287756491248,132
130,-1.9147055621455475,-0.113569903385963,131
131,-13.583685163026917,-0.7620748442876532,135
132,-7.020233911482557,-0.41224327235828234,131
133,-8.88550251082576,-0.5030083888461184,129
134,-3.810144253004104,-0.24202294875534067,130
135,-1.660463436200111,-0.1043339709298886,130
136,-3.0541263705877584,-0.18352478627830587,128
137,-5.958363951238272,-0.29426766966550844,125
138,-11.779223019961858,-0.9168814126597534,132
139,-4.824692951036364,-0.25161326376812965,130
140,-0.17254795651712218,-0.011962594419733946,129
141,5.327266617846222,0.301997900643822,127
142,0.3364839293661809,0.02598213237387174,131
143,12.162217417666247,0.834062609993084,135
144,-7.230971119884425,-0.37900332285476723,128
145,12.04144884691961,0.4783578894780825,129
146,-2.5915039711276022,-0.16637004142772174,130
147,-15.05041806641916,-0.99870787693113,131
148,-3.7397730026045513,-0.2978697757757163,131
149,-9.31923177173181,-0.5490511652448719,132
150,-4.90323965128223,-0.2875921803749748,130
151,-8.427746344629668,-0.3882272393540159,128
152,6.721791399109573,0.4402638716096385,130
153,-7.97921079495371,-0.38214015780566896,135
154,-13.313745949507485,-0.9668630001508859,130
155,1.9018226117352603,0.11249140508884771,131
156,-3.409197829086448,-0.18429494090215195,132
157,-9.110770885538688,-0.5170570147230285,130
158,-2.5859529655313716,-0.20992854026477417,128
159,-6.961095096319476,-0.4052918148743565,132
160,0.7538407552850229,0.04052268527292385,133
161,9.408254590691332,0.4872534506529611,129
162,-18.112492603094683,-1.0578862888007117,135
163,-14.97038460959211,-0.7696910678367853,133
164,-6.710094148236111,-0.4333822387807903,130
165,-3.188240075226734,-0.2094759089267113,125
166,-3.279360358305655,-0.1748424084233011,131
167,-0.8395654761929631,-0.07631574272019861,132
168,-15.234695859779444,-0.9621991175709245,130
169,-1.664862493458067,-0.11614161363353431,132
170,-7.537045553792786,-0.4210681457552459,129
171,1.8084965289023667,0.05594331160236611,131
172,-14.081275533217068,-0.6906659622935343,130
173,-13.349189499563431,-0.7055696276231016,130
174,-5.165587062867749,-0.3265931086161301,132
175,-18.839185785231667,-1.0994910051850662,131
176,-1.930858640154373,-0.13533619120572946,132
177,1.989568849028074,0.15941622066146047,126
178,-5.438929545532854,-0.30541812768084237,132
179,2.39646444074249,0.12845359071310725,127
180,-3.2873348039417265,-0.16000056402776822,128
181,-17.053746960526414,-0.738458661022552,135
182,14.807746979755175,0.23930603231796335,128
183,-9.54376357412625,-0.4588273313011737,130
184,5.150868021610014,0.3923461538529383,129
185,-7.77507841141958,-0.4770433852106582,128
186,0.3886467484979468,0.027938308805144065,132
187,-9.64745900542409,-0.8016065105871429,130
188,-0.7756215467630804,-0.04146609604997221,129
189,-4.56314158482955,-0.28227769254599533,133
190,-13.838846951466358,-1.0246730781322986,128
191,-9.501640391371028,-0.5810232116223325,124
192,-6.065263784802516,-0.4508774944086141,127
193,-16.577705547721063,-0.7611601214666299,127
194,12.039501730487808,0.4442359352896272,126
195,-5.141596653760361,-0.27047147447850506,129
196,-2.8139540246475088,-0.1626775768397339,130
197,-12.29796929848171,-0.6959056827745724,134
198,-9.925970062112611,-0.6647926736342167,131
199,-1.4484272191038379,-0.12125734428369238,131
200,-8.107662407453233,-0.5910078901099544,131
201,-16.502527992776912,-0.930520343493546,127
202,-2.227295665708304,-0.1445834982489057,132
203,-7.980426778804415,-0.4506222527536267,133
204,-2.1269673777812197,-0.11281038504342374,131
205,-7.072915212769392,-0.6185835699410923,134
206,-11.453849210468727,-0.9307854024419583,126
207,-2.797748286509076,-0.16675101824016672,131
208,-2.014194374060259,-0.1174354412370838,132
209,-1.3431664563676406,-0.08165480732007596,128
210,-1.9105935146147308,-0.12571878412880255,130
211,-13.269429500660735,-0.8159782674552408,128
212,-4.727427780587543,-0.2891281123062003,130
213,4.2642445707796846,0.12053044258143455,129
214,-12.587278342762886,-0.8616042109828115,128
215,0.4832311857675675,0.024239082672632604,133
216,-3.1734401658092546,-0.26155455661643473,130
217,-7.8181361250456325,-0.3698694141116252,132
218,3.2224248078056243,0.13646437864159594,131
219,-9.19593702903759,-0.3141395023204923,128
220,-11.8630830200268,-0.5690576289691857,127
221,4.9334485363794025,0.25390818779994234,132
222,-22.106892899798183,-0.8892814686080743,133
223,-5.263691330843351,-0.28698237806727284,134
224,-3.4503072899892087,-0.272295934768213,132
225,-1.654082456012997,-0.07590672550965778,128
226,1.5217338244983702,0.10112372039532755,132
227,-9.429714145276579,-0.531506127777667,128
228,-5.969959454482714,-0.34061310682509643,131
229,-6.800522749858064,-0.36974274779905225,132
230,-10.162631143739487,-0.5956026106662755,130
231,0.8211473512593603,0.04917417220146642,135
232,3.074763440240252,0.10125313003232919,129
233,9.33117686815383,0.5358620567006235,133
234,-1.478561297558018,-0.08135185439352469,126
235,-0.9189653681102918,-0.04980763520782746,129
236,-10.981832099751372,-0.6253285210395376,128
237,2.485887454046249,0.19536157521714498,133
238,-4.901154020750515,-0.28076299877745253,132
239,0.6475594699449095,0.038850947259268645,130
240,-13.712468493144328,-0.5946043821736262,132
241,-0.2197572658701661,-0.009613794222341855,131
242,-11.433422843496931,-0.731995288864392,133
243,-0.2530804863317542,-0.010507003680693794,128
244,0.7859145529530742,0.037313491279837054,133
245,-3.0507128469550104,-0.1688409159204421,127
246,-6.519799024481036,-0.3211175870199495,131
247,5.937327268311858,0.3292737874068335,131
248,-11.251697350238604,-0.7842999505692778,128
249,-18.52271108328174,-0.46132295696832,127
250,2.687984283380708,0.21955549202525002,127
251,-8.819390929776942,-0.34789974488216624,133
252,-1.3190416960572948,-0.077846284219149,130
253,2.119693197714092,0.1261509591695602,131
254,-6.734315706595822,-0.5730145941038375,130
255,-10.921536928023016,-0.462848942707564,127
256,-4.748029994042002,-0.25680896648138724,131
257,-3.1479520441297333,-0.15767937276071384,134
258,-2.725793828825592,-0.23459917816805717,131
259,-20.82012009357111,-0.6293496348955803,125
260,7.881028693875676,0.5137284151557889,130
261,-6.641873753622783,-0.5151573220702553,131
262,-6.888375012793415,-0.48276518924065637,130
