draw,mean_net_bps,sharpe,n
0,-6.322782331188764,-0.3860323645062439,135
1,-8.092054163134764,-0.42873733735122466,136
2,-1.3298706184907114,-0.07614090997507376,134
3,-1.7227237630376877,-0.09459712423410029,136
4,-19.48973884430278,-0.5578636573185227,135
5,3.934052648778614,0.21995438840681367,133
6,3.962143224700648,0.17324033117468177,132
7,-10.364974358500392,-0.6930414803363625,131
8,-10.515677978141973,-0.3994612744263222,135
9,-1.129174480950283,-0.07187648537584587,135
10,2.6993670846039928,0.1655378183778953,134
11,-5.569286497705206,-0.2659462415654953,132
12,1.8301502364924014,0.09814395053247932,136
13,-2.170907373331489,-0.15181026776792766,133
14,-1.550991529880765,-0.07328941472786497,132
15,-12.21162817642621,-0.5398368929554591,132
16,-7.671715450830436,-0.3208880442022168,133
17,-3.9431940302709205,-0.179153293037377,129
18,0.6432091181981258,0.033422938676713664,132
19,-4.23666885916412,-0.1751593075651443,132
20,-25.126791190948694,-0.996842472991443,134
21,-4.351298034498207,-0.2534145720938888,135
22,-14.561801601324666,-0.681635107383168,134
23,-5.32897960522523,-0.2126243317128101,133
24,-8.066330943261198,-0.4133051751221741,130
25,1.2255876174602407,0.073971192984271,134
26,-7.038987886187603,-0.36674231319839484,133
27,0.502274986185684,0.029470420430855068,133
28,-12.540650399303074,-0.7140634798755365,134
29,1.8520690602303957,0.07162596597170383,136
30,2.4456467751604776,0.10362241428315415,136
31,0.2440451014882193,0.010525601333386408,135
32,-6.755510048661669,-0.21522630716378913,130
33,-13.331735472647564,-0.5396007365129682,129
34,-5.3246933251690205,-0.32795975683858736,134
35,-20.171705590508548,-0.7247565538901917,136
36,-13.140043015934117,-0.6678494151004056,132
37,-3.1074263840055463,-0.10226505323513821,133
38,-7.25299578326345,-0.345708329682889,134
39,0.7705550105758765,0.036101679187578346,134
40,-3.894491696004799,-0.2496408200654247,132
41,-1.4707630972768844,-0.09509833409881947,134
42,-14.934741566811779,-0.41597838810475063,135
43,-6.6129043864876,-0.42954130719584827,134
44,-10.126506445312545,-0.6631289251277122,133
45,-10.251436075032979,-0.6901096452279837,134
46,0.9666076489884138,0.05144271167579387,131
47,5.948076216939841,0.318403355759323,132
48,-11.474795894633719,-0.5552487929069503,134
49,-24.14093267354026,-1.2794528287592037,133
50,-11.181132076144271,-0.5594070597786516,132
51,-8.435483385576157,-0.3167878839447815,133
52,-4.214753806526682,-0.2630154473330124,134
53,3.4476590824062336,0.16132803519539932,130
54,-5.0268433434585695,-0.2627675203214154,134
55,-11.513935417842404,-0.78121440737333,133
56,-4.956262884570893,-0.16596150677596674,133
57,-7.560773957989346,-0.36672486445347907,136
58,-12.962535127060672,-0.5373462410623688,135
59,-5.7374068023203,-0.3237288185801482,133
60,-7.81095637867739,-0.31116373547353043,135
61,-5.474905960292543,-0.348027731620573,134
62,3.055497969086334,0.10815361397145407,134
63,-4.7653814884295596,-0.20000578114232212,134
64,-16.455978441559623,-0.8879625157519607,134
65,5.466591343242302,0.1490920500510448,133
