k,thr,stop,signal,period,one_way_bps,burst_coef,is_current,n_entry_signal_bars,n_entry_signals_discarded,n_total_in_period,n_excluded_gap,n,mean_net_bps,ci_lo,ci_hi,se_cluster,sharpe,sharpe_ci_lo,sharpe_ci_hi,win_rate,max_dd_bps,mean_hold_min,stop_rate,mean_funding_bps,mean_gross_bps,sd_net_bps,n_days,deferred_minutes,trades_with_deferral,mean_cost_bps,sum_pnl_jpy_001btc,mde_bps
15,0.4,0.25,usd,full,1.8991548037846104,1.4608883106035464,False,515562,7045,75223,441,74782,-3.3643205953180364,-3.721122517010124,-3.0112463971250643,0.17961910060450503,-7.494082581477698,-8.601344743884647,-6.4946092478019155,0.28556337086464656,251796.0517525139,11.299430344200475,0.49798079751811936,0.044128266160305955,0.47811727841149054,54.386708190522164,1962,68,50,3.798309607569221,-595115.0696371336,0.5571832765524122
15,0.4,0.25,usd,train,1.8991548037846104,1.4608883106035464,False,515562,7045,65307,345,64962,-3.424972235469336,-3.810266883206998,-3.0470689601788035,0.19961304435933672,-7.784649941053435,-9.051189124843335,-6.693976603000911,0.28327329823589176,222945.15786866142,11.056279055447801,0.5076506265201195,0.04374865305871125,0.4170860251585962,55.61601374975316,1599,68,50,3.798309607569221,-481563.4265160869,0.6113275971662842
15,0.4,0.25,usd,val,1.8991548037846104,1.4608883106035464,False,515562,7045,9916,96,9820,-2.963093319604316,-3.8927725113266165,-2.0432547318963836,0.4690040438499189,-6.176026568052861,-8.557179192276829,-4.0942951082351104,0.3007128309572301,29363.600794409438,12.907942973523422,0.4340122199592668,0.046639511201629326,0.8818557991665341,45.42454288055565,364,0,0,3.798309607569221,-113551.64312104671,1.2842177227111524
15,0.4,0.25,jpy,full,1.8991548037846104,1.4608883106035464,False,520661,7015,75620,430,75190,-3.292746320829782,-3.647887959304007,-2.922253217226458,0.18559155606436412,-7.338540672604725,-8.305006527610502,-6.375671010698136,0.28785742784944807,248051.78898195495,11.377643303630801,0.49497273573613515,0.04420800638382764,0.5497712931232667,54.75131810376131,1962,68,52,3.798309607569221,-589593.3677030324,0.5593947343190735
15,0.4,0.25,jpy,train,1.8991548037846104,1.4608883106035464,False,520661,7015,65607,336,65271,-3.391351007484073,-3.7972679659514634,-2.9908338361937337,0.20433131576833383,-7.685799927280349,-8.783459722551692,-6.642445014999126,0.28537941811830675,221804.68467739812,11.128127345988265,0.5054158814787578,0.04354154218565672,0.4505001422708047,56.028129179263956,1599,67,51,3.798309607569221,-483536.8937934623,0.6143980454605666
15,0.4,0.25,jpy,val,1.8991548037846104,1.4608883106035464,False,520661,7015,10013,94,9919,-2.6438879175016,-3.552699374882859,-1.7308219716617352,0.4641638446917881,-5.706328023696162,-8.146153883151484,-3.707894455374342,0.3041637261820748,26755.51277491939,13.019558423228148,0.4262526464361327,0.04859360822663575,1.2030152982942564,45.46078947578391,364,1,1,3.798309607569221,-106056.47390957022,1.278812479306561
15,0.4,0.5,usd,full,1.8991548037846104,1.4608883106035464,False,515562,7045,61347,493,60854,-3.3269923439893385,-3.783015328711314,-2.847707765315352,0.2426290327862591,-5.801484165886687,-6.892161184730028,-4.800971587507486,0.32798172675584186,202822.45297826905,15.055362014000723,0.21372465244683997,0.05889506030827883,0.5302123238881616,62.34788160729672,1962,48,40,3.798309607569221,-536965.96495741,0.7080777934059836
15,0.4,0.5,usd,train,1.8991548037846104,1.4608883106035464,False,515562,7045,52803,393,52410,-3.378138020797838,-3.9064809824170648,-2.847901988105575,0.2691072822977457,-5.897231281365312,-7.08347419479615,-4.765181692061545,0.32682694142339247,177518.9071096289,14.869967563442092,0.22169433314253006,0.05899637473764549,0.4791679615090284,64.01118240525555,1599,48,40,3.798309607569221,-436316.0475527147,0.7833441545878647
15,0.4,0.5,usd,val,1.8991548037846104,1.4608883106035464,False,515562,7045,8544,100,8444,-3.0095426848783156,-4.012802125745565,-1.9704695942297528,0.525821208414695,-5.634013483318741,-7.7469108636820945,-3.541841858906917,0.33514921837991474,25834.834710712734,16.206063477025108,0.1642586451918522,0.058266224538133585,0.8470331472290394,50.82297684743977,364,0,0,3.798309607569221,-100649.91740469527,1.549493734180565
15,0.4,0.5,jpy,full,1.8991548037846104,1.4608883106035464,False,520661,7015,61701,491,61210,-3.1522429887314876,-3.6760359562909546,-2.671912881814629,0.25059530001762653,-5.426618293680252,-6.496897079060327,-4.466179871251136,0.3304525404345695,195070.2561582654,15.126270217284757,0.2118281326580624,0.05878124489462506,0.7048478637323596,62.79280773360952,1962,47,39,3.798309607569221,-511631.7106607471,0.7110539449877864
