config,label,period,n_kept,n_flagged,n_basis_undefined,n_flagged_at_entry_fill,share_flagged,mean_abs_basis_pct_at_signal,subset,n_total_in_period,n_excluded_gap,n,mean_net_bps,ci_lo,ci_hi,se_cluster,sharpe,sharpe_ci_lo,sharpe_ci_hi,win_rate,max_dd_bps,mean_hold_min,stop_rate,mean_funding_bps,mean_gross_bps,sd_net_bps,n_days,deferred_minutes,trades_with_deferral,mean_cost_bps,sum_pnl_jpy_001btc,mde_bps
iter0_best,15/0.4/0.5@all,full,64495,9489,193,9506,0.1471276843166137,3.2016223461496582,all,65030,535,64495,-3.1745428506210254,-3.6203078431253877,-2.723689779630599,0.23618211079160756,-5.26592221953336,-6.214281971573806,-4.380305049814492,0.329591441196992,206192.72899087935,15.102581595472516,0.2068532444375533,0.05895030622528878,0.6827170631734847,61.629126396759986,2314,167,128,3.798309607569221,-547475.3960989565,0.6798714833044539
iter0_best,15/0.4/0.5@all,full,64495,9489,193,9506,0.1471276843166137,3.2016223461496582,excl_flagged,65030,10024,55006,-3.5132653628774966,-3.9837286850563,-3.0103251661704733,0.24656747559376882,-5.360356592959431,-6.294275163082858,-4.476142153200363,0.32561902337926774,193603.1946863694,14.944387884958005,0.19752390648292914,0.05763007671890339,0.3426743214106283,59.881324858934235,2314,51,40,3.798309607569221,-495730.7973352044,0.7153032619895294
iter0_best,15/0.4/0.5@all,full,64495,9489,193,9506,0.1471276843166137,3.2016223461496582,flagged_only,65030,55541,9489,-1.2110303088168892,-2.482174932340431,0.08473754530232203,0.6582795460344324,-0.7394296701259296,-1.6101951165278263,0.042236920018147335,0.35261882179365583,13918.182809905345,16.01960164400885,0.26093371271999155,0.06660343555696069,2.6538827343092932,70.88893942765105,2257,116,88,3.798309607569221,-51744.598763752016,2.038788113720405
iter0_best,15/0.4/0.5@all,val,12085,1045,40,1050,0.08647083160943318,1.5915867957628695,all,12227,142,12085,-2.2915951576986617,-3.2091352748988236,-1.4044673466230537,0.4589564436824973,-3.5976406780916204,-5.088723749975872,-2.205508853896272,0.3415804716590815,29205.11072332257,16.11137774100124,0.1424906909391808,0.05875051717004551,1.565464967040605,49.994998000586754,716,119,88,3.798309607569221,-111159.34854624167,1.2741104136957526
iter0_best,15/0.4/0.5@all,val,12085,1045,40,1050,0.08647083160943318,1.5915867957628695,excl_flagged,12227,1187,11040,-2.6799213314921073,-3.6005654121655666,-1.7476636806674066,0.4766788961851132,-4.0513792257560715,-5.553100695342022,-2.657289184669359,0.3357789855072464,29999.447038060436,16.068478260869565,0.1483695652173913,0.05960144927536232,1.1779897253524765,50.469100998933264,716,23,18,3.798309607569221,-117718.50831349664,1.3456895175876284
iter0_best,15/0.4/0.5@all,val,12085,1045,40,1050,0.08647083160943318,1.5915867957628695,flagged_only,12227,11182,1045,1.8109129367316112,-1.2294610609185788,4.903342084897375,1.580174053744054,1.3352644637938724,-1.0501981387400843,3.3211356489574246,0.4028708133971292,1236.550878465261,16.564593301435405,0.08038277511961722,0.049760765550239235,5.658983309851071,44.495181929769345,270,96,70,3.798309607569221,6559.159767254966,3.8561922634127312
current,30/0.8/0.5@all,full,24717,4237,45,4229,0.17142047983169478,3.528041371943052,all,25112,395,24717,-4.4371580401451505,-5.458672705631164,-3.358435089304752,0.5369384677821599,-3.1245609356378274,-3.921130881420822,-2.4451981267126595,0.30772342921875634,109834.46541923685,25.007970222923493,0.4317676093377028,0.10397701986487033,-0.03555533907140531,86.5013829663351,2314,45,29,4.297625681208875,-356711.92616212554,1.5414484646676923
current,30/0.8/0.5@all,full,24717,4237,45,4229,0.17142047983169478,3.528041371943052,excl_flagged,25112,4632,20480,-4.515313397570455,-5.566742854953403,-3.424206665122232,0.558045008761604,-3.0477549406787006,-3.826894424893244,-2.296076223140506,0.3064453125,92937.459805203,24.919189453125,0.42001953125,0.1025390625,-0.11514865386157905,84.6131960261564,2302,25,13,4.297625681208875,-281550.7562927879,1.6564447731931589
current,30/0.8/0.5@all,full,24717,4237,45,4229,0.17142047983169478,3.528041371943052,flagged_only,25112,20875,4237,-4.0593856256843965,-7.0053746527815886,-1.1168390933905101,1.489977347752655,-1.0591526433293452,-1.7644171150075243,-0.3392251591983886,0.31390134529147984,17423.464050763043,25.43710172291716,0.4885532216190701,0.11092754307292896,0.3491675985974071,95.11097167317068,2257,20,16,4.297625681208875,-75161.1698693376,4.093598302827785
current,30/0.8/0.5@all,val,3973,313,7,309,0.07878177699471432,1.4654044962448143,all,4076,103,3973,-4.444678373649695,-6.572365816022912,-2.2975865602047727,1.0985500962892647,-2.7556754698007246,-4.30795642128011,-1.3070599508466916,0.32217467908381575,17755.26384123789,28.198842184747043,0.3687389881701485,0.11175434180719859,-0.035298350633620364,74.85235601188236,716,13,12,4.297625681208875,-69360.35301568637,3.3269787683191017
current,30/0.8/0.5@all,val,3973,313,7,309,0.07878177699471432,1.4654044962448143,excl_flagged,4076,416,3660,-4.226137643310925,-6.392097497541201,-1.8163118753063907,1.1795035835179066,-2.532937399867169,-4.018585032058885,-1.1094980767219227,0.32076502732240436,15866.831719236801,28.243715846994537,0.3726775956284153,0.11147540983606558,0.182963447734016,75.54834738236362,704,0,0,4.297625681208875,-58334.85443187981,3.4985514355632494
current,30/0.8/0.5@all,val,3973,313,7,309,0.07878177699471432,1.4654044962448143,flagged_only,4076,3763,313,-7.000138670901761,-14.17530009255379,1.6459858512366452,4.130574389809286,-1.9221459215907157,-4.751113181396298,0.24878006482823328,0.33865814696485624,2812.3487291675474,27.6741214057508,0.3226837060702875,0.11501597444089456,-2.5874970152519907,66.2277011318679,270,13,12,4.297625681208875,-11025.49858380657,10.487484907817965
iter1_best,60/1.2/1.0@1_low,full,137,14,2,13,0.10218978102189781,2.646803400632167,all,140,3,137,25.769924529260475,4.222572715228991,52.71486927142441,12.3658150067962,0.8289051281792869,0.31106377016863557,1.2932046700381405,0.4306569343065693,344.43880090372113,58.043795620437955,0.051094890510948905,0.16058394160583941,30.18925707396628,138.68177068391773,2307,0,0,4.2587486030999715,4590.505025546655,33.194255453017526
iter1_best,60/1.2/1.0@1_low,full,137,14,2,13,0.10218978102189781,2.646803400632167,excl_flagged,140,17,123,28.398822303498292,6.589878022856703,58.625456366171015,13.514988769255108,0.8292416443365428,0.33640456538779756,1.307718355016742,0.43089430894308944,346.92270802106987,58.60162601626016,0.04878048780487805,0.17886178861788618,32.83643269521615,144.86996715232178,2294,0,0,4.2587486030999715,4742.26044888175,36.59566499406546
iter1_best,60/1.2/1.0@1_low,full,137,14,2,13,0.10218978102189781,2.646803400632167,flagged_only,140,126,14,2.6731797984567924,-26.24306776177459,33.28208654479634,15.459657394265786,0.07090464305306514,-0.7730953462694794,0.7859255343295412,0.42857142857142855,115.74791342508442,53.142857142857146,0.07142857142857142,0.0,6.9319284015567675,60.04367491237881,2164,0,0,4.2587486030999715,-151.75542333509483,44.95801050613597
iter1_best,60/1.2/1.0@1_low,val,33,7,0,7,0.21212121212121213,2.952011398840527,all,35,2,33,21.773039777112057,-5.542315524199885,57.67509983358016,16.48389219409588,0.941526536931629,-0.49690211753228214,1.7723733042937793,0.3939393939393939,211.0044564537808,64.45454545454545,0.0,0.18181818181818182,26.213606562030208,95.8626668009638,687,0,0,4.2587486030999715,3600.5060711983288,46.75158873704855
iter1_best,60/1.2/1.0@1_low,val,33,7,0,7,0.21212121212121213,2.952011398840527,excl_flagged,35,9,26,28.025133965117185,-7.044396521686776,74.69768270897382,20.430552689396066,0.9790314925601254,-0.5021903503080588,1.807401757716525,0.4230769230769231,215.97873771494687,69.92307692307692,0.0,0.23076923076923078,32.5146517989864,105.81016311652962,674,0,0,4.2587486030999715,3790.2407865404803,58.13591969489335
iter1_best,60/1.2/1.0@1_low,val,33,7,0,7,0.21212121212121213,2.952011398840527,flagged_only,35,28,7,-1.4490243497641297,-25.90545015501741,29.630647299082217,13.903998809976455,-0.12617715649052175,-2.9370908683801327,1.8993321560683847,0.2857142857142857,115.74791342508442,44.142857142857146,0.0,0.0,2.8097242533358435,39.54513734999797,250,0,0,4.2587486030999715,-189.7347153421516,41.87433331467652
