config,label,year,trades,kept,flagged_abs_basis_ge_5pct,basis_undefined_at_signal,flagged_at_entry_fill
iter0_best,15/0.4/0.5@all,2017,8629,8569,1258,61,1254
iter0_best,15/0.4/0.5@all,2018,12601,12509,3426,24,3427
iter0_best,15/0.4/0.5@all,2019,8101,8051,525,27,538
iter0_best,15/0.4/0.5@all,2020,8625,8551,160,10,154
iter0_best,15/0.4/0.5@all,2021,14847,14730,3075,31,3083
iter0_best,15/0.4/0.5@all,2022,8544,8444,0,25,0
iter0_best,15/0.4/0.5@all,2023,3683,3641,1045,15,1050
current,30/0.8/0.5@all,2017,3935,3881,734,21,736
current,30/0.8/0.5@all,2018,5368,5294,1686,4,1691
current,30/0.8/0.5@all,2019,2857,2822,271,3,287
current,30/0.8/0.5@all,2020,2991,2957,72,2,69
current,30/0.8/0.5@all,2021,5885,5790,1161,8,1137
current,30/0.8/0.5@all,2022,2995,2921,0,5,0
current,30/0.8/0.5@all,2023,1081,1052,313,2,309
iter1_best,60/1.2/1.0@1_low,2017,50,50,0,2,0
iter1_best,60/1.2/1.0@1_low,2018,29,28,5,0,5
iter1_best,60/1.2/1.0@1_low,2019,7,7,0,0,0
iter1_best,60/1.2/1.0@1_low,2020,13,13,0,0,0
iter1_best,60/1.2/1.0@1_low,2021,6,6,2,0,1
iter1_best,60/1.2/1.0@1_low,2022,13,12,0,0,0
iter1_best,60/1.2/1.0@1_low,2023,22,21,7,0,7
