draw,mean_net_bps,sharpe,n
0,-4.284808931618031,-5.267739436418157,24211
1,-4.259773770946358,-4.907436448716672,24175
2,-4.1905104989930235,-5.04910627449368,24186
3,-4.349125183037639,-5.210156021092696,24206
4,-4.639409683120613,-4.860930570387915,24208
5,-4.1875579739053075,-4.606074876297448,24247
6,-4.332665826815926,-4.772122250460604,24159
7,-4.2770335458723565,-5.095621270417801,24205
8,-3.8101963440796744,-4.1889927767153425,24208
9,-4.361538323460141,-4.693958968731671,24190
10,-4.112465873891707,-4.52920892108595,24221
11,-4.609116947599729,-5.040835828707913,24194
12,-4.789307327177777,-5.48409208563838,24212
13,-4.386357885678807,-4.669625679548722,24195
14,-4.3715250399572385,-5.163305293510609,24202
15,-4.299442379332758,-5.071886413388417,24198
16,-4.589060090670326,-4.731978222174881,24183
17,-3.909135751079285,-4.466695873621093,24204
18,-4.175648505368226,-4.8839485704231675,24186
19,-4.293829082689773,-4.7062118900064664,24230
20,-4.276173473210195,-4.914892566588102,24229
21,-5.006177360440699,-5.494898278274628,24230
22,-4.426412494105952,-5.288911050227738,24187
23,-3.8993980105302835,-4.633819632509925,24175
24,-4.780263701146937,-5.712113130982545,24229
25,-4.369860133386855,-4.762436270075818,24199
26,-4.086705018139532,-4.101772981795038,24229
27,-4.38855778924499,-4.724649295174784,24174
28,-4.331763198817568,-5.165209984520219,24204
29,-4.277996584219396,-4.923501824196812,24222
30,-4.7856901026635805,-5.721404327212508,24189
31,-4.46817865662951,-5.0081311051955675,24222
32,-4.204454997758573,-4.7471150262163615,24206
33,-3.4916975917742468,-3.7907593042172247,24212
34,-3.993217957632567,-4.409945355024673,24150
35,-4.348619267728807,-4.67322389601387,24191
36,-4.550844330892476,-5.008459132261302,24213
37,-4.549893363742842,-5.470728134238664,24152
38,-5.027716023529024,-5.473221134138255,24184
39,-4.194270144570388,-4.823290470525296,24180
40,-4.346284639500906,-4.900586177442446,24213
41,-5.2622835954696745,-5.422951491720877,24213
42,-3.781848716715234,-4.231274149113991,24216
43,-3.5121398398034587,-3.970789009143239,24163
44,-4.420630350903611,-4.257231405457402,24226
45,-3.9048144344585833,-4.527841156290769,24190
46,-4.36808594972343,-4.585254687636933,24159
47,-5.0092372274746655,-5.260552397337615,24209
48,-4.349001619929064,-4.856038424207056,24237
49,-4.2296289909897995,-4.658584580880835,24194
50,-4.555789238280139,-4.568140024964236,24173
51,-3.9406503839574762,-4.469967795817706,24228
52,-4.26607578002255,-4.7884224099520205,24199
53,-4.265350118800956,-4.759574756326893,24197
54,-4.646728771852671,-5.449583536603222,24190
55,-4.024479781447329,-4.6123074520301515,24186
56,-4.255094164073963,-4.641569859210899,24230
57,-4.117884921080893,-4.311579710045409,24212
58,-4.508286188053252,-4.687920879210306,24236
59,-4.502147764667535,-4.6678535200883156,24214
60,-4.571960119132001,-4.780939236681976,24206
61,-4.663117386862899,-5.311785012265688,24210
62,-4.585213870188832,-5.257053747913452,24223
63,-4.06937171981095,-4.779530353078322,24212
64,-4.781042281327247,-5.355302659246951,24233
