draw,mean_net_bps,sharpe,n
0,-4.148786530288601,-8.183422701523003,63919
1,-3.8502369259277174,-7.597216447361652,63877
2,-4.187685091748082,-8.585380581430686,63926
3,-3.8864818224156,-7.724223478867948,63868
4,-3.9510659492890374,-7.957185545124083,63876
5,-3.8016587629853427,-7.377786849724888,63896
6,-3.7752950503523244,-7.5547528108274165,63862
7,-4.239815348365319,-9.053171616163722,63863
8,-3.7177692344231,-7.463331669295428,63872
9,-3.749556153261509,-8.020139102365977,63858
10,-4.156601817628056,-7.922569506348292,63854
11,-4.109873454882341,-8.367095215463145,63853
12,-3.897987578712891,-7.660891222300791,63898
13,-3.57510983949242,-7.5693444076208705,63895
14,-3.7018044266770707,-7.442984166217053,63895
15,-4.17205555940409,-8.076207500079438,63872
16,-4.118624969104148,-8.63418876032439,63857
17,-3.7864959373588274,-7.991685537944483,63855
18,-3.7216979811787696,-7.057180420063108,63864
19,-3.9262524506217393,-7.287993310989296,63906
20,-3.857413459566752,-7.665549009990591,63880
21,-3.879684242890436,-6.974339675949802,63833
22,-3.9379276831669054,-8.40607225921142,63886
23,-3.9149599350070536,-7.082127590397627,63844
24,-3.8681285407483257,-7.729984721676392,63896
25,-3.638526158053153,-7.100520391826391,63890
26,-4.042592566777998,-7.96704728256406,63871
27,-3.7220817497416965,-7.505547170494182,63905
28,-3.7341820051451045,-7.6084007925950425,63901
29,-3.9694597144657267,-7.584750924948145,63880
30,-3.9837599591300537,-7.620305678393466,63847
31,-3.8683855991798812,-7.624142789587121,63898
32,-4.135844891121985,-8.43160115397939,63890
33,-3.6911350947506496,-7.71027998976143,63877
34,-3.891059568663219,-8.08577223551027,63890
35,-4.0040258503465305,-7.8997717240926315,63873
36,-3.9567850854285953,-8.243111700252227,63898
37,-4.050798071279672,-7.4930305232554435,63901
38,-3.7615282844290405,-7.4197185814917415,63876
39,-4.05830387728462,-7.838606038145661,63902
40,-3.662232795608661,-7.2496625061843005,63922
41,-3.9661316563550386,-7.927394513105559,63834
42,-3.9666044141752557,-8.082694635295812,63855
43,-3.8113983882917393,-7.213404228129088,63902
44,-3.9138663267356475,-7.359260782430939,63872
45,-4.056947408241252,-7.824877695506117,63842
46,-3.8501994762679312,-7.649852370555037,63869
47,-3.930116687986546,-7.437301532227022,63860
48,-3.8683262577049082,-7.590394316465965,63873
49,-3.818774005747075,-7.507244350613765,63872
50,-3.5258502176112647,-6.934416180966754,63922
51,-4.059648114539993,-7.863818058581393,63832
52,-3.772603545870222,-7.816359774114855,63907
53,-3.9618859612485,-8.082043932999882,63896
54,-3.7673083651601345,-7.139172924699791,63918
55,-3.8229417961169325,-7.8388762827545895,63881
56,-3.562774882222017,-7.267288732909521,63853
57,-3.7163250973722968,-7.661974253905083,63866
58,-3.854677408426124,-7.569472021610907,63926
59,-3.8010316152482027,-7.868756263302208,63892
60,-3.6407771483989233,-7.502464296606449,63875
61,-3.703398461184314,-7.253498804070268,63870
62,-4.005985734236411,-8.26127598833991,63860
63,-3.9177622854740535,-7.946073428938782,63893
64,-4.12064064265052,-8.81509731152372,63883
65,-3.5388681764127754,-6.78940669837906,63888
66,-3.8946223779796445,-7.719102776344012,63877
67,-3.7376092465757718,-7.334758427655933,63906
68,-4.043015719276453,-8.063050416558537,63858
69,-3.969699042619942,-7.911927751340915,63899
70,-3.459018870960278,-6.9952933075204635,63852
71,-3.9066247697136967,-7.796032241852149,63915
72,-4.316374968218663,-8.369257560770407,63867
73,-3.9478731900641986,-7.693901147999194,63908
74,-3.8785452009895542,-7.64460297292705,63869
75,-3.6400930239246936,-7.542685277949749,63854
76,-3.885328403282137,-7.779732611301091,63894
77,-3.730384025127183,-7.900354074516126,63866
78,-3.6882808920929766,-7.239349005231846,63869
79,-3.9424689181467754,-7.1530887762316,63911
80,-3.4831497854233056,-7.051742259153434,63895
81,-3.8726306682452822,-7.452431506837466,63875
82,-4.00618913166353,-8.312501021295875,63834
83,-4.049818574690949,-8.093914332681337,63863
84,-3.996557152685344,-8.523121164617487,63849
85,-4.002322246680789,-7.945180378252969,63891
86,-3.8448920406349947,-7.363956892560215,63864
87,-3.6658278652738114,-7.550804239904481,63877
88,-3.8038174539273433,-7.286648876638445,63885
89,-3.4756085534242898,-6.636553152389308,63903
90,-4.2027202023154695,-8.862755378825785,63855
91,-3.6630034189904297,-7.502858575855436,63878
92,-3.638759121270723,-7.003591794050163,63885
93,-3.6412851524763754,-7.747129218840152,63851
94,-3.905783565901909,-7.802392327565234,63815
