draw,mean_net_bps,sharpe,n
0,-4.573511272860966,-4.783880447113306,24381
1,-4.3274469907078466,-4.142883795679958,24361
2,-5.2589056768769336,-5.2627872052277285,24344
3,-4.350694387996245,-4.060418001772125,24351
4,-4.627359156456255,-4.564664311890616,24380
5,-3.8124728098503984,-3.515685319005456,24375
6,-4.352124885773741,-3.8183197362183203,24358
7,-4.208483186371418,-3.8334563918379603,24368
8,-4.696548054106151,-4.836723137145746,24384
9,-4.208327039028042,-4.0046755001464485,24376
10,-4.350690008563372,-4.526452349691393,24368
11,-3.794714854652284,-3.65106212562643,24374
12,-4.361600946429944,-4.305318120517883,24377
13,-4.636493257311499,-4.573291622629337,24378
14,-3.885407728410762,-3.8037677174605795,24384
15,-4.775192812662721,-4.520036446997233,24376
16,-3.4308777380693054,-3.315887444232135,24385
17,-4.374741976123164,-4.179545475071515,24385
18,-4.49690964308728,-4.349129227301044,24358
19,-4.243605786477626,-3.764731274529112,24367
20,-4.114514707204953,-3.7610831841068393,24345
21,-4.552972088403195,-4.680437690766553,24339
22,-3.8116143547995835,-3.4937741307258308,24363
23,-4.086630446668282,-3.951142144579212,24375
24,-4.667878004475545,-4.296179762221906,24355
25,-4.366115849061161,-4.331384265025732,24345
26,-5.287102996987385,-4.77241457736361,24379
27,-4.428824960689256,-4.444375972656976,24354
28,-4.745159043501795,-4.728152674724016,24370
29,-5.120204210450773,-5.0923518289429905,24365
30,-4.299265383120937,-4.117211345132797,24380
31,-4.452772688799711,-4.280075953362378,24400
32,-4.208648805427366,-4.001125663893063,24368
33,-3.585589150278532,-3.4897821211065017,24359
34,-5.301845274564217,-4.950945076085793,24387
35,-3.9510048023703885,-3.8979253207901343,24362
36,-4.232349618450445,-4.081963345523734,24369
37,-3.825554805058587,-3.6013561277689377,24333
38,-4.42140424074952,-4.0198838916767015,24333
39,-4.251574545897607,-4.051884536219093,24394
40,-3.733107442792238,-3.6765056498860895,24385
41,-4.264975854271161,-3.9202844646831547,24353
42,-4.716666493398858,-4.646381898137334,24354
43,-4.376242468463406,-4.421084941001207,24391
44,-4.9665350259210514,-4.88706026185138,24378
45,-4.642138620606079,-4.43748220408874,24360
46,-4.171011436848047,-4.108079252866061,24393
47,-4.287111128759695,-4.168213054893618,24361
48,-3.9555501685237315,-3.641407555573813,24375
49,-3.7172075361448402,-3.136703228981696,24348
50,-4.367691894078966,-4.284813331981668,24391
51,-4.490028622794976,-3.9934736800942017,24382
52,-3.7173076605935536,-3.5025954189738715,24388
53,-4.152423844882872,-4.098127362052371,24395
54,-5.449518341302969,-5.119629982868057,24364
55,-4.225126772866818,-3.9271338585531024,24367
56,-5.50898272335886,-5.0292960636823425,24371
57,-5.0624683953228535,-4.777052334721621,24373
58,-4.361170405423918,-3.9843678553195327,24393
59,-4.077172103772643,-3.7712327743060112,24351
60,-4.462414758706609,-4.3837214223409635,24382
61,-4.983027821222007,-4.496956476823932,24370
62,-4.038142746241746,-3.84232031790569,24351
63,-4.648553941254532,-4.533630399562294,24327
64,-4.0226591666055755,-3.6380540586429637,24373
65,-4.148034160000772,-3.8224960962593517,24360
66,-4.086298722788489,-4.269548792302878,24351
67,-4.973324223346762,-4.054517190823081,24386
68,-4.672819344106784,-4.1653309525091,24338
69,-4.378195088888952,-3.9318849991060385,24362
70,-4.021974494977692,-4.242523534876094,24349
71,-4.616573467197348,-4.472394872939497,24368
72,-3.7956624711910276,-3.7810900170473656,24380
73,-5.158370891083603,-4.853444490279506,24366
74,-4.973140359124271,-4.308636462351205,24382
75,-4.506471171851516,-4.076466303045189,24371
76,-4.970792759392745,-4.669312845746701,24352
77,-4.394133136762982,-4.0832564374349545,24358
78,-4.343593415599649,-3.730363855453443,24378
79,-4.598329882130126,-4.701281778932211,24358
80,-4.368072732720033,-4.198789405494455,24386
81,-4.59031780551945,-4.2339227979769145,24353
82,-4.749192607080456,-4.818038029630988,24370
83,-4.937004282012161,-4.842727985608748,24357
84,-4.302900258421061,-4.00667860578599,24378
85,-3.787166261645996,-3.4005686521835634,24360
86,-5.693832889154835,-5.524475642788164,24380
87,-4.656489570392709,-4.2191400991227495,24383
88,-4.394866986356198,-3.965213286476817,24341
89,-4.081410023432502,-3.7216163318564823,24387
90,-3.994445319053089,-3.6043098043560247,24362
91,-4.514359006417416,-4.4057027464941125,24367
92,-4.0020520498950445,-3.7666718466829234,24370
93,-5.109170701381563,-4.617936142593135,24392
94,-3.9398982358736743,-4.075245596610012,24373
