draw,mean_net_bps,sharpe,n
0,-3.1990713010695373,-2.187432939647255,24717
1,-4.1986110977011135,-3.0792591097056103,24717
2,-4.895379492481642,-3.416101647717895,24717
3,-4.678269344625346,-3.314749151013055,24717
4,-4.163739180814007,-2.73203470374828,24717
5,-4.422070055504576,-3.2347395321462207,24717
6,-4.821159204029944,-3.4401117328096578,24717
7,-4.707690823612916,-3.32832108483758,24717
8,-3.976928171820429,-2.7724219631040135,24717
9,-4.818514729280772,-3.4572243853745483,24717
10,-5.358940210776881,-3.768939241051319,24717
11,-5.104727081449037,-3.6970157822694323,24717
12,-4.805125964503871,-3.4609633794465893,24717
13,-3.791810276478489,-2.7211129065526425,24717
14,-3.394411458272396,-2.4767451138497334,24717
15,-4.927248769873469,-3.624675518427212,24717
16,-5.787958692860381,-4.018286863722769,24717
17,-4.399050224506112,-3.1009244776004126,24717
18,-4.140812988515945,-2.8785677475014677,24717
19,-5.308631917800166,-3.6103626476591377,24717
20,-3.7318229351968077,-2.5497197709262034,24717
21,-4.734212682173505,-3.2456830947642206,24717
22,-4.859866739719322,-3.193403571612868,24717
23,-4.091090684457662,-2.848374214377727,24717
24,-3.670041302006371,-2.6112466116134496,24717
25,-4.086633830014788,-3.0786327507272473,24717
26,-4.315463603816575,-3.1510413675588205,24717
27,-4.366991925952788,-3.173495053399998,24717
28,-4.685364557028102,-3.208652226481106,24717
29,-4.694944289053843,-3.335926485570429,24717
30,-4.566261621002099,-3.0903611794523274,24717
31,-4.329542696175147,-2.959453010017095,24717
32,-3.1832277018165707,-2.3485153953160642,24717
33,-4.880673234859138,-3.4997570122102557,24717
34,-4.249694879775932,-3.017119827225162,24717
35,-4.087196637357788,-2.9292692999488996,24717
36,-4.6361638817827755,-3.1051418944143507,24717
37,-3.741067590588428,-2.6255726020893646,24717
38,-3.9544784041071024,-2.83576228798136,24717
39,-4.03475739242776,-2.8752354419292416,24717
40,-4.549229738146608,-3.2499328268240584,24717
41,-4.08428811367614,-3.0258376487149503,24717
42,-4.32337771076303,-3.1386080529055107,24717
43,-3.9014917641323112,-2.707340861013911,24717
44,-4.6098491372561785,-3.208832803123139,24717
45,-5.043682907586604,-3.471103048322019,24717
46,-3.8207297176044404,-2.6129714563219713,24717
47,-4.149214564225497,-3.1089822813699133,24717
48,-3.79360918820666,-2.5692389630806196,24717
49,-5.039696790875765,-3.519369359581301,24717
50,-5.510452730003693,-3.940134348961191,24717
51,-5.101359747426556,-3.634505844809355,24717
52,-3.857550062202016,-2.766217529015313,24717
53,-4.25194492915434,-2.8282679515234204,24717
54,-4.63345839048891,-3.2774183597186366,24717
55,-4.396741057664311,-3.243112817900225,24717
56,-4.386161976345509,-3.0983192287567576,24717
57,-3.9317941001365853,-2.8785384485999774,24717
58,-3.793931938660703,-2.819092327489969,24717
59,-4.4575336570507815,-2.9900350925303623,24717
60,-3.6725737011019786,-2.5459149276462982,24717
61,-4.641133670886808,-3.2866887488758887,24717
62,-3.908705181153312,-2.76623960966334,24717
63,-3.8771979852552594,-2.8796754186250513,24717
64,-4.396511669149876,-3.1313198989213276,24717
65,-4.363355740595061,-3.0574421774655653,24717
66,-4.5044154577439,-3.14008798953664,24717
67,-3.7966078124841482,-2.832609062069648,24717
68,-4.447969575114479,-3.1586203226841594,24717
69,-4.823694543943217,-3.3591023915148024,24717
70,-4.1740777187825024,-2.782112425525317,24717
