config,label,shift_min,period,n_total_in_period,n_excluded_gap,n,mean_net_bps,ci_lo,ci_hi,se_cluster,sharpe,sharpe_ci_lo,sharpe_ci_hi,win_rate,max_dd_bps,mean_hold_min,stop_rate,mean_funding_bps,mean_gross_bps,sd_net_bps,n_days,deferred_minutes,trades_with_deferral,mean_cost_bps,sum_pnl_jpy_001btc
best,15/0.4/0.5,0,full,65030,535,64495,-3.1745428506210254,-3.635524401791349,-2.7229943509795715,0.23365731306903956,-5.26592221953336,-6.217417813071438,-4.314952031479962,0.329591441196992,206192.72899087935,15.102581595472516,0.2068532444375533,0.05895030622528878,0.6827170631734847,61.629126396759986,2314,167,128,3.798309607569221,-547475.3960989565
best,15/0.4/0.5,0,val,12227,142,12085,-2.2915951576986617,-3.094203836944762,-1.3392364207038976,0.44665059872034973,-3.5976406780916204,-5.0934963080686515,-2.157716695583059,0.3415804716590815,29205.11072332257,16.11137774100124,0.1424906909391808,0.05875051717004551,1.565464967040605,49.994998000586754,716,119,88,3.798309607569221,-111159.34854624167
best,15/0.4/0.5,-2,full,61795,541,61254,16.804680853103918,16.13623462172921,17.493604791235228,0.34861116683670734,16.037014011577277,15.236184979540283,16.864788969165154,0.5896594508113756,5352.848337007069,16.136921670421522,0.13050576288895419,0.06415907532569301,20.66714953599883,66.96670703321854,2314,163,131,3.798309607569221,2788495.98574143
best,15/0.4/0.5,-2,val,11761,146,11615,19.57435700829082,18.518178285233365,20.673800953552725,0.558614098085999,15.645924179809272,14.422776227753427,17.13969110583233,0.6515712440809298,694.1990191547084,16.96874730951356,0.0782608695652174,0.06422729229444683,23.436893908154488,54.89773146495719,716,112,90,3.798309607569221,854769.9199047422
best,15/0.4/0.5,-1,full,62447,543,61904,10.236375996081113,9.62217731067493,10.823350950338238,0.3065238028255896,12.053333905269048,11.382234172160748,12.828192337898175,0.4961714913414319,14472.605661629128,15.917501292323598,0.14537025071077797,0.06277461876453864,14.097460222414872,65.09564861932344,2314,155,115,3.798309607569221,1731486.1232571015
best,15/0.4/0.5,-1,val,11842,146,11696,12.837253111231737,11.81059101265047,13.82993485593172,0.5208454030873906,13.130853402479339,12.02450954383469,14.57399608041517,0.5466826265389877,1050.0821300043172,16.818826949384405,0.08729480164158687,0.06275649794801641,16.698319216748974,53.640312826593096,716,105,76,3.798309607569221,561111.8995728538
best,15/0.4/0.5,1,full,65635,529,65106,-3.883219435029648,-4.311187763304787,-3.4492406781692346,0.21844047609298925,-6.682272212692035,-7.6139203200868915,-5.7950274436181095,0.33614413418118144,252934.81603320088,14.931296654686204,0.22027155715295058,0.05848923294320032,-0.026420594517226635,60.29943071626594,2314,163,128,3.798309607569221,-669547.4790077627
best,15/0.4/0.5,1,val,12367,141,12226,-3.4726510822848926,-4.271109642811702,-2.626352631623499,0.4244891553987831,-5.557163943809557,-6.936397127073679,-4.238191782904086,0.3471290691967937,42549.49708712383,15.873875347619826,0.15786029772615737,0.058890888270898084,0.38454941355522687,48.394635402982665,716,107,87,3.798309607569221,-168160.950533528
best,15/0.4/0.5,2,full,66326,524,65802,-3.91704544349837,-4.308564735221569,-3.487960964592836,0.21263330826232976,-6.896455418894365,-7.85379898489734,-5.961465739404698,0.3458709461718489,257801.7428179997,14.772590498769034,0.22619373271329138,0.05814412935777028,-0.06059170657137792,59.306586899598535,2314,199,157,3.798309607569221,-697040.8547392316
best,15/0.4/0.5,2,val,12493,143,12350,-3.7411162496738557,-4.490488421351963,-2.9389877828909095,0.3936100216737155,-6.271958759048602,-7.6083709019023384,-5.040948392861669,0.35384615384615387,46241.42934561184,15.725506072874493,0.16477732793522268,0.05846153846153846,0.11565489635690428,47.09380668510082,716,156,126,3.798309607569221,-178287.38016211143
current,30/0.8/0.5,0,full,25112,395,24717,-4.4371580401451505,-5.469197800725107,-3.3879436550921374,0.5334493292257757,-3.1245609356378274,-3.906101424207069,-2.4612342249371206,0.30772342921875634,109834.46541923685,25.007970222923493,0.4317676093377028,0.10397701986487033,-0.03555533907140531,86.5013829663351,2314,45,29,4.297625681208875,-356711.92616212554
current,30/0.8/0.5,0,val,4076,103,3973,-4.444678373649695,-6.578182593886544,-2.318961359667815,1.0988202325354985,-2.7556754698007246,-4.291553833328099,-1.238486076130178,0.32217467908381575,17755.26384123789,28.198842184747043,0.3687389881701485,0.11175434180719859,-0.035298350633620364,74.85235601188236,716,13,12,4.297625681208875,-69360.35301568637
current,30/0.8/0.5,-2,full,22655,417,22238,22.916770441285543,21.606966487624366,24.244433975158465,0.6961534437469267,11.693010405971583,11.113406596923614,12.29788341973736,0.5113319543124382,4006.535699878531,29.31608058278622,0.2572623437359475,0.12285277453008364,27.337248897024505,98.3501314940716,2314,36,23,4.297625681208875,1261676.072498509
current,30/0.8/0.5,-2,val,3702,106,3596,28.633162188549722,25.611002820342886,31.70295250725899,1.537605580500954,10.287024017220277,9.33273419343768,11.55107350210301,0.5962180200222469,764.5187877223798,33.07369299221357,0.1668520578420467,0.13459399332591768,33.06538186308451,86.03506899042662,716,20,14,4.297625681208875,385499.1937095255
current,30/0.8/0.5,-1,full,23132,423,22709,13.785837463254305,12.581063346540759,15.050318647889899,0.6311639457684141,8.452441933873112,7.8732357067144925,9.103029819268032,0.43881280549561846,7862.866188672488,28.344577039940113,0.29952882117222246,0.11792681315777885,18.201389957620957,95.13806100964489,2314,51,37,4.297625681208875,752902.593302926
current,30/0.8/0.5,-1,val,3749,108,3641,18.98720781775786,16.097972109556384,21.937494111374445,1.459293218589031,8.110796012241941,7.185073633133603,9.174575056489395,0.5108486679483658,703.1779263593999,32.293326009338095,0.20790991485855534,0.13293051359516617,23.4177640125619,83.89263496149985,716,22,19,4.297625681208875,256716.68622396493
current,30/0.8/0.5,1,full,25434,393,25041,-5.422677846311406,-6.3193592312092495,-4.482455525276691,0.46406033207243924,-4.282541511727383,-5.060139463088957,-3.5856156482804113,0.30773531408490074,136191.1420625788,24.647777644662753,0.43720298710115413,0.10319076714188731,-1.0218613979606421,84.25115576389854,2314,41,25,4.297625681208875,-402856.32496277435
current,30/0.8/0.5,1,val,4162,95,4067,-5.318822092681204,-7.4220766606717445,-3.1592429976106517,1.0678925069788683,-3.375102300008197,-4.926122651409813,-1.9021134705701623,0.3203835751167937,21684.890175348348,27.560363904597985,0.3813621834275879,0.11212195721662159,-0.9090744542557055,72.9683989776381,716,12,11,4.297625681208875,-83988.68794372067
current,30/0.8/0.5,2,full,25768,397,25371,-5.543020762448545,-6.456900618907579,-4.5865051220228965,0.47474818645071337,-4.231977019428738,-5.009364957831376,-3.532360084980735,0.31626660360253833,140867.5440644239,24.519766662725157,0.43198927909818297,0.1031098498285444,-1.142285231411125,82.9678390558209,2314,56,31,4.297625681208875,-402332.3782902918
current,30/0.8/0.5,2,val,4181,96,4085,-5.690455241149141,-7.946906513237767,-3.53057276253182,1.1278592058225747,-3.6134159340194762,-5.380525075772297,-2.1139866046085944,0.3270501835985312,23286.019405133007,27.63108935128519,0.3760097919216646,0.11407588739290085,-1.2787536725473638,71.3637726339844,716,15,11,4.297625681208875,-90699.80404953597
