period,n,mean,ci_lo,ci_hi
2017-W33,214,3.8543843739243613,3.817001196354268,3.8824217571019317
2017-W34,629,3.833285760192432,3.817387509000063,3.849184011384801
2017-W35,551,3.8563858326145923,3.8382370122879137,3.8745346529412714
2017-W36,503,3.8539756115453643,3.834094895839599,3.8738563272511297
2017-W37,644,3.844893458500898,3.829365508190339,3.8635269988735685
2017-W38,599,3.841715283696099,3.825020792878069,3.858409774514129
2017-W39,603,3.844744101764909,3.8281603538378772,3.861327849691941
2017-W40,441,3.834590786707543,3.816450197138382,3.8572665236689945
2017-W41,422,3.855181645483913,3.831484963019458,3.878878327948368
2017-W42,416,3.8800403767999914,3.8560019152615297,3.9040788383384526
2017-W43,434,3.8536091467397284,3.8305676720853503,3.8766506213941065
2017-W44,380,3.856204344411327,3.835151712832379,3.8772569759902735
2017-W45,486,3.851807549956053,3.8312314182688096,3.8723836816432953
2017-W46,457,3.863955121792416,3.8420732837180176,3.8858369598668143
2017-W47,312,3.856001915261529,3.830360889620503,3.8880531973128107
2017-W48,501,3.8661738790263067,3.8422217832179237,3.89012597483469
2017-W49,16,3.798309607569221,,
2017-W51,467,3.853984125770507,3.8325708495392425,3.87539740200177
2017-W52,493,3.859161534546909,3.83887755888768,3.879445510206138
2018-W01,384,3.8868512742358887,3.8608096075692218,3.9076846075692218
2018-W02,418,3.8748646314926662,3.855725875511805,3.894003387473528
2018-W03,503,3.857951754686517,3.8380710389807517,3.8778324703922826
2018-W04,416,3.8800403767999914,3.8560019152615297,3.9040788383384526
2018-W05,509,3.8651072500053707,3.8454608845829736,3.884753615427767
2018-W06,429,3.8589156681752814,3.8356056448652587,3.8775636868233008
2018-W07,419,3.8699086529152837,3.8460423044665957,3.8937750013639705
2018-W08,480,3.8524762742358885,3.8316429409025554,3.873309607569222
2018-W09,342,3.8567891397329634,3.833397326867466,3.8860289058148347
2018-W10,410,3.861724241715563,3.8373339978131242,3.886114485618002
2018-W11,467,3.8539841257705065,3.8325708495392425,3.87539740200177
2018-W12,402,3.862986224484644,3.8381106025940968,3.8878618463751913
2018-W13,439,3.852979311441658,3.8302002681614766,3.8757583547218406
2018-W14,300,3.8649762742358873,3.8383096075692205,3.8983096075692205
2018-W15,245,3.8472891994059557,3.814636138181466,3.888105525936568
2018-W16,182,3.8422656515252642,3.8092986185582314,3.875232684492297
2018-W17,277,3.863291557027704,3.8344106906017115,3.892172423453697
2018-W18,212,3.873781305682429,3.8266114943616736,3.9209511170031837
2018-W19,287,3.867996018719046,3.8331528131441335,3.902839224293959
2018-W20,238,3.857133136980986,3.8235196916028342,3.8907465823591374
2018-W21,217,3.8536091467397284,3.8167427872927235,3.890475506186733
2018-W22,121,3.880954235668395,3.831367458808891,3.9305410125278994
2018-W23,104,3.932924992184607,3.8560019152615292,3.991098069107681
2018-W24,196,3.869738178997793,3.8289218524671798,3.9105545055284052
2018-W25,166,3.846502378653558,3.8103578003403045,3.8946951497378954
2018-W26,137,3.856703768153162,3.7983096075692204,3.929696468883089
2018-W27,97,3.839546720971283,3.798309607569221,3.9014023910743765
2018-W28,69,3.7983096075692204,3.7983096075692204,3.7983096075692204
2018-W29,147,3.8119150497460907,3.79830960756922,3.8391259340998323
2018-W30,179,3.8988682667870984,3.8430023449993884,3.965907372932349
2018-W31,180,3.8649762742358873,3.8313651631247763,3.8983096075692214
2018-W32,252,3.8538651631247762,3.8221191313787446,3.8856111948708083
2018-W33,283,3.8477795722335317,3.8124438831875955,3.883115261279468
2018-W34,126,3.845928655188268,3.8141826234422362,3.8776746869343004
2018-W35,99,3.8791176883773013,3.8185116277712408,3.9397237489833623
2018-W36,123,3.8633502579757253,3.814569770170847,3.9283909083822293
2018-W37,95,3.8614675023060614,3.8193622391481665,3.9035727654639567
2018-W38,89,3.8207815176815805,3.798309607569221,3.8657253379062997
2018-W39,103,3.875979510481841,3.817727083297375,3.9536494133944626
2018-W40,44,3.8437641530237667,3.7983096075692213,3.8892186984783126
2018-W41,44,3.889218698478312,3.7983096075692213,3.9801277893874025
2018-W42,60,3.8649762742358873,3.798309607569221,3.9316429409025546
2018-W43,10,3.9983096075692215,,
2018-W44,11,3.7983096075692213,,
2018-W45,11,3.7983096075692213,,
2018-W46,137,3.827506687861191,3.7983096075692204,3.8713023082991476
2018-W47,413,3.8612636027266065,3.837050527666073,3.885476677787139
2018-W48,411,3.866436128250487,3.8421052280071777,3.8907670284937956
2018-W49,367,3.8419063378144527,3.820107972691837,3.8637047029370684
2018-W50,196,3.8493300157324866,3.818717770834527,3.8901463422630984
2018-W51,339,3.8455072476872147,3.8219084276282174,3.869106067746212
2018-W52,310,3.837019284988575,3.811212833375672,3.8628257366014793
2019-W01,112,3.8518810361406506,3.7983096075692218,3.9054524647120794
2019-W02,101,3.79830960756922,3.79830960756922,3.79830960756922
2019-W03,56,3.8697381789977925,3.7983096075692204,4.012595321854935
2019-W04,45,3.88719849645811,3.7983096075692213,3.976087385346999
2019-W05,47,3.7983096075692213,3.7983096075692213,3.7983096075692213
2019-W06,35,3.798309607569221,3.798309607569221,3.798309607569221
2019-W07,32,3.798309607569221,3.798309607569221,3.798309607569221
2019-W08,132,3.813461122720735,3.7983096075692204,3.8437641530237654
2019-W09,61,3.798309607569221,3.798309607569221,3.798309607569221
2019-W10,62,3.798309607569221,3.798309607569221,3.798309607569221
2019-W11,36,3.798309607569221,3.798309607569221,3.798309607569221
2019-W12,25,3.878309607569221,3.798309607569221,3.958309607569221
2019-W13,23,3.885266129308352,3.7983096075692213,3.9722226510474825
2019-W14,215,3.863425886638988,3.826216584313407,3.8915654215227082
2019-W15,158,3.874258974657828,3.8362842911135235,3.9248918860502333
2019-W16,70,3.855452464712076,3.79830960756922,3.9125953218549334
2019-W17,113,3.8514069527019648,3.7983096075692213,3.922203412878956
2019-W18,117,3.832497641757255,3.7983096075692204,3.8666856759452894
2019-W19,225,3.8960873853469993,3.8605318297914444,3.9316429409025546
2019-W20,397,3.8738763581989435,3.8486874413223697,3.8990652750755186
2019-W21,274,3.8859008484451327,3.856703768153162,3.9150979287371044
2019-W22,229,3.8419777298399636,3.8070432320233696,3.8769122276565575
2019-W23,242,3.839631921618808,3.806574070379139,3.872689772858478
2019-W24,180,3.8538651631247767,3.8094207186803315,3.8983096075692214
2019-W25,270,3.842754052013665,3.8131244223840355,3.8797910890507024
2019-W26,436,3.8808784149086715,3.8625297910554597,3.8992270387618824
2019-W27,393,3.8492001928109514,3.823754900190086,3.8797345439559896
2019-W28,362,3.859083088232205,3.836983640718392,3.8811825357460172
2019-W29,426,3.8593424714189872,3.8358682930152312,3.8782391850340097
2019-W30,219,3.880501388391139,3.843971708025842,3.9170310687564363
2019-W31,146,3.8668027582541518,3.825706867843193,3.9078986486651117
2019-W32,247,3.838795437528735,3.8064067735611236,3.8711841014963464
2019-W33,216,3.8631244223840366,3.8260873853469994,3.9001614594210734
2019-W34,176,3.855127789387403,3.8096732439328576,3.9119459712055855
2019-W35,110,3.8528550621146747,3.79830960756922,3.9074005166601298
2019-W36,111,3.9064177156773283,3.8343456436052556,3.9784897877494005
2019-W37,86,3.844821235476196,3.798309607569219,3.9145886773366616
2019-W38,39,3.798309607569221,3.798309607569221,3.798309607569221
2019-W39,234,3.8410446503042643,3.8154036246632383,3.8752326844922984
2019-W40,155,3.837019284988575,3.811212833375672,3.87572896240793
2019-W41,111,3.8703816796412918,3.816327625587238,3.9244357336953466
2019-W42,58,3.8327923661899104,3.7983096075692204,3.90175788343129
2019-W43,188,3.8515010969309236,3.8195862033139014,3.883415990547945
2019-W44,169,3.8219782466224754,3.798309607569221,3.857481205202357
2019-W45,70,3.8268810361406476,3.79830960756922,3.884023893283505
2019-W46,53,3.8737813056824284,3.798309607569221,3.911517154739032
2019-W47,157,3.8620038750851435,3.8237873145755894,3.9002204355946986
2019-W48,242,3.8478963844287257,3.814838533189056,3.8809542356683955
2019-W49,135,3.8427540520136634,3.79830960756922,3.887198496458108
2019-W50,58,3.8672751248106,3.7983096075692204,3.9017578834312903
2019-W51,109,3.8900527268352754,3.853355479128853,3.926749974541697
2019-W52,91,3.8422656515252642,3.7983096075692204,3.9081997174593304
2020-W01,65,3.829078838338451,3.7983096075692204,3.890617299876913
2020-W02,198,3.8488146580742715,3.808410617670231,3.889218698478312
2020-W03,192,3.850392940902555,3.8188825242358884,3.8920596075692218
2020-W04,88,3.821036880296494,3.7983096075692213,3.866491425751039
2020-W05,129,3.7983096075692204,3.7983096075692204,3.7983096075692204
2020-W06,92,3.820048738004003,3.79830960756922,3.8635269988735677
2020-W07,128,3.8295596075692218,3.7983096075692218,3.8764346075692213
2020-W08,133,3.8885351714789937,3.843422389524107,3.933647953433882
2020-W09,238,3.84032641429191,3.8067129689137587,3.873939859670062
2020-W10,94,3.840862799058581,3.7983096075692195,3.8834159905479435
2020-W11,468,3.853865163124777,3.8324976417572563,3.875232684492299
2020-W12,520,3.8521557614153754,3.8329249921846062,3.871386530646145
2020-W13,321,3.860614903519377,3.8356927851393148,3.8917675514944547
2020-W14,289,3.867513759818356,3.839832098918702,3.89519542071801
2020-W15,206,3.866270772617765,3.8274358211614534,3.9148144619381533
2020-W16,175,3.8325953218549342,3.79830960756922,3.8668810361406485
2020-W17,128,3.8295596075692218,3.7983096075692218,3.8920596075692218
2020-W18,201,3.877911597618973,3.8381106025940968,3.917712592643848
2020-W19,279,3.8699941953828394,3.8413203602573915,3.8986680305082886
2020-W20,287,3.8749646598340286,3.8470900953740985,3.902839224293959
2020-W21,172,3.891332863383174,3.8448212354761973,3.9378444912901513
2020-W22,113,3.816008722613469,3.7983096075692213,3.8514069527019648
2020-W23,100,3.87830960756922,3.8183096075692204,3.95830960756922
2020-W24,62,3.8628257366014784,3.798309607569221,3.9273418656337373
2020-W25,67,3.8580111001065336,3.7983096075692204,3.9475633389125035
2020-W26,65,3.829078838338451,3.7983096075692204,3.890617299876913
2020-W27,24,3.9649762742358874,3.881642940902554,4.04830960756922
2020-W28,22,3.8892186984783126,3.7983096075692213,3.9801277893874034
2020-W29,12,3.7983096075692213,,
2020-W30,27,3.8723836816432953,3.798309607569221,3.9464577557173692
2020-W31,250,3.838309607569221,3.814309607569221,3.870309607569221
2020-W32,120,3.848309607569222,3.8149762742358884,3.8816429409025557
2020-W33,132,3.8740671833267957,3.8286126378722503,3.9195217287813415
2020-W34,81,3.897075039667986,3.823000965593912,3.995840471766752
2020-W35,48,3.8399762742358874,3.798309607569221,3.923309607569221
2020-W36,216,3.853865163124777,3.8260873853469994,3.8816429409025552
2020-W37,120,3.8483096075692216,3.8149762742358884,3.8816429409025557
