period,n,mean,ci_lo,ci_hi
2017-W33,100,4.437625681208877,4.377625681208877,4.497625681208877
2017-W34,259,4.374845758428953,4.343957727540922,4.413455797038992
2017-W35,263,4.373671308585302,4.343253057634732,4.4116941222735155
2017-W36,264,4.380959014542209,4.343080226663421,4.418837802420997
2017-W37,405,4.381576298492827,4.356884940468135,4.406267656517518
2017-W38,245,4.379258334270101,4.338442007739489,4.420074660800712
2017-W39,218,4.3710201766217205,4.334322928915299,4.407717424328142
2017-W40,136,4.400566857679464,4.3564492106206405,4.444684504738287
2017-W41,154,4.3625607461439415,4.323599707182902,4.40152178510498
2017-W42,157,4.412275362737539,4.348581095221615,4.475969630253462
2017-W43,172,4.379021030046086,4.3325094021391095,4.4371605649298065
2017-W44,141,4.425285255676961,4.368547667024479,4.496207241492564
2017-W45,211,4.392412411066696,4.36397639210935,4.4208484300240425
2017-W46,218,4.389368800474931,4.352671552768509,4.426066048181354
2017-W47,82,4.370796412916193,4.322015925111315,4.395186656818632
2017-W48,256,4.407000681208876,4.367938181208876,4.446258493708875
2017-W49,10,4.497625681208875,,
2017-W51,296,4.378706762289957,4.3449229785061725,4.419247302830497
2017-W52,294,4.406469218623841,4.372455613181665,4.440482824066018
2018-W01,210,4.440482824066019,4.392863776446972,4.478578062161257
2018-W02,231,4.427495811079005,4.384205767788963,4.470785854369049
2018-W03,331,4.418471602659027,4.382217826223982,4.454725379094072
2018-W04,228,4.420432698752736,4.376573049629929,4.473064277700104
2018-W05,321,4.384853095539094,4.359775213919156,4.416005743514171
2018-W06,277,4.3770480638803555,4.348167197454363,4.405928930306349
2018-W07,199,4.38807794251541,4.347876937490284,4.4282789475405355
2018-W08,230,4.384582202948007,4.349799594252355,4.419364811643659
2018-W09,119,4.448886185410555,4.364852571965179,4.549726521545009
2018-W10,215,4.362741960278644,4.325532657953063,4.399951262604225
2018-W11,218,4.389368800474932,4.352671552768509,4.426066048181354
2018-W12,156,4.451471835055029,4.400189783772978,4.502753886337081
2018-W13,171,4.402888839103613,4.356105213372619,4.449672464834607
2018-W14,118,4.365422291378368,4.314574833751251,4.433218901547859
2018-W15,72,4.49207012565332,4.408736792319987,4.575403458986653
2018-W16,57,4.367801119805366,4.297625681208874,4.437976558401857
2018-W17,93,4.491174068305651,4.448163315617479,4.534184820993823
2018-W18,57,4.437976558401857,4.367801119805366,4.508151996998349
2018-W19,87,4.41256820994451,4.366591198450257,4.481533727185889
2018-W20,65,4.359164142747337,4.297625681208875,4.420702604285799
