period,n,mean,ci_lo,ci_hi
2017-W33,100,-6.683318874694797,-13.545307908184602,0.8821677901395368
2017-W34,259,-4.477663520367155,-11.43467386811542,3.53749058671625
2017-W35,263,-1.0660727280631164,-5.955066347693444,3.768864707146419
2017-W36,264,-6.118212311836785,-12.59417489715626,1.0044760530062204
2017-W37,405,-7.159667879109243,-16.451647610955202,2.183813517254372
2017-W38,245,-3.220937371521076,-9.91516852273507,3.960984215283867
2017-W39,218,-7.6944347140675395,-11.663396998181872,-4.177047686076714
2017-W40,136,-5.460274565890105,-10.180345758661852,-0.8739856389626144
2017-W41,154,3.1125747822578047,-9.356966274045988,15.766189618149687
2017-W42,157,3.5494714236336504,-3.7586627086064137,10.980195551579877
2017-W43,172,-6.470578006869489,-11.834410848121816,-1.1342663026329467
2017-W44,141,-3.5049278299304443,-17.429064347902692,10.66417172491832
2017-W45,211,-9.725620084544238,-17.881914104312237,-1.371520923618405
2017-W46,218,-6.86882496743701,-14.331809956999777,2.4651999564024485
2017-W47,82,-4.723214976998078,-16.173668751834853,8.541650174030574
2017-W48,256,-10.189419328257188,-20.691486594168182,-0.643442517528786
2017-W49,10,-36.553140178448515,,
2017-W51,296,-6.983815648546302,-19.66671215800159,7.4352988304705825
2017-W52,294,-3.827726869123746,-13.19953559820641,7.44150855222628
2018-W01,210,-6.0086772509404,-13.35609974763574,2.2433787704592527
2018-W02,231,1.3667908307665246,-5.137217148114214,8.458017094644271
2018-W03,331,4.893547725014672,-7.488094801442292,18.082485671736187
2018-W04,228,1.3559456137204484,-9.396926708076435,13.863481666918743
2018-W05,321,3.3903702333050822,-5.790121595930196,13.116218390511163
2018-W06,277,-2.1706663102462405,-14.274650133092589,8.881595607554141
2018-W07,199,3.782400635688895,-7.11217591901571,16.21928184016565
2018-W08,230,-5.556089083466727,-13.633819686405008,3.014039836611123
2018-W09,119,3.2359720757082817,-7.737736180519087,16.416832135340307
2018-W10,215,4.5868161438455095,-5.4273410675693965,16.203695059927966
2018-W11,218,7.76435446748989,-3.6659182662960577,17.7400761402322
2018-W12,156,0.475182678100103,-6.716792530561397,7.6575400927493105
2018-W13,171,4.536524869988965,-7.382819704814276,17.044568193181547
2018-W14,118,-5.240411364432156,-15.551248992897595,4.989319293280721
2018-W15,72,26.851388588856278,-1.7617243847656912,61.666010843409154
2018-W16,57,7.451670640624448,-0.9704004590460739,16.767636824039826
2018-W17,93,-1.5166469999676129,-14.842023968014882,12.838511345376824
2018-W18,57,-2.9491221267896153,-10.216862892927486,6.246076437526847
2018-W19,87,-2.5234433727029413,-10.919687352207768,6.4002197744200675
2018-W20,65,1.2293696471907736,-11.282557754493595,13.720439084921976
2018-W21,71,4.9381217717737815,-5.807433738228147,17.25388881993263
2018-W22,30,25.496841695989122,11.198306720776367,39.553538391121364
2018-W23,27,38.28274951930181,-0.963934534509699,78.00463352033273
2018-W24,57,7.3068454909049345,-3.4614670277610777,20.402142162719894
2018-W25,53,15.832551183137772,-9.053532678602451,39.144741552275626
2018-W26,40,11.402266958264823,-6.666404117012277,29.48336855273857
2018-W27,22,16.550811390227054,-0.25163678406667794,33.35325956452079
2018-W28,18,5.544918999890022,,
2018-W29,46,-8.94168680450313,-19.123120368465607,1.44256912560347
2018-W30,56,-9.257134539147726,-23.067746365324204,3.4050258729554828
2018-W31,62,-7.478737604234022,-21.59319015675177,5.898926341808245
2018-W32,80,-1.981371624609239,-13.023624312731407,7.649765324223506
2018-W33,86,0.7396531546466237,-9.73372485777202,11.666392707222256
2018-W34,33,14.832764026966444,-15.987964501081194,45.51860127780505
2018-W35,21,0.7296953004477862,-5.777387120777666,7.236777721673238
2018-W36,33,25.106238997613236,-16.51618699107995,67.27652635623268
2018-W37,15,-16.482647769352674,,
2018-W38,20,28.01184620202585,28.01184620202584,28.011846202025858
2018-W39,25,-12.733918329176845,-21.802764078322173,-3.6650725800315174
2018-W40,10,-4.219047708539572,,
2018-W41,10,8.94060480160357,,
2018-W42,22,1.3804886709210313,-16.11459556857818,18.671054953867024
2018-W43,2,-28.00188015245901,,
2018-W44,9,-8.0159249207694,,
2018-W45,4,-21.978993827873644,,
2018-W46,67,-0.8685350270122402,-21.710976292395546,23.04239921828343
2018-W47,233,4.255038645782771,-8.492771483236767,18.108566278087633
2018-W48,216,-8.50813630949451,-16.84377407997296,-0.32688021431706743
2018-W49,144,-6.278958041107712,-18.25855740530726,4.530960575372706
2018-W50,61,-12.56484168157747,-20.351320704266893,-3.802558609031312
2018-W51,152,0.3856791977674926,-7.683828487776188,8.535049144032225
2018-W52,105,-6.2088147441278405,-22.23620526999981,12.247469820268652
2019-W01,30,-2.9020168234002086,-22.503027039770757,16.69897925000274
2019-W02,25,25.03282766164783,-13.054906236284793,62.27752972628747
2019-W03,13,54.87392885748078,,
2019-W04,12,-23.744239998440218,,
2019-W05,12,-13.200060492681338,,
2019-W06,6,114.27424426434737,,
2019-W07,9,-34.48089592450308,,
2019-W08,39,17.739184007967182,-11.90115646538255,48.07816325012323
2019-W09,18,-23.105323398704535,,
