draw,seconds,max_mean_net_bps_full,max_sharpe_full,min_n_full,max_mean_net_bps_train,max_sharpe_train,min_n_train,max_mean_net_bps_val,max_sharpe_val,min_n_val
0,1.9683885840058792,-3.378964984214523,-1.9414086602834624,8295,-3.5884476001949417,-1.7990966120218566,5638,-2.833556877072372,-2.4514363882915737,2657
1,1.2629008060030174,-3.509634043803525,-2.177273058908036,8383,-3.3582047872488356,-1.9608155497263164,5798,-3.477288548329287,-3.0720290193319815,2585
2,1.109806242006016,-3.4065280260494353,-1.6531075899865537,8307,-2.674446496103712,-1.1852230567456004,5586,-3.3944525201251525,-3.3141594135639814,2721
3,1.1827798500016797,-3.3342010895378675,-2.644863501732297,8393,-3.435569219430074,-2.987570751524792,5825,-2.515605230707747,-1.702321475788213,2568
4,1.750239055007114,-3.26569313803213,-2.786157701932664,8360,-3.061567816759118,-2.600042621297161,5801,-3.2849343863373712,-3.059865506123887,2559
5,1.1515513490012381,-3.5744005659963616,-2.6683141243699295,8317,-3.7092916933877906,-2.6495208830522703,5897,-3.1688296260086917,-2.8324907753485795,2420
6,1.088168749003671,-3.487313850338524,-2.8454340185897116,8340,-3.3849913778563008,-2.746867703532898,6265,-3.583492125164338,-3.435498344807391,2075
7,1.0962574449949898,-3.576811422642164,-2.7490443865683263,8387,-3.6343826981275105,-2.379489748822002,5887,-3.393848947929815,-4.589502635989218,2500
8,1.5768453989876434,-3.647945639377271,-2.261164582671311,8409,-3.51078274945373,-1.8908980077000839,5832,-3.8258879450948484,-3.281643591771119,2577
9,1.1673978720064042,-3.6331721894567344,-2.552921846621624,8416,-3.85873619472413,-2.8038499603447216,6240,-2.974526092710066,-1.9828844262972145,2176
10,1.0778245469991816,-3.3769010841555493,-2.779830105594882,8336,-3.4742277024179864,-2.2524610274008596,5787,-3.137276237812859,-3.7179459536259842,2549
11,1.1381170639942866,-3.397036555263365,-2.477774974834906,8376,-3.320288577658567,-2.24141629451998,5918,-3.3570101069778127,-3.597343591704,2458
12,1.7194279299874324,-3.687294513961498,-3.0707997930130464,8398,-3.6402742597732543,-2.910378484904382,5794,-3.4676216517112173,-3.6869571606713536,2604
13,1.209568157006288,-3.6974031016189426,-2.47104799364315,8382,-3.775502537809155,-2.346432633623439,5863,-3.4465935650451787,-3.1161642154080154,2519
14,1.1658228330052225,-3.828073656523762,-2.8948422433647334,8368,-3.626270232986501,-2.6911359455789006,5996,-3.8339732219377294,-3.925451164469078,2372
15,1.1784715440007858,-3.4696484099669993,-3.0040881980875516,8369,-3.2569248935556923,-2.5349551587834704,5775,-3.6523358872959015,-4.432851003136306,2594
16,1.0442696810059715,-3.4690359444687475,-2.281455751542746,8375,-3.3452788392665225,-2.3491341380385578,5831,-3.2744262722137725,-2.280941027611637,2544
17,1.259925457998179,-3.8355537073525667,-2.3422129935744374,8346,-3.977194933147213,-2.3502885161642477,5767,-3.404001761716512,-2.7684441256321537,2579
18,1.070781578993774,-1.693303745876005,-0.9061317808714453,8421,-0.7991402485925644,-0.40131171320687253,5980,-3.4849184893724576,-2.6291457910533595,2441
19,1.0729363940045005,-3.7227009224837144,-2.8869083992148146,8359,-3.796994431507547,-2.9657715116120236,5861,-3.5188973930147442,-2.7937535308761197,2498
20,1.1700135069986572,-3.8749869772324517,-3.334714202755346,8418,-3.8725410255561674,-3.0324815911679166,5847,-3.785006177266605,-4.499604708205166,2571
21,1.0786444819968892,-3.682585997619554,-2.878249123137187,8418,-3.572072302144246,-2.550154722740783,6128,-3.7611563045649294,-4.078789471876129,2290
22,1.157115073991008,-3.624131840036669,-3.289022819274665,8408,-3.6712287023357213,-3.4126162744084496,5737,-3.0260501931060304,-2.834983984697721,2671
23,1.1645495950069744,-3.845690919449142,-2.5313696455863104,8312,-3.893007429001173,-2.4322556705238,5655,-3.60033566841361,-2.9093562182054202,2657
24,1.077909183994052,-3.6478903187119034,-1.9698417882627561,8352,-3.7097763673880535,-1.8807653539825717,5588,-3.4469781912984088,-2.4025324929457255,2764
25,1.0971807180030737,-2.8832154168865163,-2.0980543238156293,8308,-2.6295605198448926,-1.7971992121868228,5814,-3.0111237966929547,-2.038731551935376,2494
26,1.19689780799672,-3.6774137195682415,-2.451630432032875,8396,-3.6784035192768196,-2.6309560301870643,6028,-3.3711247803923574,-2.0034973411947337,2368
27,1.0898629279981833,-3.7342505169374465,-2.505258948812523,8322,-3.388224185945227,-2.196459869556765,5707,-3.925065646044784,-3.9668162722438973,2615
28,1.2585736460023327,-3.608249032712729,-2.936364369542746,8343,-3.9747612811269564,-3.2028270774641,5594,-2.709642414227538,-2.2477189554879584,2749
29,1.2515098700096132,-3.5482097155771886,-2.6825336552831405,8347,-3.543914846440947,-2.414947561190177,5651,-3.508468920461512,-3.901622543505263,2696
30,1.04783643099654,-3.5811041561608596,-2.645799756208109,8400,-3.4314360922440694,-2.6121703732566592,5814,-3.4952772527006966,-3.0827217845366826,2586
31,1.0550698949955404,-3.6086730990336044,-2.9641400541208838,8331,-3.6406639893816553,-2.8711961720713544,5956,-3.426336466976127,-3.585890146499224,2375
32,1.0662196909979684,-3.5035845613096397,-2.907368573040969,8353,-3.649178660668865,-2.6663784200962417,5674,-3.10047907173541,-3.0370253023531615,2679
33,1.0535984849993838,-3.638187436346695,-2.8308671115515467,8350,-3.6771408307939963,-2.6019702033230483,6196,-3.3656147852188654,-3.7135984146302583,2154
34,1.0587132299988298,-3.5273073125483254,-2.152656499533021,8358,-3.7370573442691164,-2.0979883333491967,5913,-2.7837884164899975,-2.4337481479905967,2445
35,1.1525917469989508,-3.593850341157148,-2.8825777020648187,8381,-3.741777757725192,-2.543248684381395,5907,-3.2244824383308606,-4.257914630169729,2474
36,1.121891314003733,-3.362904849296805,-2.0199983846177023,8348,-3.390269569510731,-2.24198545003078,6015,-2.1002661367467126,-1.4116758899440836,2333
