config,label,period,variable,state_a,state_b,n_a,n_b,mean_a,mean_b,diff,ci_lo,ci_hi,se,mde,null_p95,verdict
iter0_best,15/0.4/0.5,full,realized_vol_60m_tercile,1_low,2_mid,6050,22516,-0.6517994719038551,-2.38850658686839,1.7367071149645348,0.506562860316002,2.9737602793301603,0.6543479742275614,1.8332116124167896,1.7841409002953064,判定不能
iter0_best,15/0.4/0.5,full,realized_vol_60m_tercile,1_low,3_high,6050,35816,-0.6517994719038551,-4.100136671750663,3.448337199846808,2.156957172323128,4.790248577021751,0.6629680067701769,1.857361368172032,1.7841409002953064,候補
iter0_best,15/0.4/0.5,full,realized_vol_60m_tercile,2_mid,3_high,22516,35816,-2.38850658686839,-4.100136671750663,1.7116300848822732,0.7874053882196951,2.6585412600275533,0.47258809424805104,1.3239958193316832,1.7841409002953064,差なし
iter0_best,15/0.4/0.5,val,realized_vol_60m_tercile,1_low,2_mid,1933,5249,-0.23106180750808755,-2.1524074830133073,1.9213456755052198,-0.1664159825404917,4.09719744052073,1.0823146026681394,3.032196592709991,2.9249000281588,判定不能
iter0_best,15/0.4/0.5,val,realized_vol_60m_tercile,1_low,3_high,1933,4843,-0.23106180750808755,-3.207102921297064,2.9760411137889764,0.5170305039630286,5.4442451588105705,1.2790779555687035,3.583445893758387,2.9249000281588,候補
iter0_best,15/0.4/0.5,val,realized_vol_60m_tercile,2_mid,3_high,5249,4843,-2.1524074830133073,-3.207102921297064,1.0546954382837566,-0.9955449011278671,3.268627134359727,1.0883038704150547,3.0489760366999867,2.9249000281588,判定不能
current,30/0.8/0.5,full,realized_vol_60m_tercile,1_low,2_mid,639,6465,9.976615439426235,-0.807508256918877,10.784123696345112,3.47681555698396,19.110078214672193,3.9293405747045846,11.008382472937592,7.302180645200429,候補
current,30/0.8/0.5,full,realized_vol_60m_tercile,1_low,3_high,639,17574,9.976615439426235,-6.2856728120681815,16.262288251494418,8.865736897464283,24.450061030345587,3.9206583070911374,10.984058360327829,7.302180645200429,候補
current,30/0.8/0.5,full,realized_vol_60m_tercile,2_mid,3_high,6465,17574,-0.807508256918877,-6.2856728120681815,5.478164555149305,3.380876349761018,7.5507020141781975,1.0760679083316536,3.01469594619178,7.302180645200429,差なし
current,30/0.8/0.5,val,realized_vol_60m_tercile,1_low,2_mid,179,1580,-4.648980531909567,-2.3320359114955136,-2.3169446204140534,-11.169787153352962,6.509098787819284,4.463333316375792,12.504408644843334,12.075142475493019,判定不能
current,30/0.8/0.5,val,realized_vol_60m_tercile,1_low,3_high,179,2202,-4.648980531909567,-5.960958494713435,1.3119779628038684,-7.079151105725436,9.83510889475772,4.405514249171989,12.34242360081192,12.075142475493019,判定不能
current,30/0.8/0.5,val,realized_vol_60m_tercile,2_mid,3_high,1580,2202,-2.3320359114955136,-5.960958494713435,3.6289225832179217,-1.1289856281818829,8.214113551248566,2.429650058888956,6.806871691353918,12.075142475493019,判定不能
