period,n,mean,ci_lo,ci_hi
2017-W34,6,-1.1059191044532355,,
2017-W35,16,4.732693968154955,,
2017-W36,5,59.62361392631799,,
2017-W37,1,33.91651906503368,,
2017-W39,7,0.8503625282433155,,
2017-W40,12,4.515173165939209,,
2017-W47,2,35.161799049648884,,
2017-W48,1,11.016993468686564,,
2018-W02,1,11.259001738266328,,
2018-W03,1,33.6744919330112,,
2018-W04,1,-52.681091251176596,,
2018-W09,1,-26.545038107649297,,
2018-W15,2,678.5272021587241,,
2018-W23,1,45.98186967391227,,
2018-W24,1,-101.45195186491706,,
2018-W26,3,49.28464516596676,,
2018-W28,1,71.98358413132655,,
2018-W29,1,-9.365533915873803,,
2018-W30,1,100.6701592124437,,
2018-W31,1,-9.490626799599777,,
2018-W34,1,12.077903156186842,,
2018-W36,1,369.4637895159947,,
2018-W38,1,-5.463002466155054,,
2018-W42,8,21.149358733957293,,
2018-W44,1,40.4170668130055,,
2018-W52,1,-27.87281513268791,,
2019-W01,1,-30.197061064147768,,
2019-W02,1,382.13904661458685,,
2019-W06,1,-35.6796208633603,,
2019-W08,1,168.95163587338448,,
2019-W15,1,-17.333373261158023,,
2019-W17,1,144.03239692611814,,
2019-W19,1,-12.154355523683602,,
2020-W05,1,-17.449106771915133,,
2020-W17,1,116.74227808761373,,
2020-W18,1,-92.11469534050165,,
2020-W28,1,18.61274731989493,,
2020-W30,1,13.228643840381693,,
2020-W33,1,-33.916795745794204,,
2020-W35,1,11.11772208435946,,
2020-W36,1,67.42074807442489,,
2020-W39,1,45.40238396588015,,
2020-W45,1,-36.090808055073694,,
2020-W47,2,96.21064207089191,,
2020-W51,1,-104.10704184872554,,
2021-W15,1,-102.1260648713418,,
2021-W29,1,-27.383930901851983,,
2021-W35,1,6.253999342429317,,
2021-W44,1,113.12746919489025,,
2021-W51,1,-102.81617641175522,,
2021-W52,1,-66.56052336049045,,
2022-W04,1,-6.176300957623226,,
2022-W07,1,3.4528510185038996,,
2022-W09,2,49.44087253783758,,
2022-W14,1,145.21190557455154,,
2022-W18,1,467.750622081331,,
2022-W34,1,112.70376751610023,,
2022-W35,1,-21.731059574784382,,
2022-W44,2,15.475829386568662,,
2022-W45,1,-7.1963955217491105,,
2022-W52,1,-16.016305539048314,,
2023-W05,1,25.32116463306755,,
2023-W07,1,-43.87121941362926,,
2023-W08,1,1.4035211110607904,,
2023-W15,2,31.399364244091842,,
2023-W16,1,55.58226029785174,,
2023-W18,1,-18.30924588734795,,
2023-W25,2,-47.172583552877455,,
2023-W26,1,-41.33713268834383,,
2023-W28,1,-35.40760000203092,,
2023-W36,1,66.72979797979872,,
2023-W39,1,-36.08848986275004,,
2023-W41,1,33.767911039782604,,
2023-W44,2,41.18447101912892,,
2023-W48,2,33.02146921276838,,
2023-W49,2,-20.818349727433905,,
2023-W50,1,-25.803181497912053,,
