period,grid_minutes,vol_defined_minutes,vol_undefined_minutes,vol_mean,vol_median,n_1_low,share_1_low,n_2_mid,share_2_mid,n_3_high,share_3_high
full,3332160,3284386,47774,0.0008843242063258564,0.0006739647836654021,1316187,0.40074065593995345,1062191,0.3234062622359248,906008,0.27585308182412177
train,2301120,2293862,7258,0.0009873458355372218,0.0007543912315653213,764621,0.33333347864867197,764620,0.33333304270265607,764621,0.33333347864867197
val,1031040,990524,40516,0.0006457460391880169,0.0005272745467966671,551566,0.5568426408648351,297571,0.30041775868126364,141387,0.14273960045390116
2017,197280,196764,516,0.0016030599461655682,0.0011923629129441612,13222,0.06719725152975138,62444,0.3173548006749202,121098,0.6154479477953284
2018,525600,524773,827,0.0010686012832772493,0.0007923316702912213,183011,0.34874317085673234,137912,0.262803154887923,203850,0.3884536742553447
2019,525600,523983,1617,0.0007634194425709601,0.000572720744099219,261996,0.50000858806488,150037,0.2863394423101513,111950,0.21365196962496874
2020,527040,524254,2786,0.0007858351371475185,0.0005974297109133649,247052,0.4712448545933841,172024,0.32813102045954823,105178,0.20062412494706763
2021,525600,524088,1512,0.0011002760619470676,0.0009183917284222642,59340,0.11322525988002015,242203,0.4621418540397796,222545,0.4246328860802003
2022,525600,525079,521,0.000732930316528612,0.0006115860448953969,237938,0.4531470502533904,186629,0.3554303257224151,100512,0.19142262402419447
2023,505440,465445,39995,0.0005473914899679748,0.00044841877750455565,313628,0.6738239749057354,110942,0.23835684130240953,40875,0.0878191837918551
