ex_date,amount
2013-02-10,9.3
2013-05-10,18.7
2013-08-10,11.2
2013-11-10,10.5
2014-02-10,13.1
2014-05-10,11.0
2014-08-10,14.0
2014-11-10,12.0
2015-02-10,13.2
2015-05-10,12.5
2015-08-10,13.3
2015-11-10,12.8
2016-02-10,15.0
2016-05-10,13.5
2016-08-10,13.1
2016-11-10,13.0
2017-02-10,16.4
2017-05-10,15.0
2017-08-10,14.3
2017-11-10,15.8
2018-02-10,17.3
2018-05-10,15.9
2018-08-10,15.7
2018-11-10,16.4
2019-02-10,18.8
2019-05-10,17.4
2019-08-10,16.1
2019-11-10,16.5
2020-02-10,19.2
2020-05-10,18.1
2020-08-10,17.1
2020-11-10,18.8
2021-02-10,16.6
2021-05-10,19.0
2021-08-10,16.1
2021-11-10,18.8
2022-02-10,16.3
2022-05-10,19.5
2022-08-10,17.2
2022-11-10,18.8
2023-02-10,17.9
2023-05-10,19.6
2023-08-10,18.3
2023-11-10,19.2
2024-02-10,20.2
2024-05-10,21.9
2024-08-10,18.9
2024-11-10,21.9
2025-02-10,21.3
2025-05-10,23.3
2025-08-10,19.9
2025-11-10,23.1
2026-02-10,25.5
2026-05-10,23.7
2026-08-10,20.6
