date,open,high,low,close
2025-06-16,1785.62,1798.69,1775.03,1782.29
2025-06-17,1781.03,1794.3,1774.74,1791.62
2025-06-18,1789.95,1792.52,1784.93,1784.93
2025-06-19,1783.75,1789.46,1780.55,1788.19
2025-06-20,1785.69,1787.74,1780.34,1786.11
2025-06-23,1784.09,1799.15,1783.53,1794.9
2025-06-24,1800.66,1801.16,1793.67,1796.65
2025-06-25,1799.69,1800.87,1795.56,1795.56
2025-06-26,1796.34,1799.43,1781.49,1797.29
2025-06-27,1790.97,1794.59,1786.06,1790.68
2025-06-30,1787.67,1793.08,1778.17,1778.87
2025-07-01,1775.6,1781.23,1773.52,1778.7
2025-07-02,1777.01,1789.35,1776.01,1785.35
2025-07-03,1787.45,1790.96,1783.61,1787.03
2025-07-04,1790.07,1791.17,1783.75,1786.17
2025-07-07,1791.21,1804.76,1789.95,1804.76
2025-07-08,1803.2,1804.3,1787.78,1787.78
2025-07-09,1789.01,1792.09,1781.32,1781.32
2025-07-10,1780.71,1789.79,1779.48,1789.13
2025-07-11,1793.03,1800.49,1792.4,1796.67
2025-07-14,1801.22,1810.01,1796.2,1810.01
2025-07-15,1808.97,1813.03,1800.0,1807.68
2025-07-16,1808.58,1818.54,1808.58,1814.93
2025-07-17,1814.29,1823.13,1811.21,1820.12
2025-07-18,1817.24,1819.88,1812.72,1812.72
2025-07-22,1816.92,1821.21,1804.52,1818.32
2025-07-23,1822.16,1826.17,1818.0,1818.0
2025-07-24,1823.4,1830.55,1820.12,1820.92
2025-07-25,1823.18,1831.5,1820.64,1827.05
2025-07-28,1830.11,1850.08,1827.08,1834.72
2025-07-29,1835.86,1846.59,1832.21,1846.59
2025-07-30,1843.27,1865.76,1843.27,1858.92
2025-07-31,1858.22,1862.77,1855.22,1859.19
2025-08-01,1859.67,1868.39,1852.67,1867.19
2025-08-04,1860.53,1871.88,1860.53,1871.35
2025-08-05,1874.14,1881.65,1872.95,1880.57
2025-08-06,1880.39,1899.33,1879.58,1895.78
2025-08-07,1902.59,1906.4,1894.15,1899.39
2025-08-08,1899.45,1901.5,1889.2,1896.58
2025-08-12,1902.01,1909.85,1894.68,1907.56
2025-08-13,1909.34,1910.41,1895.1,1896.8
2025-08-14,1894.65,1900.83,1888.49,1893.59
2025-08-15,1894.81,1898.98,1887.87,1898.15
2025-08-18,1896.76,1909.57,1896.35,1906.2
2025-08-19,1906.1,1926.1,1906.1,1926.01
2025-08-20,1926.66,1940.16,1923.85,1934.38
2025-08-21,1937.39,1938.05,1926.01,1926.01
2025-08-22,1927.3,1930.25,1921.94,1923.62
2025-08-25,1929.88,1930.12,1922.68,1929.62
2025-08-26,1929.32,1932.2,1914.73,1917.47
2025-08-27,1921.14,1943.27,1920.97,1941.95
2025-08-28,1928.14,1931.12,1916.68,1924.23
2025-08-29,1924.38,1926.76,1917.89,1917.89
2025-09-01,1919.54,1936.1,1918.24,1932.32
2025-09-02,1930.01,1932.33,1922.37,1926.22
2025-09-03,1925.04,1925.04,1898.0,1905.16
2025-09-04,1901.76,1901.76,1883.33,1895.94
2025-09-05,1894.28,1895.34,1880.31,1889.66
2025-09-08,1893.53,1906.18,1892.91,1896.12
2025-09-09,1899.96,1907.6,1895.19,1906.0
2025-09-10,1898.62,1907.35,1896.1,1907.35
2025-09-11,1906.03,1918.26,1904.68,1915.0
2025-09-12,1917.52,1938.06,1916.52,1938.06
2025-09-16,1938.19,1950.97,1930.67,1950.97
2025-09-17,1945.5,1951.52,1932.69,1942.47
2025-09-18,1941.6,1944.69,1934.71,1937.66
2025-09-19,1940.66,1949.54,1922.09,1931.81
2025-09-22,1932.86,1940.3,1927.24,1930.36
2025-09-24,1933.09,1933.14,1922.76,1929.43
2025-09-25,1929.73,1938.38,1926.07,1933.74
