
## bitbank JPY pairs (maker -0.02% except BTC)  (n polls per pair shown; spread in bps of mid)
        pair |     n |      p25 |      p50 |      p75 |   reb |   mk_flat |  mk_scaled | costfloor |   24h vol JPY |  ceilJPY/d
     eth_jpy |   914 |     0.02 |     0.02 |     0.03 |   2.0 |      0.81 |       1.99 |     28.02 |   860,153,059 |      3,426
     xrp_jpy |   914 |     0.04 |     0.04 |     0.04 |   2.0 |      0.81 |       1.98 |     28.04 | 2,450,521,852 |      9,728
     sol_jpy |   914 |     0.06 |     0.06 |     1.69 |   2.0 |      0.82 |       1.98 |     28.06 |   437,382,791 |      1,731
     ltc_jpy |   914 |     0.13 |     0.13 |     2.63 |   2.0 |      0.83 |       1.96 |     28.13 |    15,007,538 |         59
     ada_jpy |   914 |     0.29 |     0.30 |     4.70 |   2.0 |      0.87 |       1.90 |     28.30 |    57,892,502 |        220
     xlm_jpy |   914 |     0.34 |     0.34 |     2.03 |   2.0 |      0.88 |       1.88 |     28.34 |    88,124,477 |        332
    doge_jpy |   914 |     0.70 |     0.71 |     0.71 |   2.0 |      0.98 |       1.76 |     28.71 |   267,425,059 |        939
     omg_jpy |   914 |     1.32 |     1.32 |     1.32 |   2.0 |      1.13 |       1.54 |     29.32 |        91,432 |          0
     trx_jpy |   914 |     0.02 |     2.69 |     6.97 |   2.0 |      1.47 |       1.07 |     30.69 |    15,673,708 |         34
     bcc_jpy |   914 |     0.23 |     2.90 |    10.19 |   2.0 |      1.52 |       1.00 |     30.90 |    13,699,878 |         27
     bnb_jpy |   914 |     0.09 |     3.00 |     6.87 |   2.0 |      1.55 |       0.97 |     31.00 |    18,776,506 |         36
     sui_jpy |   914 |     0.08 |     5.15 |    10.73 |   2.0 |      2.09 |       0.22 |     33.15 |    53,541,145 |         24
    avax_jpy |   914 |     0.01 |     5.15 |    12.80 |   2.0 |      2.09 |       0.22 |     33.15 |     9,378,406 |          4
     btc_jpy |   914 |     0.00 |     0.00 |     0.25 |   0.0 |     -1.20 |      -0.00 |     24.00 | 1,440,456,053 |          0
    sand_jpy |   914 |     1.50 |     7.48 |    41.68 |   2.0 |      2.67 |      -0.58 |     35.48 |     1,007,327 |          0
     dai_jpy |   914 |     5.90 |     7.85 |    12.12 |   2.0 |      2.76 |      -0.71 |     35.85 |       720,759 |          0
     flr_jpy |   914 |     9.56 |     9.60 |    19.10 |   2.0 |      3.20 |      -1.31 |     37.60 |     5,200,489 |          0
  render_jpy |   914 |     0.04 |    10.63 |    19.57 |   2.0 |      3.46 |      -1.67 |     38.63 |    51,114,481 |          0
    link_jpy |   914 |     6.88 |    13.84 |    20.92 |   2.0 |      4.26 |      -2.78 |     41.84 |    19,472,179 |          0
     pol_jpy |   914 |     6.90 |    16.55 |    27.44 |   2.0 |      4.94 |      -3.71 |     44.55 |    60,125,039 |          0
     bat_jpy |   914 |    13.71 |    20.10 |    24.90 |   2.0 |      5.82 |      -4.93 |     48.10 |     4,078,099 |          0
    astr_jpy |   914 |    11.09 |    22.03 |    33.58 |   2.0 |      6.31 |      -5.60 |     50.03 |     9,771,127 |          0
     dot_jpy |   914 |    22.35 |    31.81 |    45.16 |   2.0 |      8.75 |      -8.98 |     59.81 |     2,227,989 |          0
    gala_jpy |   914 |    34.07 |    34.19 |    67.34 |   2.0 |      9.35 |      -9.79 |     62.19 |    13,702,874 |          0
    qtum_jpy |   914 |    27.21 |    34.40 |    43.90 |   2.0 |      9.40 |      -9.87 |     62.40 |     6,453,321 |          0
     grt_jpy |   914 |    32.07 |    39.22 |    46.01 |   2.0 |     10.61 |     -11.53 |     67.22 |       756,859 |          0
    mana_jpy |   914 |     0.84 |    41.31 |    88.13 |   2.0 |     11.13 |     -12.25 |     69.31 |         6,310 |          0
     arb_jpy |   914 |    33.88 |    42.42 |    52.13 |   2.0 |     11.40 |     -12.63 |     70.42 |     2,260,866 |          0
      op_jpy |   914 |    27.78 |    42.57 |    53.50 |   2.0 |     11.44 |     -12.69 |     70.57 |     6,745,514 |          0
     chz_jpy |   914 |    30.76 |    43.44 |    57.66 |   2.0 |     11.66 |     -12.99 |     71.44 |     2,658,387 |          0
    boba_jpy |   914 |    18.39 |    48.72 |   100.95 |   2.0 |     12.98 |     -14.81 |     76.72 |    18,166,672 |          0
    mona_jpy |   914 |    57.20 |    57.87 |   114.91 |   2.0 |     15.27 |     -17.96 |     85.87 |       530,655 |          0
     sky_jpy |   914 |    47.31 |    61.56 |   110.49 |   2.0 |     16.19 |     -19.24 |     89.56 |     2,209,796 |          0
     lpt_jpy |   914 |    61.92 |    69.35 |    77.84 |   2.0 |     18.14 |     -21.93 |     97.35 |       336,114 |          0
   cyber_jpy |   914 |    60.46 |    80.68 |   152.70 |   2.0 |     20.97 |     -25.83 |    108.68 |       429,999 |          0
     ape_jpy |   914 |    70.83 |    85.21 |   133.58 |   2.0 |     22.10 |     -27.40 |    113.21 |       235,032 |          0
    klay_jpy |   914 |    86.22 |   115.04 |   115.15 |   2.0 |     29.56 |     -37.69 |    143.04 |     4,161,044 |          0
     xym_jpy |   914 |    97.37 |   116.73 |   157.48 |   2.0 |     29.98 |     -38.27 |    144.73 |     5,882,946 |          0
     imx_jpy |   914 |    94.94 |   154.04 |   230.28 |   2.0 |     39.31 |     -51.14 |    182.04 |     2,378,855 |          0
     oas_jpy |   914 |   162.60 |   162.60 |   165.29 |   2.0 |     41.45 |     -54.10 |    190.60 |     1,575,575 |          0
     enj_jpy |   914 |   138.51 |   202.87 |   204.98 |   2.0 |     51.52 |     -67.99 |    230.87 |       292,267 |          0
     axs_jpy |   914 |   124.28 |   214.88 |   280.71 |   2.0 |     54.52 |     -72.13 |    242.88 |       301,698 |          0
    mask_jpy |   914 |   263.33 |   265.19 |   378.89 |   2.0 |     67.10 |     -89.49 |    293.19 |       841,377 |          0
    atom_jpy |   914 |   215.80 |   278.60 |   392.13 |   2.0 |     70.45 |     -94.12 |    306.60 |     3,147,416 |          0

## GMO (spot maker -0.01%/-0.03%; *_JPY = leverage, 0/0)  (n polls per pair shown; spread in bps of mid)
