code,name,market,perk_flag,kenri_month
1301,極洋,prime,1,3月
1332,ニッスイ,prime,1,3月
1333,Ｕｍｉｏｓ,prime,1,3月
1375,ユキグニファクトリー,prime,1,3月
1377,サカタのタネ,prime,1,5月
1379,ホクト,prime,1,3月
1380,秋川牧園,standard,1,3月
1381,アクシーズ,standard,1,6月
1383,ベルグアース,standard,1,4月
1384,ホクリヨウ,standard,1,3月
1417,ミライト・ワン,prime,1,3月
1419,タマホーム,prime,1,11月
1420,サンヨーホームズ,standard,1,3月
1430,ファーストコーポレーション,standard,1,11月
1433,ベステラ,prime,1,1月
1438,岐阜造園,standard,1,9月
1446,キャンディル,standard,1,3月
1515,日鉄鉱業,prime,1,3月
1518,三井松島ホールディングス,prime,1,3月・9月
1605,ＩＮＰＥＸ,prime,1,12月
160A,アズパートナーズ,standard,1,3月・9月
1663,Ｋ＆Ｏエナジーグループ,prime,1,12月
167A,リョーサン菱洋ホールディングス,prime,1,3月
1711,ＳＤＳホールディングス,standard,1,3月・9月
1762,高松コンストラクショングループ,prime,1,3月
1766,東建コーポレーション,prime,1,4月
1780,ヤマウラ,prime,1,3月
1783,ｆａｎｔａｓｉｓｔａ,standard,1,9月
1788,三東工業社,standard,1,6月
1793,大本組,standard,1,3月
1795,マサル,standard,1,3月・9月
1801,大成建設,prime,1,3月
1803,清水建設,prime,1,3月
1822,大豊建設,standard,1,3月・9月
1828,田辺工業,standard,1,3月・9月
1848,富士ピー・エス,standard,1,9月
1860,戸田建設,prime,1,3月
1867,植木組,standard,1,9月
1873,日本ハウスホールディングス,prime,1,4月
1879,新日本建設,prime,1,9月
1899,福田組,prime,1,12月
1904,大成温調,standard,1,3月・9月
1925,大和ハウス工業,prime,1,3月
1928,積水ハウス,prime,1,1月
1952,新日本空調,prime,1,3月・9月
1965,テクノ菱和,standard,1,3月
1967,ヤマト,standard,1,3月
1976,明星工業,prime,1,3月
1992,神田通信機,standard,1,3月
1997,暁飯島工業,standard,1,2月
2001,ニップン,prime,1,3月・9月
2002,日清製粉グループ本社,prime,1,3月
2004,昭和産業,prime,1,3月
2009,鳥越製粉,standard,1,6月・12月
2053,中部飼料,prime,1,3月・9月
2108,日本甜菜製糖,prime,1,3月
2109,ＤＭ三井製糖,prime,1,3月
2112,塩水港精糖,standard,1,3月
2114,フジ日本,standard,1,9月
2117,ウェルネオシュガー,prime,1,3月
2120,ＬＩＦＵＬＬ,prime,1,3月・9月
2122,インタースペース,standard,1,3月・9月
212A,フィットイージー,prime,1,10月
2139,中広,standard,1,3月
2157,コシダカホールディングス,prime,1,2月・8月
2164,地域新聞社,standard,1,2月・8月
2168,パソナグループ,prime,1,5月
2170,リンクアンドモチベーション,prime,1,6月・12月
2179,成学社,standard,1,3月
2185,シイエム・シイ,standard,1,9月
2186,ソーバル,standard,1,8月
2198,アイ・ケイ・ケイホールディングス,prime,1,4月
2201,森永製菓,prime,1,9月
2204,中村屋,standard,1,3月
2206,江崎グリコ,prime,1,6月
2207,ｍｅｉｔｏ,prime,1,3月・9月
2208,ブルボン,standard,1,9月
2209,井村屋グループ,prime,1,3月・9月
2211,不二家,prime,1,12月
2212,山崎製パン,prime,1,12月
2215,第一屋製パン,standard,1,12月
2216,カンロ,standard,1,12月
2217,モロゾフ,prime,1,7月
2220,亀田製菓,prime,1,9月
2221,岩塚製菓,standard,1,3月・9月
2222,寿スピリッツ,prime,1,3月
2224,コモ,standard,1,3月
2226,湖池屋,standard,1,9月
2229,カルビー,prime,1,3月
2264,森永乳業,prime,1,3月・9月
2266,六甲バター,prime,1,12月
2267,ヤクルト本社,prime,1,3月・9月
2268,Ｂ－Ｒ　サーティワン　アイスクリーム,standard,1,6月・12月
2269,明治ホールディングス,prime,1,3月
2281,プリマハム,prime,1,9月
2282,日本ハム,prime,1,3月・9月
2288,丸大食品,prime,1,9月
2292,Ｓ　Ｆｏｏｄｓ,prime,1,2月・8月
