file,has_answer,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16
HYGIENE_2026-09-11.md,0,,,,,,,,,,,,,,,,
KA-01.md,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KA-02.md,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KA-04.md,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KA-05.md,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KA-06.md,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
KA-07.md,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KA-08.md,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KA-09.md,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KA-10.md,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KA-16.md,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KA-17.md,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KA-18.md,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KA-19.md,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KA-20.md,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
KA-21.md,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KA-22.md,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KA-23.md,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
KA-24.md,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
KA-25.md,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
KA-26.md,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
KA-27.md,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KA-28.md,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
