基準率(5,000 件) = 0.6056

== 帯の幅 0.05: 帯 / 件数 / 実際に続いた割合 / 2SE / 判定(2 SE で基準率と区別できるか)
[0.25,0.30) n=12    実際=0.167 2SE=0.215 → 止まる
[0.30,0.35) n=104   実際=0.519 2SE=0.098 → わからない
[0.35,0.40) n=326   実際=0.466 2SE=0.055 → 止まる
[0.40,0.45) n=858   実際=0.500 2SE=0.034 → 止まる
[0.45,0.50) n=1243  実際=0.523 2SE=0.028 → 止まる
[0.50,0.55) n=1023  実際=0.612 2SE=0.030 → わからない
[0.55,0.60) n=845   実際=0.737 2SE=0.030 → 続く
[0.60,0.65) n=341   実際=0.824 2SE=0.041 → 続く
[0.65,0.70) n=209   実際=0.837 2SE=0.051 → 続く
[0.70,0.75) n=33    実際=0.939 2SE=0.083 → 続く
[0.75,0.80) n=6     実際=0.833 2SE=0.304 → わからない
わからないの帯: [(np.float64(0.3), np.float64(0.35), 104), (np.float64(0.5), np.float64(0.55), 1023), (np.float64(0.75), np.float64(0.8), 6)]  合計件数: 1133 (22.7%)

== 帯の幅 0.02: 帯 / 件数 / 実際に続いた割合 / 2SE / 判定(2 SE で基準率と区別できるか)
[0.26,0.28) n=2     実際=0.000 2SE=0.000 → 止まる
[0.28,0.30) n=4     実際=0.250 2SE=0.433 → わからない
[0.30,0.32) n=10    実際=0.200 2SE=0.253 → 止まる
[0.32,0.34) n=23    実際=0.522 2SE=0.208 → わからない
[0.34,0.36) n=77    実際=0.532 2SE=0.114 → わからない
[0.36,0.38) n=143   実際=0.420 2SE=0.083 → 止まる
[0.38,0.40) n=183   実際=0.503 2SE=0.074 → 止まる
[0.40,0.42) n=274   実際=0.507 2SE=0.060 → 止まる
[0.42,0.44) n=380   実際=0.489 2SE=0.051 → 止まる
[0.44,0.46) n=451   実際=0.490 2SE=0.047 → 止まる
[0.46,0.48) n=512   実際=0.506 2SE=0.044 → 止まる
[0.48,0.50) n=484   実際=0.566 2SE=0.045 → わからない
[0.50,0.52) n=453   実際=0.576 2SE=0.046 → わからない
[0.52,0.54) n=389   実際=0.617 2SE=0.049 → わからない
[0.54,0.56) n=346   実際=0.702 2SE=0.049 → 続く
[0.56,0.58) n=444   実際=0.732 2SE=0.042 → 続く
[0.58,0.60) n=132   実際=0.780 2SE=0.072 → 続く
[0.60,0.62) n=204   実際=0.775 2SE=0.059 → 続く
[0.62,0.64) n=179   実際=0.827 2SE=0.057 → 続く
[0.64,0.66) n=113   実際=0.841 2SE=0.069 → 続く
[0.66,0.68) n=84    実際=0.786 2SE=0.090 → 続く
[0.68,0.70) n=58    実際=0.897 2SE=0.080 → 続く
[0.70,0.72) n=28    実際=0.857 2SE=0.132 → 続く
[0.72,0.74) n=18    実際=1.000 2SE=0.000 → 続く
[0.74,0.76) n=6     実際=1.000 2SE=0.000 → 続く
[0.76,0.78) n=3     実際=0.667 2SE=0.544 → わからない
わからないの帯: [(np.float64(0.28), np.float64(0.3), 4), (np.float64(0.32), np.float64(0.34), 23), (np.float64(0.34), np.float64(0.36), 77), (np.float64(0.48), np.float64(0.5), 484), (np.float64(0.5), np.float64(0.52), 453), (np.float64(0.52), np.float64(0.54), 389), (np.float64(0.76), np.float64(0.78), 3)]  合計件数: 1433 (28.7%)
