番号	名前	到達	足	ティック	板の待ち行列	イベント駆動	ベクトル化	市場影響と約定の模型	段(機構)	段(既定)	遅延	取り消しの扱い	他の区分へ	安全側の所見	尽きていない理由	報告書の最後の記載の行	段の表の行	遅延(原文)	取り消しの扱い(原文)
1	Basana	到達済み	○	×	×	○		○	4・6	4・6	未確認	未確認	区分2			6836	10517	未確認(走査 8 本。当たり 0 件)	未確認(走査 8 本。当たり 0 件)
2	Backtrader	到達済み	○			×		○	4	1	未確認	該当なし	区分2			6839	10497	未確認(走査 8 本。当たり 0 件)	該当なし。当たり `Canceled, Expired, Margin, Rejected = range(9)` は自分の注文の状態
3	PySystemtrade	到達済み	○					○	2	2	未確認	該当なし	区分2			9401	10500	未確認。当たり 1 件 `# No delaying done here so we assume positions are already delayed` は持ち高の遅らせ方の注記	該当なし。当たり `def cancel_order_on_stack(self, brokerOrder):` は実弾の側
4	PyBroker	到達済み	○				×	○	4・6	1	未確認	該当なし	区分2・区分4			6845	10498	未確認(走査 8 本。当たり 0 件)	該当なし。走査 8 本で取り消しの当たり 0 件
5	Lean CLI	到達済み	○				×	×								6849			
6	Ziplime	到達済み	○			○		○	4・6	4	未確認	未確認	区分2・区分3・区分6			9650	10510	未確認。1 回目 `code=000`、打ち直して既定枝 `master` は取れたが、追跡ファイルの一覧の走査で当たり 0 件	未確認(同じ理由)
7	Superalgos	到達済み	○		×			○	1	1	未確認	未確認	区分2			6855	10495	未確認(走査 8 本。当たり 0 件)	未確認(走査 8 本。当たり 0 件)
8	OpenTrader	到達済み	○					○	1	1	未確認	該当なし	区分2			9402	10493	未確認(走査 8 本。当たり 0 件)	該当なし。当たりは注文の型の `Canceled` だけ
9	CryptoSignal	到達済み											区分3・区分7			6861			
10	fast-trade	到達済み	○					×					区分3・区分4・区分6			6864			
11	python3	到達済み	○										区分2・区分6		個別の要素が未決	8452			
12	pybotters	到達済み			×								区分2・区分3			6871			
13	DeviaVir/zenbot	到達済み	○	○	×	○		○	3・4	3・4	未確認	未確認	区分2			6874	10506	未確認(走査 8 本。当たり 0 件)	未確認(走査 8 本。当たり 0 件)
14	Bot18	到達済み											区分2		到達済みだが印が無い	8450			
15	Mendl-Labs/BacktestingCore	到達済み	○		×	×		○	6	6(推定)	在る	該当なし				6879	10518	在る。`//! Variable latency simulation with jitter, spikes, and realistic network modeling` と `pub base_latency_ms: u64,` と `pub jitter_fraction: f64,` と `pub min_latency_ms: u64,` と `pub max_latency_ms: u64,`。ただし 15 番は 28 回目の要約の型 1(機構はあるが検証の実行経路が呼ばない)に挙がっている(知見 9)	該当なし。当たり `Cancelled,` は振り分けの側の注文の状態
16	Luczinsritter/event_driven_backtesting_engine	到達済み	○	×		×		×								6882			
17	info.license	到達済み											区分5			6887			
18	zipline-reloaded	到達済み	○			○		○	4・6	4	未確認	該当なし				9857	10509	未確認(走査 8 本。当たり 0 件)	該当なし。当たり `def cancel(self):` は自分の注文
19	Jesse	到達済み	○					○	2	2	未確認	該当なし	区分2・区分6	作業者向けの手引きの同梱		9403	10501	未確認(走査 8 本。当たり 0 件)	該当なし。当たり `canceled_at = BigIntegerField(null=True)` は自分の注文
20	VnPy	到達済み	○	○		×		○	2	2	未確認	該当なし	区分2			6896	10502	未確認(走査 2 本。当たり 0 件)	該当なし。当たり `Status.CANCELLED: StopOrderStatus.CANCELLED,` は自分の注文
21	Qlib	到達済み	○				×	○	4・6	1	未確認	該当なし	区分4・区分5			6899	10499	未確認。当たり 1 件 `# - This may cause delay when uploading results` は結果の書き出しの話で、埋まり方ではない	該当なし。走査 8 本で取り消しの当たり 0 件
22	Lean CLI	到達済み											区分2		到達済みだが印が無い	8451			
23	hftbacktest	到達済み	×	○	○	○	×	○	3・5	3・5	在る	在る	区分2			6906	10512	在る。`pub struct ConstantLatency {` と `entry_latency: i64,` と `pub fn new(entry_latency: i64, response_latency: i64) -> Self {`。注文の到着と応答の両方に別の値を持つ	軸が立つ。`fn depth(&self, order: &mut Order, prev_qty: f64, new_qty: f64, depth: &MD);` で深さの変化を列の前の量に反映する。約定の口 `fn trade(...)` と別の口で受けているが、取り消しの分をどう配分するかはこの回に読んだ範囲では決まらない
31	Ros522/backtestlob	到達済み		○	×											4614			
32	FlashAlpha-lab/flashalpha-fill-simulator	到達済み			×			○	1	1	未確認	該当なし				4615	10494	未確認(走査 8 本。当たり 0 件)	該当なし。当たり `Usually candidates that have not yet filled, not yet been cancelled.` は自分の注文の候補
33	SarthakDalmia1/backtesting_execution_simulator	到達済み			○			○	5・6	5	在る	未確認				4616	10515	在る。`Timestamp submit_time = clock_.now() + config_.latency.order_submit_latency_ns;` と `Timestamp cancel_time = clock_.now() + config_.latency.order_cancel_latency_ns;`。注文と取り消しに別々の遅延を掛ける(知見 8)	未確認。自分の注文の `bool ExecutionSimulator::cancel_order(OrderId order_id) {` は読めたが、先行注文の側の扱いはこの回に読んだ範囲では決まらない
34	SLMolenaar/QuantCore	到達済み														4617			
35	thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator-	到達済み						○	6	6	未確認	未確認				4618	10519	未確認(走査 2 本。当たり 0 件)	未確認(走査 2 本。当たり 0 件)
36	shubhamcodez/Market-Impact-Model	到達済み						○	6	6	未確認	未確認				4619	10520	未確認(走査 3 本。当たり 0 件)	未確認(走査 3 本。当たり 0 件)
37	ThePredictiveDev/Automated-Financial-Market-Trading-System	到達済み			○	○		○	5・6	5	在る	在る	区分2			10426	10532	在る。`self.latency_ms: int = 0` と `available_at = self._current_time + pd.Timedelta(milliseconds=int(self.latency_ms))`。既定は 0(`parser.add_argument("--latency-ms", type=int, default=0)`)	軸が立つ。取り消しの時点で繰り上がる(104 の立場)。逐語 `queue.remove(order)`
38	microsoft/MarS	到達済み			○			○	5	5(推定)	未確認	在る				4621	10514	未確認(走査 8 本。当たり 0 件)	軸が立つ。取り消しが供給の側の注文として板に入る。逐語 `if order.is_cancel_buy:` と `trans = self.bids[index].update_with_cancel_order(order)` と `cancel_transactions = self._del_canceled_call_auction_orders()`
39	paperswithbacktest/awesome-systematic-trading	到達済み														4622			
40	OpenMarket	到達済み	○													5725			
41	prediction-market-backtesting	到達済み		○		○							区分6	作業者向けの手引きの同梱		6106			
42	shiyu-coder/Kronos	到達済み											区分4・区分6			4625			
43	QuantDinger	到達済み	○										区分2・区分6			4626			
44	lo2cin4	到達済み	○				×						区分4	作業者向けの手引きの同梱		5904			
45	ForexTester	到達済み	○	○	×	×	×	○	2	2	未確認	該当なし				10082	10528	未確認(走査 1 本 = 文言の束。遅延の語の当たり 0 件)	該当なし。段(機構) が 5 に届かないので先行注文という物が立たない
46	MT4裁量トレード練習君プレミアム	到達済み	○	×												5727			
48	BacktestingMax	到達済み	○													5729			
49	GFT Backtest Software	未到達													その他	5731			
50	AlgoTest	到達済み	○	×	×	×	×	○	1	1	該当なし	該当なし				10088	10529	該当なし(文書上の主張)。逐語 `It does not take into consideration the market depth and liquidity of the instrument, slippages & broker congestion.`	該当なし。同じ理由
51	QUANTAXIS	到達済み	○			×	×	○	0	0	未確認	該当なし	区分2・区分3・区分5	外部送信の口		9404	10491	未確認(走査 8 本。当たり 0 件)	該当なし。走査の当たり `CANCEL = 400` と `CANCEL_PART = 402` は自分の注文の状態
52	QuantConnect	到達済み	○	○		○							区分2			7292			
53	Rqalpha	到達済み	○	○	×	○	×	○	3・4	4	未確認	該当なし	区分2			7850	10511	未確認(走査 8 本。当たり 0 件)	該当なし。当たり `def set_pending_cancel(self):` は自分の注文
54	finmarketpy	到達済み	○		×	×	○	○	該当なし	該当なし	該当なし	該当なし	区分4			7851	10526	該当なし(注文の物を持たない)	該当なし(同じ理由)
55	backtesting.py	到達済み	○													6344			
56	zvt	到達済み	○													5733			
