番号	名前	初出の回	発見の経路	発見の出典	区分1の番号	状態	E1a	E1b	E2	E3a	E3b	E4	E5	E6	段_E1a	段_E1b	段_E2	段_E3a	段_E3b	段_E4	段_E5	段_E6	他の区分へ	安全側の所見	最後の記載の回	最後の記載の行
8-001	qf-lib	0	区分1から	https://github.com/quarkfin/qf-lib	62	深掘り	なし	印	印	なし	印	印	印	なし	-	2	3	-	3	3	3	-			5	1646
8-002	PineForge	0	区分1から	https://github.com/pineforge-4pass/pineforge-engine	70	深掘り	印	印	なし	印	印	印	印	なし	5	5	-	3	3	3	未判別	-			5	1647
8-003	prediction-market-backtester	0	区分1から	https://github.com/Quentin-Piot/prediction-market-backtester	92	浅い	印	印	印	未判別	未判別	印	印	未判別	5	2	3	未判別	未判別	3	未判別	未判別			5	1648
8-004	akurkar07/OrderBook	0	区分1から	https://github.com/akurkar07/OrderBook	101	危険で導入停止	印	印	なし	なし	なし	なし	印	なし	3	2	-	-	-	-	3	-			5	1649
8-005	Exegy	0	区分1から	https://www.exegy.com/	117	登録が要る	未判別	未判別	未判別	未判別	未判別	未判別	未判別	未判別	未判別	未判別	未判別	未判別	未判別	未判別	未判別	未判別			5	1650
8-006	freqtrade	1	検索	https://github.com/freqtrade/freqtrade		浅い	なし	印	印	印	未判別	印	印	なし	-	2	3	3	未判別	3	2	-			5	1651
8-007	backtrex	1	検索	https://backtrex.com/en/blog/ohlc-data-quality-validation-backtesting-guide		浅い	印	なし	印	未判別	印	印	印	なし	2	-	3	未判別	3	3	2	-			5	1652
8-008	FX Replay	1	検索	https://fxreplay.com/		浅い	未判別	なし	未判別	未判別	未判別	印	未判別	未判別	未判別	-	未判別	未判別	未判別	2	未判別	未判別			5	1653
8-009	nicferrari/backtester	1	検索	https://github.com/nicferrari/backtester		深掘り	なし	印	なし	なし	なし	印	なし	なし	-	2	-	-	-	3	-	-			5	1654
8-010	arXiv:2603.20319	1	検索	https://arxiv.org/abs/2603.20319		深掘り	印	印	印	なし	なし	なし	印	なし	1	1	1	-	-	-	1	-			5	1655
8-011	arXiv:2512.12924	1	検索	https://arxiv.org/abs/2512.12924		深掘り	なし	印	印	なし	印	印	印	なし	-	3	4	-	4	3	未判別	-			5	1656
8-012	VectorBT	1	X	https://github.com/polakowo/vectorbt		深掘り	なし	印	印	なし	印	印	印	なし	-	3	3	-	3	4	未判別	-			5	1657
8-013	rusty-bot	1	X	https://x.com/WannabeBotter/status/1810558269565571211		判別に一次資料が要る	なし	印	印	未判別	なし	印	未判別	なし	-	2	3	未判別	-	2	未判別	-			5	1658
8-014	Fincept Terminal	1	X	https://github.com/Fincept-Corporation/FinceptTerminal		深掘り	印	印	印	なし	印	印	印	なし	3	未判別	2	-	未判別	未判別	3	-			5	1659
8-015	TradingView のリプレイ機能	1	検索	生ログ docs/DATA/probes/20260923_tools_8_run1.log:98-100(検索計画3、URL は生ログに無い)		深掘り	なし	なし	なし	なし	印	印	なし	なし	-	-	-	-	2	2	-	-			5	1660
8-016	Exactpro の reconciliation testing	1	検索	生ログ docs/DATA/probes/20260923_tools_8_run1.log:95-97(検索計画2、URL は生ログに無い)		判別に一次資料が要る	印	印	印	未判別	未判別	未判別	未判別	未判別	4	4	未判別	未判別	未判別	未判別	未判別	未判別			5	1661
