current_impl interpreter=python3 start=2026-09-25T11:39:28Z end=2026-09-25T11:39:37Z rc=0 :: current_impl: 46 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/r17-1/runs/current_impl.tsv; {'対応なし': 37, '正解と一致': 8, '不一致': 1}; 2 回で違う=0
new_impl interpreter=python3 start=2026-09-25T11:39:37Z end=2026-09-25T11:39:46Z rc=0 :: new_impl: 46 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/r17-1/runs/new_impl.tsv; {'正解と一致': 46}; 2 回で違う=0
mutant interpreter=python3 start=2026-09-25T11:39:46Z end=2026-09-25T11:39:56Z rc=0 :: mutant: 46 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/r17-1/runs/mutant.tsv; {'正解と一致': 45, '不一致': 1}; 2 回で違う=0
opp_basana interpreter=/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/basana/bin/python start=2026-09-25T11:39:56Z end=2026-09-25T11:40:04Z rc=0 :: opp_basana: 46 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/r17-1/runs/opp_basana.tsv; {'正解と一致': 24, '対応なし': 20, '不一致': 2}; 2 回で違う=0
opp_ziplime@label=start interpreter=/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/ziplime/bin/python start=2026-09-25T11:40:04Z end=2026-09-25T11:44:29Z rc=0 :: opp_ziplime@label=start: 46 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/r17-1/runs/opp_ziplime@label=start.tsv; {'対応なし': 30, '不一致': 8, '正解と一致': 2, '結果なし': 6}; 2 回で違う=0
opp_ziplime@label=close interpreter=/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/ziplime/bin/python start=2026-09-25T11:44:29Z end=2026-09-25T11:49:02Z rc=0 :: opp_ziplime@label=close: 46 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/r17-1/runs/opp_ziplime@label=close.tsv; {'対応なし': 30, '不一致': 9, '正解と一致': 1, '結果なし': 6}; 2 回で違う=0
opp_zipline_reloaded interpreter=/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/zipline-reloaded/bin/python start=2026-09-25T11:49:02Z end=2026-09-25T11:49:37Z rc=0 :: opp_zipline_reloaded: 46 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/r17-1/runs/opp_zipline_reloaded.tsv; {'対応なし': 33, '不一致': 7, '正解と一致': 6}; 2 回で違う=0
opp_lib_pybroker interpreter=/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/lib-pybroker/bin/python start=2026-09-25T11:49:37Z end=2026-09-25T11:49:40Z rc=0 :: opp_lib_pybroker: 46 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/r17-1/runs/opp_lib_pybroker.tsv; {'対応なし': 34, '正解と一致': 8, '不一致': 4}; 2 回で違う=0
opp_qf_lib interpreter=/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/qf-lib/bin/python start=2026-09-25T11:49:40Z end=2026-09-25T11:50:03Z rc=0 :: opp_qf_lib: 46 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/r17-1/runs/opp_qf_lib.tsv; {'対応なし': 34, '不一致': 7, '正解と一致': 4, '結果なし': 1}; 2 回で違う=0
opp_backtrader@preload=true interpreter=/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/backtrader/bin/python start=2026-09-25T11:50:03Z end=2026-09-25T11:50:04Z rc=0 :: opp_backtrader@preload=true: 46 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/r17-1/runs/opp_backtrader@preload=true.tsv; {'対応なし': 23, '正解と一致': 14, '不一致': 8, '結果なし': 1}; 2 回で違う=0
opp_backtrader@preload=false interpreter=/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/backtrader/bin/python start=2026-09-25T11:50:04Z end=2026-09-25T11:50:06Z rc=0 :: opp_backtrader@preload=false: 46 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/r17-1/runs/opp_backtrader@preload=false.tsv; {'対応なし': 23, '正解と一致': 14, '不一致': 8, '結果なし': 1}; 2 回で違う=0
