target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1
opp_ziplime	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000], [""funding"", 1700265600000000000], [""bar"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	ziplime の市場データは資産ごとの OHLCV の足(market_data_source の DataFrame の date/sid/open/high/low/close/price/volume)で、約定・資金調達 を型として戦略に渡す口が無い(DataType は MARKET_DATA と CUSTOM の 2 つ)。試したこと: 約定・資金調達 の列だけの DataFrame を market_data_source にして run_simulation -> AttributeError: 'NoneType' object has no attribute 'sid'
opp_ziplime	p1-one-call-per-event	P0-1	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	日足 5 本を渡し、handle_data の各回に context.get_datetime() を記録
opp_ziplime	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000]]}"	ziplime の市場データは資産ごとの OHLCV の足(market_data_source の DataFrame の date/sid/open/high/low/close/price/volume)で、約定 を型として戦略に渡す口が無い(DataType は MARKET_DATA と CUSTOM の 2 つ)。試したこと: 約定 の列だけの DataFrame を market_data_source にして run_simulation -> AttributeError: 'NoneType' object has no attribute 'sid'
opp_ziplime	p2-iso-utc	P0-2	value	正解と一致	正解と一致	2 回の実行で同じ	ok	1704067200123456789	ok	1704067200123456789	1704067200123456789	ziplime のデータの日時は polars の Datetime。pl.Series([iso]).str.to_datetime(time_unit='ns', time_zone='UTC') を整数にした
opp_ziplime	p2-iso-offset	P0-2	value	正解と一致	正解と一致	2 回の実行で同じ	ok	1704067200123456789	ok	1704067200123456789	1704067200123456789	ziplime のデータの日時は polars の Datetime。pl.Series([iso]).str.to_datetime(time_unit='ns', time_zone='UTC') を整数にした
opp_ziplime	p2-event-time-exact	P0-2	value	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400000000000, 1700092800000000000]}"	ok	"{""observed_ts_ns"": [1700006400000000000, 1700092800000000000]}"	"{""observed_ts_ns"": [1700006400123456789]}"	足を polars の Datetime('ns') で渡した。handle_data の context.get_datetime()(呼び出しは暦の日ごと)。SimulationClock は 2 日以上の区間を要する(simulation_clock.py 33 行)ので、足が 1 日に収まる場面は 1 日多く走らせた
opp_ziplime	p2-one-ns-apart	P0-2	capability	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400000000000, 1700092800000000000]}"	ok	"{""observed_ts_ns"": [1700006400000000000, 1700092800000000000]}"	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	足を polars の Datetime('ns') で渡した。handle_data の context.get_datetime()(呼び出しは暦の日ごと)。SimulationClock は 2 日以上の区間を要する(simulation_clock.py 33 行)ので、足が 1 日に収まる場面は 1 日多く走らせた
opp_ziplime	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	ziplime の市場データは資産ごとの OHLCV の足(market_data_source の DataFrame の date/sid/open/high/low/close/price/volume)で、trade を型として戦略に渡す口が無い(DataType は MARKET_DATA と CUSTOM の 2 つ)。試したこと: trade の列だけの DataFrame を market_data_source にして run_simulation -> AttributeError: 'NoneType' object has no attribute 'sid'
opp_ziplime	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	ziplime の市場データは資産ごとの OHLCV の足(market_data_source の DataFrame の date/sid/open/high/low/close/price/volume)で、book_snapshot を型として戦略に渡す口が無い(DataType は MARKET_DATA と CUSTOM の 2 つ)。試したこと: book_snapshot の列だけの DataFrame を market_data_source にして run_simulation -> AttributeError: 'NoneType' object has no attribute 'sid'
opp_ziplime	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	ziplime の市場データは資産ごとの OHLCV の足(market_data_source の DataFrame の date/sid/open/high/low/close/price/volume)で、book_delta を型として戦略に渡す口が無い(DataType は MARKET_DATA と CUSTOM の 2 つ)。試したこと: book_delta の列だけの DataFrame を market_data_source にして run_simulation -> AttributeError: 'NoneType' object has no attribute 'sid'
opp_ziplime	p3-bar	P0-3	capability	不一致	不一致	2 回の実行で同じ	ok	"{""fields"": {""close"": 100.5, ""high"": 101.0, ""low"": 99.0, ""open"": 100.0, ""volume"": 12.0}, ""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000]]}"	ok	"{""fields"": {""close"": 100.5, ""high"": 101.0, ""low"": 99.0, ""open"": 100.0, ""volume"": 12.0}, ""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000]]}"	"{""fields"": {""close"": 100.5, ""high"": 101.0, ""low"": 99.0, ""open"": 100.0, ""volume"": 12.0}, ""sequence"": [[""bar"", 1700092800000000000]]}"	日足 1 本。data.current で読んだ。SimulationClock は 2 日以上の区間を要する(simulation_clock.py 33 行)ので、足が 1 日に収まる場面は 1 日多く走らせた
opp_ziplime	p3-funding	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""rate"": 0.0001}, ""sequence"": [[""funding"", 1700092800000000000]]}"	ziplime の市場データは資産ごとの OHLCV の足(market_data_source の DataFrame の date/sid/open/high/low/close/price/volume)で、funding を型として戦略に渡す口が無い(DataType は MARKET_DATA と CUSTOM の 2 つ)。試したこと: funding の列だけの DataFrame を market_data_source にして run_simulation -> AttributeError: 'NoneType' object has no attribute 'sid'
opp_ziplime	p3-liquidation	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 4990000.0, ""qty"": 0.2, ""side"": ""sell""}, ""sequence"": [[""liquidation"", 1700092800000000000]]}"	ziplime の市場データは資産ごとの OHLCV の足(market_data_source の DataFrame の date/sid/open/high/low/close/price/volume)で、liquidation を型として戦略に渡す口が無い(DataType は MARKET_DATA と CUSTOM の 2 つ)。試したこと: liquidation の列だけの DataFrame を market_data_source にして run_simulation -> AttributeError: 'NoneType' object has no attribute 'sid'
opp_ziplime	p3-mixed-one-run	P0-3	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""bar"", 1700352000000000000], [""funding"", 1700438400000000000], [""liquidation"", 1700524800000000000]]}"	ziplime の市場データは資産ごとの OHLCV の足(market_data_source の DataFrame の date/sid/open/high/low/close/price/volume)で、足以外の 5 種 を型として戦略に渡す口が無い(DataType は MARKET_DATA と CUSTOM の 2 つ)。試したこと: 足以外の 5 種 の列だけの DataFrame を market_data_source にして run_simulation -> AttributeError: 'NoneType' object has no attribute 'sid'
opp_ziplime	p3-clock-timer	P0-3	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""clock_calls_ns"": [1700352000000000000]}"	ok	"{""clock_calls_ns"": [1700352000000000000]}"	"{""clock_calls_ns"": [1700352000000000000]}"	1 回目の呼び出しで context.add_event(EventRule の子: should_trigger が dt == T0+4 日, 呼び戻し) を頼んだ。handle_data の時刻 [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000, 1700524800000000000]
opp_ziplime	p3-notice-accepted	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""notices"": [""accepted""]}"	注文の受付・拒否・約定を戦略に知らせる呼び出しが無い(戦略は get_order / get_open_orders で問い合わせる。algorithm file から読む関数は initialize / handle_data / before_trading_start / analyze)。試したこと: run_simulation(..., on_order=...) -> TypeError: run_simulation() got an unexpected keyword argument 'on_order' / run_simulation(..., order_callback=...) -> TypeError: run_simulation() got an unexpected keyword argument 'order_callback'
opp_ziplime	p3-notice-rejected	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""notices"": [""rejected""]}"	注文の受付・拒否・約定を戦略に知らせる呼び出しが無い(戦略は get_order / get_open_orders で問い合わせる。algorithm file から読む関数は initialize / handle_data / before_trading_start / analyze)。試したこと: run_simulation(..., on_order=...) -> TypeError: run_simulation() got an unexpected keyword argument 'on_order' / run_simulation(..., order_callback=...) -> TypeError: run_simulation() got an unexpected keyword argument 'order_callback'
