opp_basana venv=basana start=2026-09-23T17:41:16Z end=2026-09-23T17:41:17Z rc=0 :: opp_basana: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_basana.tsv; {'正解と一致': 25, '不一致': 4, '対応なし': 3}; 2 回で違う=0
opp_ziplime venv=ziplime start=2026-09-23T17:41:17Z end=2026-09-23T17:41:30Z rc=0 :: opp_ziplime: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_ziplime.tsv; {'対応なし': 16, '正解と一致': 10, '不一致': 5, '結果なし': 1}; 2 回で違う=0
opp_zipline_reloaded venv=zipline-reloaded start=2026-09-23T17:41:30Z end=2026-09-23T17:41:38Z rc=0 :: opp_zipline_reloaded: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_zipline_reloaded.tsv; {'対応なし': 19, '正解と一致': 9, '不一致': 4}; 2 回で違う=0
opp_lib_pybroker venv=lib-pybroker start=2026-09-23T17:41:38Z end=2026-09-23T17:41:40Z rc=0 :: opp_lib_pybroker: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_lib_pybroker.tsv; {'対応なし': 19, '正解と一致': 10, '不一致': 3}; 2 回で違う=0
opp_qf_lib venv=qf-lib start=2026-09-23T17:41:40Z end=2026-09-23T17:41:44Z rc=0 :: opp_qf_lib: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_qf_lib.tsv; {'対応なし': 20, '正解と一致': 11, '不一致': 1}; 2 回で違う=0
opp_backtrader venv=backtrader start=2026-09-23T17:41:44Z end=2026-09-23T17:41:45Z rc=0 :: opp_backtrader: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_backtrader.tsv; {'対応なし': 12, '正解と一致': 15, '不一致': 5}; 2 回で違う=0
opp_hftbacktest venv=hftbacktest start=2026-09-23T17:41:45Z end=2026-09-23T17:41:54Z rc=0 :: opp_hftbacktest: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_hftbacktest.tsv; {'対応なし': 5, '不一致': 9, '正解と一致': 18}; 2 回で違う=0
opp_rqalpha venv=rqalpha start=2026-09-23T17:41:54Z end=2026-09-23T17:41:55Z rc=0 :: opp_rqalpha: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_rqalpha.tsv; {'対応なし': 14, '不一致': 7, '正解と一致': 11}; 2 回で違う=0
opp_pybotters venv=pybotters start=2026-09-23T17:41:55Z end=2026-09-23T17:41:55Z rc=0 :: opp_pybotters: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_pybotters.tsv; {'対応なし': 31, '正解と一致': 1}; 2 回で違う=0
opp_backtesting venv=backtesting start=2026-09-23T17:41:55Z end=2026-09-23T17:41:56Z rc=0 :: opp_backtesting: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_backtesting.tsv; {'対応なし': 19, '不一致': 8, '正解と一致': 5}; 2 回で違う=0
opp_qstrader venv=qstrader start=2026-09-23T17:41:56Z end=2026-09-23T17:41:57Z rc=0 :: opp_qstrader: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_qstrader.tsv; {'対応なし': 25, '不一致': 3, '正解と一致': 4}; 2 回で違う=0
opp_quantcore venv=quantcore start=2026-09-23T17:41:57Z end=2026-09-23T17:41:58Z rc=0 :: opp_quantcore: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_quantcore.tsv; {'対応なし': 18, '正解と一致': 11, '不一致': 3}; 2 回で違う=0
opp_quanttrader venv=quanttrader start=2026-09-23T17:41:58Z end=2026-09-23T17:41:59Z rc=0 :: opp_quanttrader: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_quanttrader.tsv; {'対応なし': 17, '正解と一致': 10, '不一致': 5}; 2 回で違う=0
opp_pyalgotrade venv=pyalgotrade start=2026-09-23T17:41:59Z end=2026-09-23T17:41:59Z rc=0 :: opp_pyalgotrade: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_pyalgotrade.tsv; {'対応なし': 15, '正解と一致': 12, '不一致': 5}; 2 回で違う=0
opp_freqtrade venv=freqtrade start=2026-09-23T17:41:59Z end=2026-09-23T17:42:04Z rc=0 :: opp_freqtrade: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_freqtrade.tsv; {'対応なし': 19, '不一致': 9, '正解と一致': 4}; 2 回で違う=0
opp_vnpy venv=vnpy start=2026-09-23T17:42:04Z end=2026-09-23T17:42:05Z rc=0 :: opp_vnpy: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_vnpy.tsv; {'対応なし': 14, '正解と一致': 11, '不一致': 7}; 2 回で違う=0
opp_fast_trade venv=v5f start=2026-09-23T17:42:26Z end=2026-09-23T17:42:28Z rc=0 :: opp_fast_trade: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_opp_fast_trade.tsv; {'対応なし': 30, '正解と一致': 2}; 2 回で違う=0
start=2026-09-23T17:42:28Z repro_33_execution_simulator: 32 scenes -> /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/item_0/item0_r1_materials_repro_33_execution_simulator.tsv; {'対応なし': 28, '正解と一致': 4}; 2 回で違う=0
