target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1	choose	settings_1	types_1
opp_barter	p1-merge-by-time	P0-1	value	不一致	不一致	2 回の実行で同じ	ok	"{""sequence"": [[""trade"", 1700179200000000000], [""trade"", 1700438400000000000], [""book_snapshot"", 1700092800000000000], [""book_snapshot"", 1700352000000000000], [""book_delta"", 1700265600000000000]]}"	ok	"{""sequence"": [[""trade"", 1700179200000000000], [""trade"", 1700438400000000000], [""book_snapshot"", 1700092800000000000], [""book_snapshot"", 1700352000000000000], [""book_delta"", 1700265600000000000]]}"	"{""sequence"": [[""book_snapshot"", 1700092800000000000], [""trade"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""book_snapshot"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 ['trade', 'book_snapshot', 'book_delta', 'bar', 'liquidation'] → この場面の型 {'A': 'trade', 'B': 'book_snapshot', 'C': 'book_delta'}。市場の事象の入力は 1 本(MarketDataInMemory の Vec)なので、入力を渡す順に連結して渡した。戦略の各回に InstrumentDataState が受けた (型, time_exchange)	"{""carriers"": [""rust:barter_data::event::DataKind::Trade (kind_name public_trade)"", ""rust:barter_data::event::DataKind::Trade (kind_name public_trade)"", ""rust:barter_data::event::DataKind::OrderBook(OrderBookEvent::Snapshot) (kind_name l2)"", ""rust:barter_data::event::DataKind::OrderBook(OrderBookEvent::Snapshot) (kind_name l2)"", ""rust:barter_data::event::DataKind::OrderBook(OrderBookEvent::Update) (kind_name l2)""]}"	"{""balances"": ""usdt 1,000,000(場面が口座を名指さないとき)"", ""engine_start"": ""2023-11-01T00:00:00Z"", ""execution"": ""ExecutionConfig::Mock"", ""fees_percent"": ""0(場面が費用を名指さないとき)"", ""instrument"": ""binance_spot BTCUSDT spot"", ""latency_ms"": ""0(場面が遅れを名指さないとき)"", ""risk"": ""DefaultRiskManager"", ""summary_interval"": ""Daily"", ""trading_state"": ""Enabled""}"	"[{""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::system::config::InstrumentConfig"", ""what"": ""InstrumentConfig(binance_spot BTCUSDT spot)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::system::config::ExecutionConfig::Mock"", ""what"": ""ExecutionConfig::Mock(latency_ms=0, fees_percent=0.0, balances usdt=1000000.0)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""場面の入力""], ""fn"": ""rust:barter::backtest::market_data::MarketDataInMemory::new"", ""what"": ""MarketDataInMemory::new(場面の事象の 1 本の流れ)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値"", ""公開の既定""], ""fn"": ""rust:barter::engine::state::builder::EngineStateBuilder"", ""what"": ""EngineStateBuilder::new(instruments, DefaultGlobalData, 利用者の InstrumentDataState).time_engine_start(2023-11-01T00:00:00Z).trading_state(Enabled).build()"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""公開の既定""], ""fn"": ""rust:barter::risk::DefaultRiskManager"", ""what"": ""BacktestArgsDynamic(risk = DefaultRiskManager::default())"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::backtest::backtest"", ""what"": ""backtest(args_constant(summary_interval Daily), args_dynamic)"", ""when"": ""開始前""}]"	"{""A"": ""trade"", ""B"": ""book_snapshot"", ""C"": ""book_delta""}"
opp_barter	p1-one-call-per-event	P0-1	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000], ""raw"": {""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}}"	ok	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000], ""raw"": {""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}}"	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000]}"	足を Candle の MarketEvent にして 1 本の流れで渡し、戦略の各回に InstrumentDataState が受けた (型, time_exchange)	"{""carriers"": [""rust:barter_data::event::DataKind::Candle (kind_name candle)"", ""rust:barter_data::event::DataKind::Candle (kind_name candle)"", ""rust:barter_data::event::DataKind::Candle (kind_name candle)"", ""rust:barter_data::event::DataKind::Candle (kind_name candle)"", ""rust:barter_data::event::DataKind::Candle (kind_name candle)""]}"	"{""balances"": ""usdt 1,000,000(場面が口座を名指さないとき)"", ""engine_start"": ""2023-11-01T00:00:00Z"", ""execution"": ""ExecutionConfig::Mock"", ""fees_percent"": ""0(場面が費用を名指さないとき)"", ""instrument"": ""binance_spot BTCUSDT spot"", ""latency_ms"": ""0(場面が遅れを名指さないとき)"", ""risk"": ""DefaultRiskManager"", ""summary_interval"": ""Daily"", ""trading_state"": ""Enabled""}"	"[{""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::system::config::InstrumentConfig"", ""what"": ""InstrumentConfig(binance_spot BTCUSDT spot)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::system::config::ExecutionConfig::Mock"", ""what"": ""ExecutionConfig::Mock(latency_ms=0, fees_percent=0.0, balances usdt=1000000.0)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""場面の入力""], ""fn"": ""rust:barter::backtest::market_data::MarketDataInMemory::new"", ""what"": ""MarketDataInMemory::new(場面の事象の 1 本の流れ)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値"", ""公開の既定""], ""fn"": ""rust:barter::engine::state::builder::EngineStateBuilder"", ""what"": ""EngineStateBuilder::new(instruments, DefaultGlobalData, 利用者の InstrumentDataState).time_engine_start(2023-11-01T00:00:00Z).trading_state(Enabled).build()"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""公開の既定""], ""fn"": ""rust:barter::risk::DefaultRiskManager"", ""what"": ""BacktestArgsDynamic(risk = DefaultRiskManager::default())"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::backtest::backtest"", ""what"": ""backtest(args_constant(summary_interval Daily), args_dynamic)"", ""when"": ""開始前""}]"	null
opp_barter	p1-typed-events	P0-1	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000]]}"	ok	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000]]}"	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000]]}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 ['trade', 'book_snapshot', 'book_delta', 'bar', 'liquidation'] → この場面の型 ['trade', 'book_snapshot']。型の違う 2 件を道具の型(DataKind)の MarketEvent で 1 本の流れにして渡した。戦略の各回に受けた (型, time_exchange)	"{""carriers"": [""rust:barter_data::event::DataKind::Trade (kind_name public_trade)"", ""rust:barter_data::event::DataKind::OrderBook(OrderBookEvent::Snapshot) (kind_name l2)""]}"	"{""balances"": ""usdt 1,000,000(場面が口座を名指さないとき)"", ""engine_start"": ""2023-11-01T00:00:00Z"", ""execution"": ""ExecutionConfig::Mock"", ""fees_percent"": ""0(場面が費用を名指さないとき)"", ""instrument"": ""binance_spot BTCUSDT spot"", ""latency_ms"": ""0(場面が遅れを名指さないとき)"", ""risk"": ""DefaultRiskManager"", ""summary_interval"": ""Daily"", ""trading_state"": ""Enabled""}"	"[{""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::system::config::InstrumentConfig"", ""what"": ""InstrumentConfig(binance_spot BTCUSDT spot)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::system::config::ExecutionConfig::Mock"", ""what"": ""ExecutionConfig::Mock(latency_ms=0, fees_percent=0.0, balances usdt=1000000.0)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""場面の入力""], ""fn"": ""rust:barter::backtest::market_data::MarketDataInMemory::new"", ""what"": ""MarketDataInMemory::new(場面の事象の 1 本の流れ)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値"", ""公開の既定""], ""fn"": ""rust:barter::engine::state::builder::EngineStateBuilder"", ""what"": ""EngineStateBuilder::new(instruments, DefaultGlobalData, 利用者の InstrumentDataState).time_engine_start(2023-11-01T00:00:00Z).trading_state(Enabled).build()"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""公開の既定""], ""fn"": ""rust:barter::risk::DefaultRiskManager"", ""what"": ""BacktestArgsDynamic(risk = DefaultRiskManager::default())"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::backtest::backtest"", ""what"": ""backtest(args_constant(summary_interval Daily), args_dynamic)"", ""when"": ""開始前""}]"	"[""trade"", ""book_snapshot""]"
opp_barter	p2-iso-utc	P0-2	value	正解と一致	正解と一致	2 回の実行で同じ	ok	1704067200123456789	ok	1704067200123456789	1704067200123456789	道具の市場の事象の記録(MarketStreamEvent の JSON。道具の例の資料と同じ形)の time_exchange に ISO の文字列を書き、道具の読み込み(serde + chrono の DateTime<Utc>)で読んだ時刻。{'parsed_ns': 1704067200123456789}	"{""reader"": ""rust:barter_data::streams::consumer::MarketStreamEvent (serde の Deserialize、time_exchange: chrono::DateTime<Utc>)""}"	"{""balances"": ""usdt 1,000,000(場面が口座を名指さないとき)"", ""engine_start"": ""2023-11-01T00:00:00Z"", ""execution"": ""ExecutionConfig::Mock"", ""fees_percent"": ""0(場面が費用を名指さないとき)"", ""instrument"": ""binance_spot BTCUSDT spot"", ""latency_ms"": ""0(場面が遅れを名指さないとき)"", ""risk"": ""DefaultRiskManager"", ""summary_interval"": ""Daily"", ""trading_state"": ""Enabled""}"	[]	null
opp_barter	p2-iso-offset	P0-2	value	正解と一致	正解と一致	2 回の実行で同じ	ok	1704067200123456789	ok	1704067200123456789	1704067200123456789	道具の市場の事象の記録(MarketStreamEvent の JSON。道具の例の資料と同じ形)の time_exchange に ISO の文字列を書き、道具の読み込み(serde + chrono の DateTime<Utc>)で読んだ時刻。{'parsed_ns': 1704067200123456789}	"{""reader"": ""rust:barter_data::streams::consumer::MarketStreamEvent (serde の Deserialize、time_exchange: chrono::DateTime<Utc>)""}"	"{""balances"": ""usdt 1,000,000(場面が口座を名指さないとき)"", ""engine_start"": ""2023-11-01T00:00:00Z"", ""execution"": ""ExecutionConfig::Mock"", ""fees_percent"": ""0(場面が費用を名指さないとき)"", ""instrument"": ""binance_spot BTCUSDT spot"", ""latency_ms"": ""0(場面が遅れを名指さないとき)"", ""risk"": ""DefaultRiskManager"", ""summary_interval"": ""Daily"", ""trading_state"": ""Enabled""}"	[]	null
opp_barter	p2-event-time-exact	P0-2	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400123456789]}"	ok	"{""observed_ts_ns"": [1700006400123456789]}"	"{""observed_ts_ns"": [1700006400123456789]}"	約定(Trade)の time_exchange(DateTime<Utc>、ナノ秒)で渡し、戦略の各回に受けた時刻	"{""carriers"": [""rust:barter_data::event::DataKind::Trade (kind_name public_trade)""]}"	"{""balances"": ""usdt 1,000,000(場面が口座を名指さないとき)"", ""engine_start"": ""2023-11-01T00:00:00Z"", ""execution"": ""ExecutionConfig::Mock"", ""fees_percent"": ""0(場面が費用を名指さないとき)"", ""instrument"": ""binance_spot BTCUSDT spot"", ""latency_ms"": ""0(場面が遅れを名指さないとき)"", ""risk"": ""DefaultRiskManager"", ""summary_interval"": ""Daily"", ""trading_state"": ""Enabled""}"	"[{""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::system::config::InstrumentConfig"", ""what"": ""InstrumentConfig(binance_spot BTCUSDT spot)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::system::config::ExecutionConfig::Mock"", ""what"": ""ExecutionConfig::Mock(latency_ms=0, fees_percent=0.0, balances usdt=1000000.0)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""場面の入力""], ""fn"": ""rust:barter::backtest::market_data::MarketDataInMemory::new"", ""what"": ""MarketDataInMemory::new(場面の事象の 1 本の流れ)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値"", ""公開の既定""], ""fn"": ""rust:barter::engine::state::builder::EngineStateBuilder"", ""what"": ""EngineStateBuilder::new(instruments, DefaultGlobalData, 利用者の InstrumentDataState).time_engine_start(2023-11-01T00:00:00Z).trading_state(Enabled).build()"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""公開の既定""], ""fn"": ""rust:barter::risk::DefaultRiskManager"", ""what"": ""BacktestArgsDynamic(risk = DefaultRiskManager::default())"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::backtest::backtest"", ""what"": ""backtest(args_constant(summary_interval Daily), args_dynamic)"", ""when"": ""開始前""}]"	null
opp_barter	p2-one-ns-apart	P0-2	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	約定(Trade)の time_exchange(DateTime<Utc>、ナノ秒)で渡し、戦略の各回に受けた時刻	"{""carriers"": [""rust:barter_data::event::DataKind::Trade (kind_name public_trade)"", ""rust:barter_data::event::DataKind::Trade (kind_name public_trade)""]}"	"{""balances"": ""usdt 1,000,000(場面が口座を名指さないとき)"", ""engine_start"": ""2023-11-01T00:00:00Z"", ""execution"": ""ExecutionConfig::Mock"", ""fees_percent"": ""0(場面が費用を名指さないとき)"", ""instrument"": ""binance_spot BTCUSDT spot"", ""latency_ms"": ""0(場面が遅れを名指さないとき)"", ""risk"": ""DefaultRiskManager"", ""summary_interval"": ""Daily"", ""trading_state"": ""Enabled""}"	"[{""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::system::config::InstrumentConfig"", ""what"": ""InstrumentConfig(binance_spot BTCUSDT spot)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::system::config::ExecutionConfig::Mock"", ""what"": ""ExecutionConfig::Mock(latency_ms=0, fees_percent=0.0, balances usdt=1000000.0)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""場面の入力""], ""fn"": ""rust:barter::backtest::market_data::MarketDataInMemory::new"", ""what"": ""MarketDataInMemory::new(場面の事象の 1 本の流れ)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値"", ""公開の既定""], ""fn"": ""rust:barter::engine::state::builder::EngineStateBuilder"", ""what"": ""EngineStateBuilder::new(instruments, DefaultGlobalData, 利用者の InstrumentDataState).time_engine_start(2023-11-01T00:00:00Z).trading_state(Enabled).build()"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""公開の既定""], ""fn"": ""rust:barter::risk::DefaultRiskManager"", ""what"": ""BacktestArgsDynamic(risk = DefaultRiskManager::default())"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::backtest::backtest"", ""what"": ""backtest(args_constant(summary_interval Daily), args_dynamic)"", ""when"": ""開始前""}]"	null
opp_barter	p3-trade	P0-3	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	ok	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	1 件を道具の型(Trade = PublicTrade / OrderBook::Snapshot / OrderBook::Update / Candle / Liquidation)の MarketEvent で渡し、戦略の回に InstrumentDataState が受けた型・時刻・欄(板の値と量は Decimal の文字列を数に)。道具の型名 public_trade	"{""carriers"": [""rust:barter_data::event::DataKind::Trade (kind_name public_trade)""]}"	"{""balances"": ""usdt 1,000,000(場面が口座を名指さないとき)"", ""engine_start"": ""2023-11-01T00:00:00Z"", ""execution"": ""ExecutionConfig::Mock"", ""fees_percent"": ""0(場面が費用を名指さないとき)"", ""instrument"": ""binance_spot BTCUSDT spot"", ""latency_ms"": ""0(場面が遅れを名指さないとき)"", ""risk"": ""DefaultRiskManager"", ""summary_interval"": ""Daily"", ""trading_state"": ""Enabled""}"	"[{""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::system::config::InstrumentConfig"", ""what"": ""InstrumentConfig(binance_spot BTCUSDT spot)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::system::config::ExecutionConfig::Mock"", ""what"": ""ExecutionConfig::Mock(latency_ms=0, fees_percent=0.0, balances usdt=1000000.0)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""場面の入力""], ""fn"": ""rust:barter::backtest::market_data::MarketDataInMemory::new"", ""what"": ""MarketDataInMemory::new(場面の事象の 1 本の流れ)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値"", ""公開の既定""], ""fn"": ""rust:barter::engine::state::builder::EngineStateBuilder"", ""what"": ""EngineStateBuilder::new(instruments, DefaultGlobalData, 利用者の InstrumentDataState).time_engine_start(2023-11-01T00:00:00Z).trading_state(Enabled).build()"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""公開の既定""], ""fn"": ""rust:barter::risk::DefaultRiskManager"", ""what"": ""BacktestArgsDynamic(risk = DefaultRiskManager::default())"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::backtest::backtest"", ""what"": ""backtest(args_constant(summary_interval Daily), args_dynamic)"", ""when"": ""開始前""}]"	null
opp_barter	p3-book_snapshot	P0-3	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	ok	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	1 件を道具の型(Trade = PublicTrade / OrderBook::Snapshot / OrderBook::Update / Candle / Liquidation)の MarketEvent で渡し、戦略の回に InstrumentDataState が受けた型・時刻・欄(板の値と量は Decimal の文字列を数に)。道具の型名 l2	"{""carriers"": [""rust:barter_data::event::DataKind::OrderBook(OrderBookEvent::Snapshot) (kind_name l2)""]}"	"{""balances"": ""usdt 1,000,000(場面が口座を名指さないとき)"", ""engine_start"": ""2023-11-01T00:00:00Z"", ""execution"": ""ExecutionConfig::Mock"", ""fees_percent"": ""0(場面が費用を名指さないとき)"", ""instrument"": ""binance_spot BTCUSDT spot"", ""latency_ms"": ""0(場面が遅れを名指さないとき)"", ""risk"": ""DefaultRiskManager"", ""summary_interval"": ""Daily"", ""trading_state"": ""Enabled""}"	"[{""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::system::config::InstrumentConfig"", ""what"": ""InstrumentConfig(binance_spot BTCUSDT spot)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::system::config::ExecutionConfig::Mock"", ""what"": ""ExecutionConfig::Mock(latency_ms=0, fees_percent=0.0, balances usdt=1000000.0)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""場面の入力""], ""fn"": ""rust:barter::backtest::market_data::MarketDataInMemory::new"", ""what"": ""MarketDataInMemory::new(場面の事象の 1 本の流れ)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値"", ""公開の既定""], ""fn"": ""rust:barter::engine::state::builder::EngineStateBuilder"", ""what"": ""EngineStateBuilder::new(instruments, DefaultGlobalData, 利用者の InstrumentDataState).time_engine_start(2023-11-01T00:00:00Z).trading_state(Enabled).build()"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""公開の既定""], ""fn"": ""rust:barter::risk::DefaultRiskManager"", ""what"": ""BacktestArgsDynamic(risk = DefaultRiskManager::default())"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::backtest::backtest"", ""what"": ""backtest(args_constant(summary_interval Daily), args_dynamic)"", ""when"": ""開始前""}]"	null
opp_barter	p3-book_delta	P0-3	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	ok	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	1 件を道具の型(Trade = PublicTrade / OrderBook::Snapshot / OrderBook::Update / Candle / Liquidation)の MarketEvent で渡し、戦略の回に InstrumentDataState が受けた型・時刻・欄(板の値と量は Decimal の文字列を数に)。道具の型名 l2	"{""carriers"": [""rust:barter_data::event::DataKind::OrderBook(OrderBookEvent::Update) (kind_name l2)""]}"	"{""balances"": ""usdt 1,000,000(場面が口座を名指さないとき)"", ""engine_start"": ""2023-11-01T00:00:00Z"", ""execution"": ""ExecutionConfig::Mock"", ""fees_percent"": ""0(場面が費用を名指さないとき)"", ""instrument"": ""binance_spot BTCUSDT spot"", ""latency_ms"": ""0(場面が遅れを名指さないとき)"", ""risk"": ""DefaultRiskManager"", ""summary_interval"": ""Daily"", ""trading_state"": ""Enabled""}"	"[{""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::system::config::InstrumentConfig"", ""what"": ""InstrumentConfig(binance_spot BTCUSDT spot)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::system::config::ExecutionConfig::Mock"", ""what"": ""ExecutionConfig::Mock(latency_ms=0, fees_percent=0.0, balances usdt=1000000.0)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""場面の入力""], ""fn"": ""rust:barter::backtest::market_data::MarketDataInMemory::new"", ""what"": ""MarketDataInMemory::new(場面の事象の 1 本の流れ)"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値"", ""公開の既定""], ""fn"": ""rust:barter::engine::state::builder::EngineStateBuilder"", ""what"": ""EngineStateBuilder::new(instruments, DefaultGlobalData, 利用者の InstrumentDataState).time_engine_start(2023-11-01T00:00:00Z).trading_state(Enabled).build()"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""公開の既定""], ""fn"": ""rust:barter::risk::DefaultRiskManager"", ""what"": ""BacktestArgsDynamic(risk = DefaultRiskManager::default())"", ""when"": ""開始前""}, {""at"": null, ""decided_from"": [""選ぶ値""], ""fn"": ""rust:barter::backtest::backtest"", ""what"": ""backtest(args_constant(summary_interval Daily), args_dynamic)"", ""when"": ""開始前""}]"	null
