target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1	choose	settings_1	types_1	types_in	types_added	requests
opp_freqtrade	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""book_snapshot"", 1700092800000000000], [""trade"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""book_snapshot"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 [] は 0 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 対応なし / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 不一致 / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	[]	null	[]	[]	null
opp_freqtrade	p1-one-call-per-event	P0-1	value	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000], ""raw"": {""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000]]}}"	ok	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000], ""raw"": {""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000]]}}"	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000]}"	日足 5 本。bot_loop_start(current_time) の各回を記録(足ごとに 1 回呼ぶ唯一の口)。Freqtrade は最初の足を次の足の信号の元にだけ使い、current_time は処理する足の始まり。接続の試み 0 件(adapter の socket の関門で数えた)	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/freqtrade/lib/python3.11/site-packages/freqtrade/optimize/backtesting.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/freqtrade/lib/python3.11/site-packages/freqtrade/strategy/strategy_wrapper.py""], ""reached_by"": null, ""read_in_call_by"": null, ""read_in_user_loop"": null, ""returned_by"": null, ""type"": ""datetime.datetime"", ""type_file"": ""/usr/lib/python3.11/datetime.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/freqtrade/lib/python3.11/site-packages/freqtrade/optimize/backtesting.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/freqtrade/lib/python3.11/site-packages/freqtrade/strategy/strategy_wrapper.py""], ""reached_by"": null, ""read_in_call_by"": null, ""read_in_user_loop"": null, ""returned_by"": null, ""type"": ""datetime.datetime"", ""type_file"": ""/usr/lib/python3.11/datetime.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/freqtrade/lib/python3.11/site-packages/freqtrade/optimize/backtesting.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/freqtrade/lib/python3.11/site-packages/freqtrade/strategy/strategy_wrapper.py""], ""reached_by"": null, ""read_in_call_by"": null, ""read_in_user_loop"": null, ""returned_by"": null, ""type"": ""datetime.datetime"", ""type_file"": ""/usr/lib/python3.11/datetime.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/freqtrade/lib/python3.11/site-packages/freqtrade/optimize/backtesting.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/freqtrade/lib/python3.11/site-packages/freqtrade/strategy/strategy_wrapper.py""], ""reached_by"": null, ""read_in_call_by"": null, ""read_in_user_loop"": null, ""returned_by"": null, ""type"": ""datetime.datetime"", ""type_file"": ""/usr/lib/python3.11/datetime.py""}]}"	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	"[{""at"": ""freqtrade/exchange/exchange.py:182"", ""decided_from"": [""選ぶ値"", ""場面の入力""], ""fn"": ""freqtrade.exchange.exchange.Exchange"", ""what"": ""Exchange(config: binance, 1d, dry_run_wallet=1000000.0, fee=0.0, ...)"", ""when"": ""開始前""}, {""at"": ""freqtrade/optimize/backtesting.py:132"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.optimize.backtesting.Backtesting"", ""what"": ""Backtesting(config, exchange)"", ""when"": ""開始前""}, {""at"": ""freqtrade/configuration/timerange.py:36"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.configuration.timerange.TimeRange"", ""what"": ""TimeRange(date, date, 2023-11-01, 2023-12-31 + 1 日)"", ""when"": ""開始前""}, {""at"": ""freqtrade/optimize/backtesting.py:None"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.optimize.backtesting.Backtesting.timerange ="", ""what"": ""Backtesting.timerange = TimeRange"", ""when"": ""開始前""}]"	null	"[""足""]"	[]	null
opp_freqtrade	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000]]}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 [] は 0 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 対応なし / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 不一致 / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	[]	null	[]	[]	null
opp_freqtrade	p2-iso-utc	P0-2	value	不一致	不一致	2 回の実行で同じ	ok	1704067200000000000	ok	1704067200000000000	1704067200123456789	ISO の文字列の行を ohlcv_to_dataframe に渡し、作られた date Timestamp('2024-01-01 00:00:00+0000', tz='UTC')。接続の試み 0 件(adapter の socket の関門で数えた)	"{""reader"": ""freqtrade.data.converter.converter.ohlcv_to_dataframe""}"	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	[]	null	[]	[]	null
opp_freqtrade	p2-iso-offset	P0-2	value	不一致	不一致	2 回の実行で同じ	ok	1704067200000000000	ok	1704067200000000000	1704067200123456789	ISO の文字列の行を ohlcv_to_dataframe に渡し、作られた date Timestamp('2024-01-01 00:00:00+0000', tz='UTC')。接続の試み 0 件(adapter の socket の関門で数えた)	"{""reader"": ""freqtrade.data.converter.converter.ohlcv_to_dataframe""}"	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	[]	null	[]	[]	null
opp_freqtrade	p2-event-time-exact	P0-2	value	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": []}"	ok	"{""observed_ts_ns"": []}"	"{""observed_ts_ns"": [1700006400123456789]}"	足で渡した。bot_loop_start の current_time(時間足の刻みで作られる)。接続の試み 0 件(adapter の socket の関門で数えた)	"{""carriers"": []}"	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	"[{""at"": ""freqtrade/exchange/exchange.py:182"", ""decided_from"": [""選ぶ値"", ""場面の入力""], ""fn"": ""freqtrade.exchange.exchange.Exchange"", ""what"": ""Exchange(config: binance, 1d, dry_run_wallet=1000000.0, fee=0.0, ...)"", ""when"": ""開始前""}, {""at"": ""freqtrade/optimize/backtesting.py:132"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.optimize.backtesting.Backtesting"", ""what"": ""Backtesting(config, exchange)"", ""when"": ""開始前""}, {""at"": ""freqtrade/configuration/timerange.py:36"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.configuration.timerange.TimeRange"", ""what"": ""TimeRange(date, date, 2023-11-01, 2023-12-31 + 1 日)"", ""when"": ""開始前""}, {""at"": ""freqtrade/optimize/backtesting.py:None"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.optimize.backtesting.Backtesting.timerange ="", ""what"": ""Backtesting.timerange = TimeRange"", ""when"": ""開始前""}]"	null	[]	[]	null
opp_freqtrade	p2-one-ns-apart	P0-2	capability	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": []}"	ok	"{""observed_ts_ns"": []}"	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	足で渡した。bot_loop_start の current_time(時間足の刻みで作られる)。接続の試み 0 件(adapter の socket の関門で数えた)	"{""carriers"": []}"	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	"[{""at"": ""freqtrade/exchange/exchange.py:182"", ""decided_from"": [""選ぶ値"", ""場面の入力""], ""fn"": ""freqtrade.exchange.exchange.Exchange"", ""what"": ""Exchange(config: binance, 1d, dry_run_wallet=1000000.0, fee=0.0, ...)"", ""when"": ""開始前""}, {""at"": ""freqtrade/optimize/backtesting.py:132"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.optimize.backtesting.Backtesting"", ""what"": ""Backtesting(config, exchange)"", ""when"": ""開始前""}, {""at"": ""freqtrade/configuration/timerange.py:36"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.configuration.timerange.TimeRange"", ""what"": ""TimeRange(date, date, 2023-11-01, 2023-12-31 + 1 日)"", ""when"": ""開始前""}, {""at"": ""freqtrade/optimize/backtesting.py:None"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.optimize.backtesting.Backtesting.timerange ="", ""what"": ""Backtesting.timerange = TimeRange"", ""when"": ""開始前""}]"	null	[]	[]	null
opp_freqtrade	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	Freqtrade の入力は、組ごと・時間足ごとの OHLCV の DataFrame(date/open/high/low/close/volume)で、trade を型として戦略に渡す口が無い(informative の組も同じ OHLCV)。試したこと: trade の列だけの DataFrame を backtest_one_strategy に渡した -> KeyError: 'close'。接続の試み 0 件(adapter の socket の関門で数えた)	null	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	[]	null	[]	[]	null
opp_freqtrade	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	Freqtrade の入力は、組ごと・時間足ごとの OHLCV の DataFrame(date/open/high/low/close/volume)で、book_snapshot を型として戦略に渡す口が無い(informative の組も同じ OHLCV)。試したこと: book_snapshot の列だけの DataFrame を backtest_one_strategy に渡した -> KeyError: 'close'。接続の試み 0 件(adapter の socket の関門で数えた)	null	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	[]	null	[]	[]	null
opp_freqtrade	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	Freqtrade の入力は、組ごと・時間足ごとの OHLCV の DataFrame(date/open/high/low/close/volume)で、book_delta を型として戦略に渡す口が無い(informative の組も同じ OHLCV)。試したこと: book_delta の列だけの DataFrame を backtest_one_strategy に渡した -> KeyError: 'close'。接続の試み 0 件(adapter の socket の関門で数えた)	null	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	[]	null	[]	[]	null
opp_freqtrade	p3-bar	P0-3	capability	不一致	不一致	2 回の実行で同じ	ok	"{""fields"": {}, ""sequence"": []}"	ok	"{""fields"": {}, ""sequence"": []}"	"{""fields"": {""close"": 100.5, ""high"": 101.0, ""low"": 99.0, ""open"": 100.0, ""volume"": 12.0}, ""sequence"": [[""bar"", 1700092800000000000]]}"	日足 1 本。bot_loop_start の中で dp.get_analyzed_dataframe の最後の行を読んだ。接続の試み 0 件(adapter の socket の関門で数えた)	"{""carriers"": []}"	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	"[{""at"": ""freqtrade/exchange/exchange.py:182"", ""decided_from"": [""選ぶ値"", ""場面の入力""], ""fn"": ""freqtrade.exchange.exchange.Exchange"", ""what"": ""Exchange(config: binance, 1d, dry_run_wallet=1000000.0, fee=0.0, ...)"", ""when"": ""開始前""}, {""at"": ""freqtrade/optimize/backtesting.py:132"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.optimize.backtesting.Backtesting"", ""what"": ""Backtesting(config, exchange)"", ""when"": ""開始前""}, {""at"": ""freqtrade/configuration/timerange.py:36"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.configuration.timerange.TimeRange"", ""what"": ""TimeRange(date, date, 2023-11-01, 2023-12-31 + 1 日)"", ""when"": ""開始前""}, {""at"": ""freqtrade/optimize/backtesting.py:None"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.optimize.backtesting.Backtesting.timerange ="", ""what"": ""Backtesting.timerange = TimeRange"", ""when"": ""開始前""}]"	null	[]	[]	null
opp_freqtrade	p3-funding	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""rate"": 0.0001}, ""sequence"": [[""funding"", 1700092800000000000]]}"	Freqtrade の入力は、組ごと・時間足ごとの OHLCV の DataFrame(date/open/high/low/close/volume)で、funding を型として戦略に渡す口が無い(informative の組も同じ OHLCV)。試したこと: funding の列だけの DataFrame を backtest_one_strategy に渡した -> KeyError: 'close'。接続の試み 0 件(adapter の socket の関門で数えた)	null	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	[]	null	[]	[]	null
opp_freqtrade	p3-liquidation	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 4990000.0, ""qty"": 0.2, ""side"": ""sell""}, ""sequence"": [[""liquidation"", 1700092800000000000]]}"	Freqtrade の入力は、組ごと・時間足ごとの OHLCV の DataFrame(date/open/high/low/close/volume)で、liquidation を型として戦略に渡す口が無い(informative の組も同じ OHLCV)。試したこと: liquidation の列だけの DataFrame を backtest_one_strategy に渡した -> KeyError: 'close'。接続の試み 0 件(adapter の socket の関門で数えた)	null	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	[]	null	[]	[]	null
opp_freqtrade	p3-mixed-one-run	P0-3	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""bar"", 1700352000000000000], [""funding"", 1700438400000000000], [""liquidation"", 1700524800000000000]]}"	Freqtrade の入力は、組ごと・時間足ごとの OHLCV の DataFrame(date/open/high/low/close/volume)で、足以外の 5 種 を型として戦略に渡す口が無い(informative の組も同じ OHLCV)。試したこと: 足以外の 5 種 の列だけの DataFrame を backtest_one_strategy に渡した -> KeyError: 'close'。接続の試み 0 件(adapter の socket の関門で数えた)	null	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	[]	null	[]	[]	null
opp_freqtrade	p3-clock-timer	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""clock_calls_ns"": [1700352000000000000]}"	"時刻を指定して戦略を起こす口が無い(戦略を呼ぶ時刻は足の刻みの bot_loop_start だけ)。1 回目の bot_loop_start の中で試した: [""self.schedule(...) -> AttributeError: 'SkStrategy' object has no attribute 'schedule'"", ""self.dp.schedule(...) -> AttributeError: 'DataProvider' object has no attribute 'schedule'""]。接続の試み 0 件(adapter の socket の関門で数えた)"	null	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	"[{""at"": ""freqtrade/exchange/exchange.py:182"", ""decided_from"": [""選ぶ値"", ""場面の入力""], ""fn"": ""freqtrade.exchange.exchange.Exchange"", ""what"": ""Exchange(config: binance, 1d, dry_run_wallet=1000000.0, fee=0.0, ...)"", ""when"": ""開始前""}, {""at"": ""freqtrade/optimize/backtesting.py:132"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.optimize.backtesting.Backtesting"", ""what"": ""Backtesting(config, exchange)"", ""when"": ""開始前""}, {""at"": ""freqtrade/configuration/timerange.py:36"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.configuration.timerange.TimeRange"", ""what"": ""TimeRange(date, date, 2023-11-01, 2023-12-31 + 1 日)"", ""when"": ""開始前""}, {""at"": ""freqtrade/optimize/backtesting.py:None"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.optimize.backtesting.Backtesting.timerange ="", ""what"": ""Backtesting.timerange = TimeRange"", ""when"": ""開始前""}]"	null	[]	[]	null
opp_freqtrade	p3-notice-accepted	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""notices"": [""accepted""]}"	注文の受付を戦略に知らせる呼び出しが無い(戦略への知らせは約定の order_filled だけ。発注前の確認 confirm_trade_entry は戦略が許すかを問う呼び出しで、受付の知らせではない)。試したこと: 1 本目の足に enter_long=1、custom_entry_price=90 で走らせ、呼ばれた知らせ []。接続の試み 0 件(adapter の socket の関門で数えた)	null	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	"[{""at"": ""freqtrade/exchange/exchange.py:182"", ""decided_from"": [""選ぶ値"", ""場面の入力""], ""fn"": ""freqtrade.exchange.exchange.Exchange"", ""what"": ""Exchange(config: binance, 1d, dry_run_wallet=1000000.0, fee=0.0, ...)"", ""when"": ""開始前""}, {""at"": ""freqtrade/optimize/backtesting.py:132"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.optimize.backtesting.Backtesting"", ""what"": ""Backtesting(config, exchange)"", ""when"": ""開始前""}, {""at"": ""freqtrade/configuration/timerange.py:36"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.configuration.timerange.TimeRange"", ""what"": ""TimeRange(date, date, 2023-11-01, 2023-12-31 + 1 日)"", ""when"": ""開始前""}, {""at"": ""freqtrade/optimize/backtesting.py:None"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.optimize.backtesting.Backtesting.timerange ="", ""what"": ""Backtesting.timerange = TimeRange"", ""when"": ""開始前""}]"	null	[]	[]	null
opp_freqtrade	p3-notice-rejected	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""notices"": [""rejected""]}"	注文の拒否を戦略に知らせる呼び出しが無い。試したこと: 現金 1,000、1 本目の足に enter_long=1(数量 1 = stake を価格ちょうど)で走らせ、呼ばれた知らせ [('filled', 0.00099, 1700092800000000000, 'buy'), ('filled', 0.00099, 1700179200000000000, 'sell')]、結果の rejected_signals 0。接続の試み 0 件(adapter の socket の関門で数えた)	null	"{""exchange"": ""binance(markets は場面の銘柄 1 つ)"", ""max_open_trades"": 1, ""order_types"": ""limit"", ""timeframe"": ""1d"", ""window"": [""2023-11-01"", ""2023-12-31""]}"	"[{""at"": ""freqtrade/exchange/exchange.py:182"", ""decided_from"": [""選ぶ値"", ""場面の入力""], ""fn"": ""freqtrade.exchange.exchange.Exchange"", ""what"": ""Exchange(config: binance, 1d, dry_run_wallet=1000.0, fee=0.0, ...)"", ""when"": ""開始前""}, {""at"": ""freqtrade/optimize/backtesting.py:132"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.optimize.backtesting.Backtesting"", ""what"": ""Backtesting(config, exchange)"", ""when"": ""開始前""}, {""at"": ""freqtrade/configuration/timerange.py:36"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.configuration.timerange.TimeRange"", ""what"": ""TimeRange(date, date, 2023-11-01, 2023-12-31 + 1 日)"", ""when"": ""開始前""}, {""at"": ""freqtrade/optimize/backtesting.py:None"", ""decided_from"": [""選ぶ値""], ""fn"": ""freqtrade.optimize.backtesting.Backtesting.timerange ="", ""what"": ""Backtesting.timerange = TimeRange"", ""when"": ""開始前""}]"	null	[]	[]	null
